,country_code,region_id,region_level,region_name,support_below_18
0,CH,2661551,PROVINCE,Bern,True
1,ES,2513413,PROVINCE,Murcia,True
2,MX,3514211,PROVINCE,Yucatan,True
3,US,504,PROVINCE,"Philadelphia,DMA®",True
4,BE,3337387,PROVINCE,Wallonia,True
5,US,773,PROVINCE,"Grand Junction-Montrose,DMA®",True
6,US,755,PROVINCE,"Great Falls,DMA®",True
7,TR,315201,PROVINCE,Eskisehir,True
8,FI,830690,PROVINCE,Northern Savonia,True
9,CH,2658370,PROVINCE,Ticino,True
10,MA,11281876,PROVINCE,Fes-Meknes,True
11,TR,443186,PROVINCE,Batman,True
12,MA,11281882,PROVINCE,Souss-Massa,True
13,CH,2658821,PROVINCE,St Gallen,True
14,KR,1841808,PROVINCE,Gwangju,True
15,FI,830705,PROVINCE,Tavastia Proper,True
16,IE,2962661,PROVINCE,Meath,True
17,AE,290595,PROVINCE,Umm Al Quwain,True
18,TR,862467,PROVINCE,Bartin,True
19,EG,359171,PROVINCE,Beni Suef,True
20,TR,296560,PROVINCE,Yozgat,True
21,RO,680962,PROVINCE,Constanta,True
22,KR,1902028,PROVINCE,South Gyeongsang,True
23,FR,2988289,PROVINCE,Pays de la Loire,True
24,US,764,PROVINCE,"Rapid City,DMA®",True
25,AT,2764581,PROVINCE,Styria,True
26,US,5843591,PROVINCE,Wyoming,True
27,PL,3337499,PROVINCE,West Pomeranian,True
28,IE,2963435,PROVINCE,Kildare,True
29,US,789,PROVINCE,"Tucson (Sierra Vista),DMA®",True
30,IT,3174618,PROVINCE,Lombardy,True
31,US,570,PROVINCE,"Myrtle Beach-Florence,DMA®",True
32,US,825,PROVINCE,"San Diego,DMA®",True
33,IE,2963517,PROVINCE,Kerry,True
34,US,528,PROVINCE,"Miami-Fort Lauderdale,DMA®",True
35,US,762,PROVINCE,"Missoula,DMA®",True
36,KZ,1537162,PROVINCE,Almaty Region,True
37,US,757,PROVINCE,"Boise,DMA®",True
38,IE,2964180,PROVINCE,Galway County,True
39,KZ,1517381,PROVINCE,East Kazakhstan,True
40,SE,2711508,PROVINCE,Gotland,True
41,RO,679134,PROVINCE,Dolj,True
42,US,751,PROVINCE,"Denver,DMA®",True
43,JP,1852553,PROVINCE,Shiga,True
44,US,581,PROVINCE,"Terre Haute,DMA®",True
45,US,502,PROVINCE,"Binghamton,DMA®",True
46,CH,2660717,PROVINCE,Fribourg,True
47,PL,3337492,PROVINCE,Lower Silesian,True
48,US,545,PROVINCE,"Greenville-New Bern-Washington,DMA®",True
49,US,5165418,PROVINCE,Ohio,True
50,US,5090174,PROVINCE,New Hampshire,True
51,TR,443188,PROVINCE,Kirikkale,True
52,US,534,PROVINCE,"Orlando-Daytona Beach-Melbourne,DMA®",True
53,RO,683504,PROVINCE,Bucuresti,True
54,KR,1835847,PROVINCE,Seoul,True
55,TR,321079,PROVINCE,Bingol,True
56,FI,830686,PROVINCE,North Karelia,True
57,IE,2962568,PROVINCE,Monaghan,True
58,CA,6091069,PROVINCE,Northwest Territories,True
59,ES,3336900,PROVINCE,Castile and Leon,True
60,TR,746878,PROVINCE,Giresun,True
61,DE,2945356,PROVINCE,Brandenburg,True
62,JP,1853904,PROVINCE,Osaka,True
63,AT,2774686,PROVINCE,Carinthia,True
64,US,754,PROVINCE,"Butte-Bozeman,DMA®",True
65,RO,662447,PROVINCE,Vrancea,True
66,JP,1853226,PROVINCE,Saitama,True
67,TR,298298,PROVINCE,Usak,True
68,BR,3662560,PROVINCE,Roraima,True
69,SE,2676207,PROVINCE,Sodermanland,True
70,AT,2766823,PROVINCE,Salzburg,True
71,US,564,PROVINCE,"Charleston-Huntington,DMA®",True
72,US,4597040,PROVINCE,South Carolina,True
73,US,538,PROVINCE,"Rochester, NY,DMA®",True
74,AR,3853404,PROVINCE,Jujuy,True
75,RO,667869,PROVINCE,Satu Mare,True
76,US,718,PROVINCE,"Jackson, MS,DMA®",True
77,TR,314829,PROVINCE,Gaziantep,True
78,BR,3392213,PROVINCE,Piaui,True
79,DE,2842566,PROVINCE,Saxony,True
80,US,600,PROVINCE,"Corpus Christi,DMA®",True
81,US,596,PROVINCE,"Zanesville,DMA®",True
82,RO,679385,PROVINCE,Dambovita,True
83,AR,3835868,PROVINCE,Santiago del Estero,True
84,US,800,PROVINCE,"Bakersfield,DMA®",True
85,US,636,PROVINCE,"Harlingen-Weslaco-Brownsville-McAllen,DMA®",True
86,US,716,PROVINCE,"Baton Rouge,DMA®",True
87,JP,1848681,PROVINCE,Yamaguchi,True
88,SE,2664292,PROVINCE,Vasternorrland,True
89,PL,858788,PROVINCE,Subcarpathian,True
90,EG,349401,PROVINCE,North Sinai,True
91,SE,2699767,PROVINCE,Dalarna,True
92,RO,686583,PROVINCE,Alba,True
93,US,626,PROVINCE,"Victoria,DMA®",True
94,US,5551752,PROVINCE,Arizona,True
95,US,6254926,PROVINCE,Massachusetts,True
96,RO,675848,PROVINCE,Ialomita,True
97,FR,3027939,PROVINCE,Centre Val de Loire,True
98,US,522,PROVINCE,"Columbus, GA (Opelika, AL),DMA®",True
99,DE,2950157,PROVINCE,Berlin,True
100,TR,746423,PROVINCE,Gumushane,True
101,FR,11071624,PROVINCE,Hauts de France,True
102,TR,304794,PROVINCE,Mardin,True
103,EG,347794,PROVINCE,Sohag,True
104,EG,358044,PROVINCE,Damietta,True
105,RO,677697,PROVINCE,Galati,True
106,EG,360483,PROVINCE,New Valley,True
107,PT,2735941,PROVINCE,Porto,True
108,TR,323784,PROVINCE,Ankara,True
109,JP,2130656,PROVINCE,Aomori,True
110,TR,443185,PROVINCE,Aksaray,True
111,MX,3995955,PROVINCE,Michoacan,True
112,IT,3165048,PROVINCE,Umbria,True
113,US,5690763,PROVINCE,North Dakota,True
114,BR,3390290,PROVINCE,Rio Grande do Norte,True
115,US,531,PROVINCE,"Tri-Cities, TN-VA,DMA®",True
116,US,559,PROVINCE,"Bluefield-Beckley-Oak Hill,DMA®",True
117,NO,3143242,PROVINCE,Oslo,True
118,US,711,PROVINCE,"Meridian,DMA®",True
119,SA,106280,PROVINCE,Hai'l Region,True
120,US,624,PROVINCE,"Sioux City,DMA®",True
121,US,536,PROVINCE,"Youngstown,DMA®",True
122,BR,3665474,PROVINCE,Acre,True
123,US,803,PROVINCE,"Los Angeles,DMA®",True
124,US,678,PROVINCE,"Wichita-Hutchinson,DMA®",True
125,PT,3411865,PROVINCE,Azores,True
126,US,532,PROVINCE,"Albany-Schenectady-Troy,DMA®",True
127,TR,311728,PROVINCE,Mersin,True
128,US,4831725,PROVINCE,Connecticut,True
129,TR,740263,PROVINCE,Samsun,True
130,IT,3164604,PROVINCE,Veneto,True
131,US,698,PROVINCE,"Montgomery-Selma,DMA®",True
132,BR,3447799,PROVINCE,Sergipe,True
133,JP,2112518,PROVINCE,Iwate,True
134,US,5073708,PROVINCE,Nebraska,True
135,FR,11071620,PROVINCE,Nouvelle Aquitaine,True
136,DE,2847618,PROVINCE,Rhineland Palatinate,True
137,US,540,PROVINCE,"Traverse City-Cadillac,DMA®",True
138,PT,2263478,PROVINCE,Santarém,True
139,US,682,PROVINCE,"Davenport-Rock Island-Moline,DMA®",True
140,IE,2962840,PROVINCE,Longford,True
141,EG,359797,PROVINCE,Suez,True
142,US,546,PROVINCE,"Columbia, SC,DMA®",True
143,MX,3520914,PROVINCE,Queretaro,True
144,TR,747711,PROVINCE,Edirne,True
145,CH,2659471,PROVINCE,Nidwalden,True
146,JP,1850157,PROVINCE,Tokushima,True
147,PK,1179245,PROVINCE,Federally Administered Tribal Areas,True
148,RO,662893,PROVINCE,Valcea,True
149,RO,683844,PROVINCE,Brasov,True
150,EG,360016,PROVINCE,Sharqia,True
151,CH,2657907,PROVINCE,Zug,True
152,KZ,610688,PROVINCE,Aktobe Region,True
153,SA,105298,PROVINCE,Jazan,True
154,CH,2660522,PROVINCE,Grisons,True
155,ZA,972062,PROVINCE,KwaZulu Natal,True
156,BD,7671048,PROVINCE,Rangpur,True
157,CH,2661602,PROVINCE,Basel Stadt,True
158,US,4482348,PROVINCE,North Carolina,True
159,TR,320390,PROVINCE,Burdur,True
160,US,512,PROVINCE,"Baltimore,DMA®",True
161,US,602,PROVINCE,"Chicago,DMA®",True
162,MX,3995012,PROVINCE,Nayarit,True
163,US,6254925,PROVINCE,Kentucky,True
164,US,551,PROVINCE,"Lansing,DMA®",True
165,BR,3471168,PROVINCE,Bahia,True
166,US,603,PROVINCE,"Joplin-Pittsburg,DMA®",True
167,IT,3181042,PROVINCE,Campania,True
168,EG,361323,PROVINCE,Faiyum,True
169,KZ,1519367,PROVINCE,North Kazakhstan,True
170,ES,3117732,PROVINCE,Madrid,True
171,TR,312394,PROVINCE,Hatay,True
172,US,612,PROVINCE,"Shreveport,DMA®",True
173,MX,4004156,PROVINCE,Jalisco,True
174,IT,3164857,PROVINCE,Aosta Valley,True
175,CA,6113358,PROVINCE,Prince Edward Island,True
176,US,616,PROVINCE,"Kansas City,DMA®",True
177,DE,2842565,PROVINCE,Saxony Anhalt,True
178,MX,3982846,PROVINCE,Sonora,True
179,US,820,PROVINCE,"Portland, OR,DMA®",True
180,US,526,PROVINCE,"Utica,DMA®",True
181,ES,3336903,PROVINCE,Basque,True
182,EG,361370,PROVINCE,El Beheira,True
183,US,5242283,PROVINCE,Vermont,True
184,IT,3174976,PROVINCE,Lazio,True
185,TR,303830,PROVINCE,Nevsehir,True
186,EG,361056,PROVINCE,Ismailia,True
187,IT,3174725,PROVINCE,Liguria,True
188,FR,11071619,PROVINCE,Bourgogne Franche Comte,True
189,BR,3665361,PROVINCE,Amazonas,True
190,RO,685948,PROVINCE,Bacau,True
191,CA,5909050,PROVINCE,British Columbia,True
192,RO,664517,PROVINCE,Tulcea,True
193,TR,317106,PROVINCE,Denizli,True
194,PT,2268337,PROVINCE,Faro,True
195,TR,315372,PROVINCE,Erzincan,True
196,TR,298113,PROVINCE,Van,True
197,US,710,PROVINCE,"Hattiesburg-Laurel,DMA®",True
198,MA,11281881,PROVINCE,Draa-Tafilalet,True
199,PL,3337495,PROVINCE,Opole,True
200,US,638,PROVINCE,"St. Joseph,DMA®",True
201,FI,831040,PROVINCE,Paijat Hame,True
202,PL,3337497,PROVINCE,Silesian,True
203,ES,3336899,PROVINCE,Aragon,True
204,PL,3337493,PROVINCE,Lodz,True
205,ES,3336902,PROVINCE,Galicia,True
206,NO,3159665,PROVINCE,Viken,True
207,RO,665091,PROVINCE,Timis,True
208,DE,2872567,PROVINCE,Mecklenburg Vorpommern,True
209,KZ,1518003,PROVINCE,Akmola Region,True
210,PL,3337498,PROVINCE,Greater Poland,True
211,NO,3132064,PROVINCE,Agder,True
212,KR,1845106,PROVINCE,North Chungcheong,True
213,SE,2708794,PROVINCE,Halland,True
214,US,529,PROVINCE,"Louisville,DMA®",True
215,TR,300617,PROVINCE,Sivas,True
216,PL,858790,PROVINCE,Swietokrzyskie,True
217,IT,2523228,PROVINCE,Sardinia,True
218,US,756,PROVINCE,"Billings,DMA®",True
219,JP,2112922,PROVINCE,Fukushima,True
220,AR,3844419,PROVINCE,Mendoza,True
221,AR,3836350,PROVINCE,Santa Cruz,True
222,RO,672460,PROVINCE,Neamt,True
223,RO,669737,PROVINCE,Prahova,True
224,SA,108933,PROVINCE,Al Qaseem,True
225,MX,4013674,PROVINCE,Coahuila,True
226,US,530,PROVINCE,"Tallahassee-Thomasville,DMA®",True
227,NL,2744011,PROVINCE,Zeeland,True
228,US,813,PROVINCE,"Medford-Klamath Falls,DMA®",True
229,BE,2800867,PROVINCE,Brussels-Capital Region,True
230,JP,2130037,PROVINCE,Hokkaido,True
231,EG,350546,PROVINCE,Qena,True
232,KR,1845105,PROVINCE,South Chungcheong,True
233,JP,1856710,PROVINCE,Miyazaki,True
234,DE,2822542,PROVINCE,Thuringia,True
235,TR,740352,PROVINCE,Sakarya,True
236,US,543,PROVINCE,"Springfield-Holyoke,DMA®",True
237,ES,2593112,PROVINCE,Extremadura,True
238,IT,3176525,PROVINCE,Friuli Venezia Giulia,True
239,KR,1835224,PROVINCE,Daejeon,True
240,US,4826850,PROVINCE,West Virginia,True
241,AR,3433955,PROVINCE,Autonomous City of Buenos Aires,True
242,TR,738742,PROVINCE,Tokat,True
243,CH,2659315,PROVINCE,Obwalden,True
244,US,637,PROVINCE,"Cedar Rapids-Waterloo-Iowa City-Dubuque,DMA®",True
245,US,819,PROVINCE,"Seattle-Tacoma,DMA®",True
246,SE,2702976,PROVINCE,Jonkoping,True
247,US,747,PROVINCE,"Juneau,DMA®",True
248,TR,739598,PROVINCE,Sinop,True
249,FR,3030293,PROVINCE,Brittany,True
250,US,558,PROVINCE,"Lima,DMA®",True
251,AR,3836276,PROVINCE,Santa Fe,True
252,US,639,PROVINCE,"Jackson, TN,DMA®",True
253,ES,3115609,PROVINCE,Navarre,True
254,TR,311071,PROVINCE,Isparta,True
255,TR,443184,PROVINCE,Igdir,True
256,FR,11071623,PROVINCE,Occitania,True
257,US,511,PROVINCE,"Washington (Hagerstown),DMA®",True
258,CH,2659810,PROVINCE,Lucerne,True
259,TR,311044,PROVINCE,Izmir,True
260,CH,2658372,PROVINCE,Thurgau,True
261,US,533,PROVINCE,"Hartford-New Haven,DMA®",True
262,TR,862471,PROVINCE,Bayburt,True
263,BR,3455077,PROVINCE,Parana,True
264,IE,6693220,PROVINCE,Fingal,True
265,NO,11862827,PROVINCE,Trondelag,True
266,JP,1863640,PROVINCE,Gifu,True
267,JP,1855608,PROVINCE,Nara,True
268,AR,3435214,PROVINCE,Corrientes,True
269,RO,683902,PROVINCE,Braila,True
270,TR,300821,PROVINCE,Siirt,True
271,DE,2862926,PROVINCE,Lower Saxony,True
272,BR,3451189,PROVINCE,Rio de Janeiro,True
273,MX,4011741,PROVINCE,Durango,True
274,CA,6354959,PROVINCE,Newfoundland and Labrador,True
275,EG,354500,PROVINCE,Kafr El Sheikh,True
276,US,521,PROVINCE,"Providence-New Bedford,DMA®",True
277,CA,6093943,PROVINCE,Ontario,True
278,EG,360631,PROVINCE,Cairo,True
279,IT,3169778,PROVINCE,Apulia,True
280,BD,1337200,PROVINCE,Chittagong,True
281,IT,3173222,PROVINCE,Molise,True
282,FR,3012874,PROVINCE,Ile de France,True
283,DK,6418538,PROVINCE,Capital Region of Denmark,True
284,SE,2699050,PROVINCE,Kronoberg,True
285,US,759,PROVINCE,"Cheyenne-Scottsbluff,DMA®",True
286,MX,3527213,PROVINCE,Guerrero,True
287,RO,671857,PROVINCE,Olt,True
288,AR,3843122,PROVINCE,Neuquen,True
289,TR,312888,PROVINCE,Hakkari,True
290,US,679,PROVINCE,"Des Moines-Ames,DMA®",True
291,PL,858787,PROVINCE,Masovian,True
292,CH,2659495,PROVINCE,Neuchatel,True
293,ES,2593110,PROVINCE,Canary,True
