iso3,Year,Month,Country,Audience_Type,FB_all,FB_age_18_plus_men,FB_age_18_plus_women,FB_age_18_plus_ratio,FB_age_14_15_men,FB_age_14_15_women,FB_age_14_15_ratio,FB_age_15_16_men,FB_age_15_16_women,FB_age_15_16_ratio,FB_age_16_17_men,FB_age_16_17_women,FB_age_16_17_ratio,FB_age_17_18_men,FB_age_17_18_women,FB_age_17_18_ratio,FB_age_18_19_men,FB_age_18_19_women,FB_age_18_19_ratio,FB_age_13_14_men,FB_age_13_14_women,FB_age_13_14_ratio,FB_age_15_19_men,FB_age_15_19_women,FB_age_15_19_ratio,FB_age_20_24_men,FB_age_20_24_women,FB_age_20_24_ratio,FB_age_25_29_men,FB_age_25_29_women,FB_age_25_29_ratio,FB_age_30_34_men,FB_age_30_34_women,FB_age_30_34_ratio,FB_age_35_39_men,FB_age_35_39_women,FB_age_35_39_ratio,FB_age_40_44_men,FB_age_40_44_women,FB_age_40_44_ratio,FB_age_45_49_men,FB_age_45_49_women,FB_age_45_49_ratio,FB_age_50_54_men,FB_age_50_54_women,FB_age_50_54_ratio,FB_age_55_59_men,FB_age_55_59_women,FB_age_55_59_ratio,FB_age_60_64_men,FB_age_60_64_women,FB_age_60_64_ratio,FB_age_18_23_men,FB_age_18_23_women,FB_age_18_23_ratio,FB_age_20_plus_men,FB_age_20_plus_women,FB_age_20_plus_ratio,FB_age_20_64_men,FB_age_20_64_women,FB_age_20_64_ratio,FB_age_21_plus_men,FB_age_21_plus_women,FB_age_21_plus_ratio,FB_age_25_plus_men,FB_age_25_plus_women,FB_age_25_plus_ratio,FB_age_25_49_men,FB_age_25_49_women,FB_age_25_49_ratio,FB_age_25_64_men,FB_age_25_64_women,FB_age_25_64_ratio,FB_age_50_plus_men,FB_age_50_plus_women,FB_age_50_plus_ratio,FB_age_60_plus_men,FB_age_60_plus_women,FB_age_60_plus_ratio,FB_age_65_plus_men,FB_age_65_plus_women,FB_age_65_plus_ratio,FB_android_device_users_women,FB_android_device_users_men,FB_android_device_users_ratio,FB_iOS_device_users_women,FB_iOS_device_users_men,FB_iOS_device_users_ratio,FB_mobile_device_users_women,FB_mobile_device_users_men,FB_mobile_device_users_ratio
AND,2025,1,AD,mau_upper,38963.333333333336,18643.33333333333,19900.0,1.0674056856785268,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1753.3333333333333,1713.3333333333333,0.9771863117870724,2300.0,2253.333333333333,0.9797101449275364,2170.0,2200.0,1.0138248847926268,2200.0,2370.0,1.0772727272727274,2200.0,2453.333333333333,1.1151515151515152,2200.0,2200.0,1.0,1770.0,1968.9655172413795,1.112409896746542,1400.0,1553.3333333333333,1.1095238095238096,1000.0,1000.0,1.0,18596.666666666668,19840.0,1.066857859831511,16713.333333333332,17563.333333333332,1.050857598723574,18516.666666666668,19790.0,1.0687668766876688,17923.333333333332,19070.0,1.0639761949042217,10773.333333333334,11030.0,1.0238242574257426,15993.333333333334,16800.0,1.0504376823676531,7103.333333333333,7786.666666666667,1.0961989676208357,3146.6666666666665,3643.3333333333335,1.1578389830508475,1766.6666666666667,2100.0,1.1886792452830188,,,,4770.0,3746.6666666666665,1.2731316725978647,,,
ARE,2025,1,AE,mau_upper,10662962.962962965,7646666.666666667,2843333.333333333,0.3718395815170008,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,29896.296296296296,15885.185185185184,0.5313429137760158,90268.0,43403.7037037037,0.4808315649366741,1000.0,1000.0,1.0,90403.84615384616,43470.37037037037,0.4808464708060538,1000000.0,327937.9310344828,0.3279379310344827,1743333.3333333333,577273.3333333334,0.331131931166348,1573333.3333333333,588986.6666666666,0.3743559322033898,1300000.0,496710.3448275862,0.3820848806366048,854440.0,346611.1111111111,0.4056588070679171,485930.0,198063.3333333333,0.4075964302128564,286055.1724137931,103953.33333333331,0.3634030891878425,143876.66666666666,54370.0,0.3778931028890485,64975.86206896552,30240.0,0.4654035981531603,714782.1428571428,249388.88888888888,0.3489019575839236,7573333.333333333,2800000.0,0.3697183098591549,7493333.333333333,2700000.0,0.3603202846975089,7476666.666666667,2743333.333333333,0.3669193045028979,6606666.666666667,2460000.0,0.3723511604439959,6033333.333333333,2200000.0,0.3646408839779005,6517241.379310345,2400000.0,0.3682539682539682,587126.6666666666,249613.3333333333,0.4251439212435704,153934.4827586207,89944.8275862069,0.5843059071257364,89450.0,59183.333333333336,0.6616359232345818,,,,723662.0689655172,1200000.0,0.6030517241379311,,,
AFG,2025,1,AF,mau_upper,4608695.652173913,3908695.652173913,685473.0769230769,0.1753713100025669,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,154003.7037037037,37781.48148148148,0.245328395180491,353429.6296296296,87092.5925925926,0.2464213107538826,1000.0,1000.0,1.0,351337.037037037,86515.38461538461,0.2462461269241716,1200000.0,261445.8333333333,0.2178715277777778,1033460.0,167542.3076923077,0.1621178446116034,584259.2592592592,68057.69230769231,0.1164854321589662,364135.7142857143,39784.0,0.1092559681437454,138569.23076923078,14026.923076923076,0.1012268235816587,73344.0,7972.413793103448,0.1086989227899139,52818.51851851852,6496.2962962962965,0.1229927775050838,30680.76923076923,4456.0,0.1452375579791901,20451.85185185185,2753.5714285714284,0.1346367775650644,1200000.0,273251.85185185185,0.2277098765432098,3532142.8571428573,596444.4444444445,0.1688619256263341,3465384.6153846155,574766.6666666666,0.1658594154642989,3343333.333333333,550374.074074074,0.1646183671208596,2343333.333333333,340629.6296296296,0.1453611506243085,2200000.0,303092.5925925926,0.1377693602693602,2246666.6666666665,317088.8888888889,0.1411374876360039,191781.4814814815,38466.66666666666,0.2005755006662675,109050.0,27715.384615384617,0.2541529996825732,88864.0,25037.5,0.28175076521426,,,,77344.44444444444,314682.14285714284,0.2457859341562852,,,
ATG,2025,1,AG,mau_upper,63400.0,30103.33333333333,32670.0,1.0852618757612669,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,3400.0,3360.0,0.9882352941176472,4400.0,4360.0,0.990909090909091,4200.0,4500.0,1.0714285714285714,3500.0,3936.6666666666665,1.1247619047619046,3200.0,3700.0,1.15625,2700.0,3200.0,1.1851851851851851,2400.0,2900.0,1.2083333333333333,1962.0689655172412,2300.0,1.172231985940246,1463.3333333333333,1800.0,1.2300683371298406,3100.0,3036.6666666666665,0.9795698924731182,29369.565217391304,31943.33333333333,1.0876338514680484,27392.30769230769,29570.0,1.0795001404099973,28884.615384615383,31533.33333333333,1.091699955614736,25800.0,28800.0,1.1162790697674418,17923.333333333332,19530.0,1.0896410637902176,23908.695652173912,26316.666666666668,1.1007152815663457,7856.666666666667,9373.333333333334,1.1930420025456088,3466.6666666666665,4150.0,1.1971153846153846,2000.0,2353.333333333333,1.1766666666666667,,,,7750.0,6433.333333333333,1.2046632124352332,,,
AIA,2025,1,AI,mau_upper,10679.310344827589,4968.96551724138,5441.379310344828,1.0950728660652325,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,4900.0,5343.333333333333,1.0904761904761904,4500.0,4900.0,1.0888888888888888,4800.0,5270.0,1.0979166666666669,4460.0,4857.142857142857,1.0890454836643175,3000.0,3200.0,1.0666666666666669,4100.0,4400.0,1.0731707317073171,1500.0,1660.0,1.106666666666667,1000.0,1000.0,1.0,1000.0,1000.0,1.0,,,,1800.0,1300.0,1.3846153846153846,,,
ALB,2025,1,AL,mau_upper,1300000.0,778037.9310344828,504046.6666666667,0.6478433075833255,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,6951.851851851852,3900.0,0.5610015982951518,16536.666666666668,9296.551724137931,0.5621780925703244,1000.0,1000.0,1.0,16582.758620689656,9348.148148148148,0.5637269625624792,79146.66666666667,46893.333333333336,0.5924865229110512,107529.62962962964,67225.92592592593,0.6251851341576826,107075.86206896552,68893.33333333333,0.6434067585555412,90466.66666666669,60925.92592592593,0.6734627036764104,69770.0,46883.333333333336,0.6719698055515743,57456.66666666666,38808.333333333336,0.6754365608864652,53232.142857142855,36808.333333333336,0.6914681874091468,50062.06896551724,34856.666666666664,0.6962689994030399,47473.91304347826,34631.03448275862,0.7294750371860502,62025.92592592593,38556.66666666666,0.6216217830059114,764342.3076923077,493566.6666666667,0.6457403465691134,679803.448275862,435913.3333333333,0.6412343662552902,756075.8620689656,487510.0,0.6447897948572939,682873.3333333334,445443.3333333333,0.6523074069373529,431686.6666666667,280537.9310344828,0.6498647113673871,589182.7586206896,387579.3103448276,0.6578252752204984,240833.3333333333,163953.33333333334,0.6807750865051904,135341.66666666666,91583.33333333331,0.6766824702912383,87252.38095238095,56870.833333333336,0.6517969219014355,,,,129579.31034482758,178545.83333333334,0.7257481618342306,,,
ARM,2025,1,AM,mau_upper,1743333.3333333333,842453.3333333334,900620.6896551724,1.0690451969507777,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,11775.0,12255.555555555557,1.0408115121490915,25225.0,26962.068965517243,1.0688629916954309,1000.0,1000.0,1.0,25295.83333333333,27044.444444444445,1.0691264481414375,102278.57142857143,90740.0,0.8871848592778825,106593.33333333331,89755.55555555556,0.8420372339316614,121543.33333333331,107860.0,0.887420124509777,112233.33333333331,109617.24137931036,0.9766905973802528,93650.0,95650.0,1.0213561131873998,70904.16666666667,77720.83333333333,1.0961391549626842,52613.333333333336,66180.0,1.2578560567663457,45648.0,63960.0,1.4011566771819135,48050.0,77403.44827586207,1.6108938246797515,91630.0,90484.6153846154,0.9874998950629204,818446.6666666666,876596.6666666666,1.0710492233254865,748967.8571428572,768366.6666666666,1.0259007236943538,802633.3333333334,860283.3333333334,1.071826072511317,711111.1111111111,792976.6666666666,1.1151234375,497670.3703703704,476096.6666666667,0.9566506165764934,645444.4444444445,679823.0769230769,1.0532635035819748,212893.3333333333,324410.0,1.5238147429072462,115628.57142857143,192123.3333333333,1.6615558850177086,68025.0,116877.77777777778,1.7181591735064723,,,,244926.66666666663,203550.0,1.2032751985589123,,,
ANT,2025,1,AN,mau_upper,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,,,,1000.0,1000.0,1.0,,,
AGO,2025,1,AO,mau_upper,5670370.37037037,3281481.4814814813,2300000.0,0.7009029345372461,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,163648.14814814815,139872.41379310345,0.8547143085693772,357403.7037037037,294174.0740740741,0.8230862495984415,1000.0,1000.0,1.0,357781.48148148146,294685.1851851852,0.8236457179532303,917600.0,718870.3703703703,0.7834245535858438,675550.0,523622.2222222223,0.7751050584297569,407103.7037037037,303788.8888888889,0.7462199093869976,307823.3333333333,190425.92592592596,0.6186208298891982,180411.11111111112,105700.0,0.5858840918888957,127622.22222222222,64580.769230769234,0.5060307531576903,77180.0,36007.40740740741,0.4665380591786396,52992.59259259259,21342.85714285714,0.4027517073365549,33777.77777777778,15791.666666666666,0.467516447368421,1000000.0,811314.8148148148,0.8113148148148148,2940000.0,2070000.0,0.7040816326530612,2800000.0,2000000.0,0.7142857142857143,2750000.0,1900000.0,0.6909090909090909,2000000.0,1300000.0,0.65,1700000.0,1200000.0,0.7058823529411765,1900000.0,1300000.0,0.6842105263157895,282237.037037037,139546.66666666666,0.4944307385439084,154474.07407407407,83053.33333333333,0.5376522489690228,121128.57142857143,67833.33333333333,0.5600110075873727,,,,196916.66666666663,218893.3333333333,0.8996010233294754,,,
ATA,2025,1,AQ,mau_upper,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,1000.0,1000.0,1.0,,,,1000.0,1000.0,1.0,,,
