,country_code,region_id,region_level,region_name,support_below_18
0,BY,630336,COUNTRY,Belarus,True
1,TR,298795,COUNTRY,Turkey,True
2,OM,286963,COUNTRY,Oman,True
3,EG,357994,COUNTRY,Egypt,True
4,HU,719819,COUNTRY,Hungary,True
5,JP,1861060,COUNTRY,Japan,True
6,UY,3439705,COUNTRY,Uruguay,True
7,GT,3595528,COUNTRY,Guatemala,True
8,NL,2750405,COUNTRY,Netherlands,True
9,DE,2921044,COUNTRY,Germany,True
10,FR,3017382,COUNTRY,France,True
11,LK,1227603,COUNTRY,Sri Lanka,True
12,CZ,3077311,COUNTRY,Czech Republic,True
13,FI,660013,COUNTRY,Finland,True
14,AZ,587116,COUNTRY,Azerbaijan,True
15,UA,690791,COUNTRY,Ukraine,True
16,AE,290557,COUNTRY,United Arab Emirates,True
17,BD,1210997,COUNTRY,Bangladesh,True
18,NO,3144096,COUNTRY,Norway,True
19,KZ,1522867,COUNTRY,Kazakhstan,True
20,CR,3624060,COUNTRY,Costa Rica,True
21,QA,289688,COUNTRY,Qatar,True
22,ES,2510769,COUNTRY,Spain,True
23,US,6252001,COUNTRY,United States,True
24,SE,2661886,COUNTRY,Sweden,True
25,CH,2658434,COUNTRY,Switzerland,True
26,AT,2782113,COUNTRY,Austria,True
27,IE,2963597,COUNTRY,Ireland,True
28,MX,3996063,COUNTRY,Mexico,True
29,RO,798549,COUNTRY,Romania,True
30,KE,192950,COUNTRY,Kenya,True
31,KW,285570,COUNTRY,Kuwait,True
32,DZ,2589581,COUNTRY,Algeria,True
33,GB,2635167,COUNTRY,United Kingdom,True
34,LB,272103,COUNTRY,Lebanon,True
35,DK,2623032,COUNTRY,Denmark,True
36,PA,3703430,COUNTRY,Panama,True
37,PR,4566966,COUNTRY,Puerto Rico,True
38,GR,390903,COUNTRY,Greece,True
39,SA,102358,COUNTRY,Saudi Arabia,True
40,ZA,953987,COUNTRY,South Africa,True
41,BH,290291,COUNTRY,Bahrain,True
42,CA,6251999,COUNTRY,Canada,True
43,KR,1835841,COUNTRY,South Korea,True
44,BR,3469034,COUNTRY,Brazil,True
45,IQ,99237,COUNTRY,Iraq,True
46,BE,2802361,COUNTRY,Belgium,True
47,PL,798544,COUNTRY,Poland,True
48,PY,3437598,COUNTRY,Paraguay,True
49,DO,3508796,COUNTRY,Dominican Republic,True
50,AR,3865483,COUNTRY,Argentina,True
51,MA,2542007,COUNTRY,Morocco,True
52,NG,2328926,COUNTRY,Nigeria,True
53,PK,1168579,COUNTRY,Pakistan,True
54,IT,3175395,COUNTRY,Italy,True
55,PT,2264397,COUNTRY,Portugal,True
56,BO,3923057,COUNTRY,Bolivia,True
57,AR,3435907,PROVINCE,Buenos Aires Province,True
58,JP,1850310,PROVINCE,Tochigi,True
59,SE,2721357,PROVINCE,Blekinge,True
60,KZ,1537162,PROVINCE,Almaty Region,True
61,EG,360016,PROVINCE,Sharqia,True
62,US,647,PROVINCE,"Greenwood-Greenville,DMA®",True
63,TR,298845,PROVINCE,Tunceli,True
64,US,542,PROVINCE,"Dayton,DMA®",True
65,US,669,PROVINCE,"Madison,DMA®",True
66,AR,3837029,PROVINCE,San Luis,True
67,DE,2944387,PROVINCE,Bremen,True
68,US,602,PROVINCE,"Chicago,DMA®",True
69,JP,1848649,PROVINCE,Yamanashi,True
70,ES,3336902,PROVINCE,Galicia,True
71,US,5224323,PROVINCE,Rhode Island,True
72,US,765,PROVINCE,"El Paso (Las Cruces),DMA®",True
73,KR,1838519,PROVINCE,Busan,True
74,PL,3337494,PROVINCE,Lubusz,True
75,KZ,1517381,PROVINCE,East Kazakhstan,True
76,US,604,PROVINCE,"Columbia-Jefferson City,DMA®",True
77,SA,109224,PROVINCE,Al Madinah Al Munawwarah,True
78,JP,1863983,PROVINCE,Fukui,True
79,BR,3393098,PROVINCE,Paraiba,True
80,PL,3337497,PROVINCE,Silesian,True
81,US,527,PROVINCE,"Indianapolis,DMA®",True
82,US,698,PROVINCE,"Montgomery-Selma,DMA®",True
83,KZ,1519367,PROVINCE,North Kazakhstan,True
84,EG,359787,PROVINCE,Aswan,True
85,TR,311728,PROVINCE,Mersin,True
86,IE,2963031,PROVINCE,Laois,True
87,US,556,PROVINCE,"Richmond-Petersburg,DMA®",True
88,FI,830709,PROVINCE,Uusimaa,True
89,PL,3337496,PROVINCE,Pomeranian,True
90,IT,3165244,PROVINCE,Trentino South Tyrol,True
91,US,617,PROVINCE,"Milwaukee,DMA®",True
92,CH,2658760,PROVINCE,Schaffhausen,True
93,PK,1162015,PROVINCE,Islamabad,True
94,US,811,PROVINCE,"Reno,DMA®",True
95,US,565,PROVINCE,"Elmira (Corning),DMA®",True
96,TR,740352,PROVINCE,Sakarya,True
97,US,5001836,PROVINCE,Michigan,True
98,BR,3451189,PROVINCE,Rio de Janeiro,True
99,FR,3030293,PROVINCE,Brittany,True
100,US,4921868,PROVINCE,Indiana,True
101,US,541,PROVINCE,"Lexington,DMA®",True
102,US,522,PROVINCE,"Columbus, GA (Opelika, AL),DMA®",True
103,BR,3457153,PROVINCE,Minas Gerais,True
104,KZ,1520239,PROVINCE,Pavlodar Region,True
105,EG,361849,PROVINCE,Dakahlia,True
106,BR,3408096,PROVINCE,Alagoas,True
107,KR,1841808,PROVINCE,Gwangju,True
108,IE,2960972,PROVINCE,Westmeath,True
109,US,564,PROVINCE,"Charleston-Huntington,DMA®",True
110,RO,664517,PROVINCE,Tulcea,True
