,level,name,country_code,ages_ranges,geo_location,genders,interests,behavior,scholarities,languages,family_statuses,all_fields,targeting,response,lower_end,upper_end,user_count_stage,timestamp
0,province,Najran,SA,AGE_25_34,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407485950DEEF743441B661C373', 'data': {'user_count': {'lower_end': 73000, 'upper_end': 91000}, 'user_count_stage': 2}}",73000,91000,2,2025-08-04 00:25:17.444229
1,province,Najran,SA,AGE_13_17,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074859FF758CDEC639A659B771', 'data': {'user_count': {'lower_end': 0, 'upper_end': 2000}, 'user_count_stage': 1}}",0,2000,1,2025-08-04 00:25:17.444229
2,province,Najran,SA,AGE_18_24,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040748594187032962A0895754F7', 'data': {'user_count': {'lower_end': 40000, 'upper_end': 51000}, 'user_count_stage': 2}}",40000,51000,2,2025-08-04 00:25:17.444229
3,province,Najran,SA,AGE_45_54,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074900A429B0619352D05DB6AC', 'data': {'user_count': {'lower_end': 7000, 'upper_end': 10000}, 'user_count_stage': 1}}",7000,10000,1,2025-08-04 00:25:17.444229
4,province,Najran,SA,AGE_55_100,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490094640EE7BE495556836D', 'data': {'user_count': {'lower_end': 11000, 'upper_end': 15000}, 'user_count_stage': 2}}",11000,15000,2,2025-08-04 00:25:17.444229
5,province,Najran,SA,AGE_35_44,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040749000DD6BAC1133A255DFED6', 'data': {'user_count': {'lower_end': 20000, 'upper_end': 26000}, 'user_count_stage': 2}}",20000,26000,2,2025-08-04 00:25:17.444229
6,province,Najran,SA,AGE_18_24,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490083C7C88E3E88475B99D6', 'data': {'user_count': {'lower_end': 49000, 'upper_end': 62000}, 'user_count_stage': 2}}",49000,62000,2,2025-08-04 00:25:17.444229
7,province,Najran,SA,AGE_25_34,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490087C75427A724425BE6A8', 'data': {'user_count': {'lower_end': 106000, 'upper_end': 131000}, 'user_count_stage': 2}}",106000,131000,2,2025-08-04 00:25:17.444229
8,province,Najran,SA,AGE_13_17,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490060BF2CBB5048E95FBA63', 'data': {'user_count': {'lower_end': 0, 'upper_end': 2000}, 'user_count_stage': 1}}",0,2000,1,2025-08-04 00:25:17.444229
9,province,Najran,SA,AGE_35_44,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074901C892D019574C8C9BCF33', 'data': {'user_count': {'lower_end': 37000, 'upper_end': 47000}, 'user_count_stage': 2}}",37000,47000,2,2025-08-04 00:25:17.444229
10,province,Najran,SA,AGE_45_54,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074901D8EA09657AD4D65B42B8', 'data': {'user_count': {'lower_end': 11000, 'upper_end': 15000}, 'user_count_stage': 2}}",11000,15000,2,2025-08-04 00:25:17.444229
11,province,Najran,SA,AGE_55_100,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074901183A01BCAC7C725D5769', 'data': {'user_count': {'lower_end': 9000, 'upper_end': 14000}, 'user_count_stage': 2}}",9000,14000,2,2025-08-04 00:25:17.444229
12,province,Northern Borders Province,SA,AGE_13_17,109579,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040749012738CE39779EF38C264E', 'data': {'user_count': {'lower_end': 0, 'upper_end': 2000}, 'user_count_stage': 1}}",0,2000,1,2025-08-04 00:25:17.444229
13,province,Northern Borders Province,SA,AGE_25_34,109579,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074902468E1B33B20785536A4A', 'data': {'user_count': {'lower_end': 52000, 'upper_end': 66000}, 'user_count_stage': 2}}",52000,66000,2,2025-08-04 00:25:17.444229
14,province,Northern Borders Province,SA,AGE_18_24,109579,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040749010DD6BAC1133A255DFEFC', 'data': {'user_count': {'lower_end': 29000, 'upper_end': 38000}, 'user_count_stage': 2}}",29000,38000,2,2025-08-04 00:25:17.444229
15,province,Northern Borders Province,SA,AGE_35_44,109579,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074902468E1B33B20785536A58', 'data': {'user_count': {'lower_end': 16000, 'upper_end': 22000}, 'user_count_stage': 2}}",16000,22000,2,2025-08-04 00:25:17.444229
16,province,Northern Borders Province,SA,AGE_45_54,109579,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490283C7C88E3E88475B99FE', 'data': {'user_count': {'lower_end': 4000, 'upper_end': 7000}, 'user_count_stage': 1}}",4000,7000,1,2025-08-04 00:25:17.444229
17,province,Northern Borders Province,SA,AGE_55_100,109579,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040749020ACE307F98745892332B', 'data': {'user_count': {'lower_end': 6000, 'upper_end': 10000}, 'user_count_stage': 1}}",6000,10000,1,2025-08-04 00:25:17.444229
18,province,Northern Borders Province,SA,AGE_13_17,109579,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804074903133519AAC6314758D3D6', 'data': {'user_count': {'lower_end': 0, 'upper_end': 2000}, 'user_count_stage': 1}}",0,2000,1,2025-08-04 00:25:17.444229
19,province,Northern Borders Province,SA,AGE_18_24,109579,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490382AE7ECC9EB9C65C3CF4', 'data': {'user_count': {'lower_end': 34000, 'upper_end': 43000}, 'user_count_stage': 2}}",34000,43000,2,2025-08-04 00:25:17.444229
20,province,Northern Borders Province,SA,AGE_25_34,109579,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490320E71AB2EF5A1960D4A0', 'data': {'user_count': {'lower_end': 77000, 'upper_end': 96000}, 'user_count_stage': 2}}",77000,96000,2,2025-08-04 00:25:17.444229
21,province,Northern Borders Province,SA,AGE_35_44,109579,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490324569FE37FB9AF5714AA', 'data': {'user_count': {'lower_end': 24000, 'upper_end': 31000}, 'user_count_stage': 2}}",24000,31000,2,2025-08-04 00:25:17.444229
22,province,Northern Borders Province,SA,AGE_45_54,109579,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['109579'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407490375DC9D42A68E167D2A91', 'data': {'user_count': {'lower_end': 7000, 'upper_end': 11000}, 'user_count_stage': 1}}",7000,11000,1,2025-08-04 00:25:17.444229
