iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
AND;AD;2000;2000;2000;2000;4053;3966;4370;4570;4400;4653;4937;5622;1.0;1.0;0.9785;1.0458;1.0575;1.1387;21760;22811;44571;1.0483
ARE;AE;2000;2000;1090268;371342;3316666;1166260;2154440;843321;771985;302016;298303;143793;1.0;0.3406;0.3516;0.3914;0.3912;0.482;7633662;2828732;10462394;0.3706
AFG;AF;2000;2000;1553430;348539;1617719;235600;502705;53811;126163;14468;139997;32248;1.0;0.2244;0.1456;0.107;0.1147;0.2303;3942014;686666;4628680;0.1742
ATG;AG;2000;2000;4400;4360;8600;8860;6700;7637;5100;6100;5425;6453;1.0;0.9909;1.0302;1.1399;1.1961;1.1895;32225;35410;67635;1.0988
AIA;AI;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
ALB;AL;2000;2000;95684;56190;214606;136119;160237;107809;110689;75616;184788;126359;1.0;0.5872;0.6343;0.6728;0.6831;0.6838;768004;504093;1272097;0.6564
ARM;AM;2000;2000;127504;117702;228136;197616;205883;205267;123517;143901;161723;258241;1.0;0.9231;0.8662;0.997;1.165;1.5968;848763;924727;1773490;1.0895
ANT;AN;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
AGO;AO;2000;2000;1275004;1013044;1082654;827411;488234;296126;204802;100588;207900;104968;1.0;0.7945;0.7642;0.6065;0.4911;0.5049;3260594;2344137;5604731;0.7189
ATA;AQ;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
ARG;AR;2037;2273;2102174;2244319;4300000;4300000;3366667;3600000;2500000;2700000;2684779;3509536;1.1159;1.0676;1.0;1.0693;1.08;1.3072;14955657;16356128;31311785;1.0936
ASM;AS;2000;2000;3373;3453;3700;4000;2900;3200;2400;2600;3000;3200;1.0;1.0237;1.0811;1.1034;1.0833;1.0667;17373;18453;35826;1.0622
AUT;AT;2000;2000;138874;144087;445888;440940;414264;445180;323755;354073;422080;447149;1.0;1.0375;0.9889;1.0746;1.0936;1.0594;1746861;1833429;3580290;1.0496
