iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
AND;2000;2000;3933;3992;6375;6038;4867;5367;4223;5090;3617;4529;1.0;1.015;0.9471;1.1027;1.2053;1.2521;25015;27016;52031;1.08
ARE;2392;2000;934247;500230;2300869;1086827;1243526;686855;408348;234035;163253;104214;0.8361;0.5354;0.4724;0.5523;0.5731;0.6384;5052635;2614161;7666796;0.5174
AFG;2000;2000;481483;161772;421663;91690;124445;17245;29209;5925;27518;6820;1.0;0.336;0.2174;0.1386;0.2028;0.2478;1086318;285452;1371770;0.2628
ATG;2000;2000;5301;6213;6791;7542;3756;4745;2143;2528;3000;3000;1.0;1.172;1.1106;1.2633;1.1797;1.0;22991;26028;49019;1.1321
AIA;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
ALB;2000;2000;142359;138529;222934;185521;129792;106031;66146;60854;66533;62934;1.0;0.9731;0.8322;0.8169;0.92;0.9459;629764;555869;1185633;0.8827
ARM;2000;2000;176230;177337;206008;200064;122696;164350;52104;96833;40307;103991;1.0;1.0063;0.9711;1.3395;1.8585;2.58;599345;744575;1343920;1.2423
ANT;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
AGO;2000;2000;201370;158671;175717;154062;77753;66120;27162;22529;28162;21067;1.0;0.788;0.8768;0.8504;0.8294;0.7481;512164;424449;936613;0.8287
ATA;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
ARG;2905;2133;3138254;3688712;3931341;4300000;2506028;3116666;1591483;2191637;1324922;2318500;0.7343;1.1754;1.0938;1.2437;1.3771;1.7499;12494933;15617648;28112581;1.2499
ASM;2000;2000;2900;3646;2000;2317;2000;2000;2000;2000;3000;3000;1.0;1.2572;1.1585;1.0;1.0;1.0;13900;14963;28863;1.0765
AUT;2000;2000;395692;407917;522384;524175;321792;383916;207671;266108;183646;224284;1.0;1.0309;1.0034;1.1931;1.2814;1.2213;1633185;1808400;3441585;1.1073
AUS;2000;2817;1505749;1685058;1971408;2198000;1252529;1557308;736134;1061216;736246;1234692;1.4085;1.1191;1.1149;1.2433;1.4416;1.677;6204066;7739091;13943157;1.2474
ABW;2000;2000;5733;6392;8372;8666;6246;7355;4087;5664;4475;6570;1.0;1.1149;1.0351;1.1776;1.3859;1.4682;30913;36647;67560;1.1855
AZE;2000;2225;569321;496125;738934;576192;427291;351216;176863;175554;154887;187546;1.1125;0.8714;0.7798;0.822;0.9926;1.2109;2069296;1788858;3858154;0.8645
BIH;2000;2000;142233;159250;190841;183809;107704;125604;60438;75525;44026;58426;1.0;1.1196;0.9632;1.1662;1.2496;1.3271;547242;604614;1151856;1.1048
BRB;2000;2000;17388;21337;24417;27091;16688;20447;11424;14916;11384;15750;1.0;1.2271;1.1095;1.2253;1.3057;1.3835;83301;101541;184842;1.219
BGD;3392;2554;2919569;1539797;1682270;658637;418586;192645;123325;60634;54142;26078;0.7529;0.5274;0.3915;0.4602;0.4917;0.4817;5201284;2480345;7681629;0.4769
BEL;2000;2000;548862;599021;694535;720821;438088;541425;317887;414748;334445;481766;1.0;1.0914;1.0378;1.2359;1.3047;1.4405;2335817;2759781;5095598;1.1815
BFA;2000;2000;58346;19764;53985;17835;21056;6666;7129;2274;5913;3389;1.0;0.3387;0.3304;0.3166;0.319;0.5731;148429;51928;200357;0.3499
BGR;2000;2000;233446;255883;287204;277909;174481;218196;110360;157721;69000;112521;1.0;1.0961;0.9676;1.2505;1.4292;1.6307;876491;1024230;1900721;1.1686
BHR;2000;2000;106867;88174;236476;144001;156321;99996;71646;47916;49712;33430;1.0;0.8251;0.6089;0.6397;0.6688;0.6725;623022;415517;1038539;0.6669
BDI;2000;2000;32712;20996;25254;13240;6910;3513;2229;2000;4604;4467;1.0;0.6418;0.5243;0.5084;0.8973;0.9702;73709;46216;119925;0.627
BEN;2000;2000;51950;28022;54312;30879;16606;8808;5552;3182;5295;3733;1.0;0.5394;0.5685;0.5304;0.5731;0.705;135715;76624;212339;0.5646
BLM;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
BMU;2000;2000;2725;3042;4040;4416;3654;4475;2754;3377;3079;4354;1.0;1.1163;1.0931;1.2247;1.2262;1.4141;18252;21664;39916;1.1869
BRN;2000;2000;31313;40854;48242;50996;28465;32529;13117;17399;9233;12017;1.0;1.3047;1.0571;1.1428;1.3264;1.3015;132370;155795;288165;1.177
BOL;2000;2000;471463;516517;392064;389126;160019;174438;67701;80008;49157;57296;1.0;1.0956;0.9925;1.0901;1.1818;1.1656;1142404;1219385;2361789;1.0674
BES;2000;2000;2000;2000;2000;2152;2000;2000;2000;2000;3000;3000;1.0;1.0;1.076;1.0;1.0;1.0;13000;13152;26152;1.0117
BRA;5441;5229;14654166;18070833;18751268;21741667;12625000;17075000;7291667;11466667;6141667;11762500;0.961;1.2332;1.1595;1.3525;1.5726;1.9152;59469209;80121896;139591105;1.3473
BHS;2000;2000;12975;16300;20628;23674;11450;14848;5642;8272;4320;6392;1.0;1.2563;1.1477;1.2968;1.4661;1.4796;57015;71486;128501;1.2538
BTN;2000;2000;26417;33133;26071;27563;11100;11163;3617;3082;3175;3254;1.0;1.2542;1.0572;1.0057;0.8521;1.0249;72380;80195;152575;1.108
BWA;2000;2000;39741;42858;33853;39425;15770;19487;5968;6726;6579;8408;1.0;1.0784;1.1646;1.2357;1.127;1.278;103911;118904;222815;1.1443
BLR;2000;2000;329651;500359;427864;575949;325706;573008;130311;341509;85326;314404;1.0;1.5178;1.3461;1.7593;2.6207;3.6847;1300858;2307229;3608087;1.7736
BLZ;2000;2000;26236;28562;19996;23032;8565;11426;3514;4879;3000;3508;1.0;1.0887;1.1518;1.334;1.3884;1.1693;63311;73407;136718;1.1595
CAN;2046;2000;2049805;2215788;2958333;3079167;1769201;2184721;1077335;1397917;1075672;1703896;0.9775;1.081;1.0408;1.2349;1.2976;1.584;8932392;10583489;19515881;1.1848
COD;2000;2000;228669;114133;184750;79963;53576;22562;18496;8034;43658;25704;1.0;0.4991;0.4328;0.4211;0.4344;0.5888;531149;252396;783545;0.4752
CAF;2000;2000;2629;2000;3009;2000;2000;2000;2000;2000;3000;3000;1.0;0.7607;0.6647;1.0;1.0;1.0;14638;13000;27638;0.8881
COG;2000;2000;50071;28775;32830;19475;11300;6550;4059;2354;6946;5075;1.0;0.5747;0.5932;0.5796;0.5799;0.7306;107206;64229;171435;0.5991
CHE;2000;2000;403563;392317;546458;538992;383481;437666;264834;314355;256354;303788;1.0;0.9721;0.9863;1.1413;1.187;1.185;1856690;1989118;3845808;1.0713
CIV;2000;2000;210008;118516;229670;129309;108250;62171;47575;17587;31604;14513;1.0;0.5643;0.563;0.5743;0.3697;0.4592;629107;344096;973203;0.547
COK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
CHL;2000;2058;1369608;1500537;1988038;2003975;1247742;1436083;671421;938712;607767;1017517;1.029;1.0956;1.008;1.1509;1.3981;1.6742;5886576;6898882;12785458;1.172
CMR;2000;2000;146200;90138;134913;88954;53273;33305;16815;8992;15446;10883;1.0;0.6165;0.6593;0.6252;0.5348;0.7046;368647;234272;602919;0.6355
CHN;2233;2000;631325;779109;949251;813045;321516;183821;56979;26784;21154;11234;0.8957;1.2341;0.8565;0.5717;0.4701;0.5311;1982458;1815993;3798451;0.916
COL;2209;8621;2464166;2913900;3245833;3722645;1762242;2271829;887229;1325658;830217;1385467;3.9027;1.1825;1.1469;1.2892;1.4942;1.6688;9191896;11628120;20820016;1.265
CRI;2000;2000;327429;366413;394271;410562;247341;293112;120058;153045;92716;136475;1.0;1.1191;1.0413;1.1851;1.2748;1.472;1183815;1361607;2545422;1.1502
CPV;2000;2000;22495;21273;22028;22687;12591;14692;5030;5946;4205;4306;1.0;0.9457;1.0299;1.1669;1.1821;1.024;68349;70904;139253;1.0374
CUW;2000;2000;5221;5981;8378;9835;6226;8578;4304;6227;5021;8173;1.0;1.1456;1.1739;1.3778;1.4468;1.6278;31150;40794;71944;1.3096
CXR;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
CYP;2000;2000;108400;102770;141387;117983;84573;93421;47521;61446;41925;54208;1.0;0.9481;0.8345;1.1046;1.293;1.293;425806;431828;857634;1.0141
CZE;2000;2000;506066;578058;556741;573712;313663;407874;210684;324674;127666;199804;1.0;1.1423;1.0305;1.3004;1.541;1.5651;1716820;2086122;3802942;1.2151
DEU;2000;2000;3574579;3624917;4658333;4566667;2981924;3500000;1832262;2309680;1797267;2197428;1.0;1.0141;0.9803;1.1737;1.2606;1.2226;14846365;16200692;31047057;1.0912
DJI;2000;2000;7509;5025;7766;5017;2608;2012;2000;2000;3000;3000;1.0;0.6692;0.646;0.7715;1.0;1.0;24883;19054;43937;0.7657
DNK;2000;2000;271770;299191;334680;395245;192318;268783;167600;251256;193120;362094;1.0;1.1009;1.181;1.3976;1.4991;1.875;1161488;1578569;2740057;1.3591
DMA;2000;2000;3850;4141;4250;4079;2117;2154;2000;2000;3000;3000;1.0;1.0756;0.9598;1.0175;1.0;1.0;17217;17374;34591;1.0091
DOM;2000;2062;621833;694613;823725;918230;420035;510371;214308;275931;178021;231688;1.031;1.117;1.1147;1.2151;1.2875;1.3015;2259922;2632895;4892817;1.165
DZA;2429;2417;2327083;2240058;2299425;1791284;1068655;819909;431984;367034;288283;252878;0.9951;0.9626;0.779;0.7672;0.8496;0.8772;6417859;5473580;11891439;0.8529
ECU;2000;2000;974958;1085129;1049227;1132187;534529;659483;269117;364438;213120;312991;1.0;1.113;1.0791;1.2338;1.3542;1.4686;3042951;3556228;6599179;1.1687
EST;2000;2000;50933;64862;66340;76845;49581;73438;22771;42838;13280;35142;1.0;1.2735;1.1584;1.4812;1.8813;2.6462;204905;295125;500030;1.4403
EGY;6938;3271;4283333;3880367;3600906;2900000;1673921;1425375;689579;611662;471188;448513;0.4715;0.9059;0.8054;0.8515;0.887;0.9519;10725865;9269188;19995053;0.8642
ESH;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
ERI;2000;2000;3862;3067;3521;2683;2000;2000;2000;2000;3000;3000;1.0;0.7941;0.762;1.0;1.0;1.0;16383;14750;31133;0.9003
