iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio
ABW;2859;2740;4723;4371;6182;6353;6351;7395;6938;8432;15035.0;19135.0;0.9584;0.9255;1.0277;1.1644;1.2153;1.2727;42088.0;48426.0;90514.0;1.1506;17256;18119;1.05
AFG;1961468;1865308;3013230;2892092;3035644;2983339;1825983;1806722;1179632;1212466;1043082.0;1300087.0;0.951;0.9598;0.9828;0.9895;1.0278;1.2464;12059039.0;12060014.0;24119053.0;1.0001;7874857;7682153;0.9755
AGO;1611274;1607353;2219873;2233575;2423854;2475090;1725874;1795279;1094727;1200928;1130474.0;1357638.0;0.9976;1.0062;1.0211;1.0402;1.097;1.2009;10206076.0;10669863.0;20875939.0;1.0454;6369601;6503944;1.0211
AIA;459;469;709;695;851;839;1039;1153;1098;1143;1635.0;1932.0;1.0218;0.9803;0.9859;1.1097;1.041;1.1817;5791.0;6231.0;12022.0;1.076;2599;2687;1.0339
ALB;70297;64216;142549;133467;236255;229536;172195;172429;151855;177657;387095.0;433287.0;0.9135;0.9363;0.9716;1.0014;1.1699;1.1193;1160246.0;1210592.0;2370838.0;1.0434;550999;535432;0.9717
AND;1792;1588;3238;3033;5533;4859;6269;6106;7383;7113;12206.0;12059.0;0.8862;0.9367;0.8782;0.974;0.9634;0.988;36421.0;34758.0;71179.0;0.9543;15040;13998;0.9307
ARE;182809;176044;712735;478190;2132159;902615;1598274;765321;811507;355361;428475.0;273459.0;0.963;0.6709;0.4233;0.4788;0.4379;0.6382;5865959.0;2950990.0;8816949.0;0.5031;4443168;2146126;0.483
ARG;1462390;1382517;2484209;2374184;3527941;3404195;3227999;3155212;2644292;2657307;4336534.0;5312314.0;0.9454;0.9557;0.9649;0.9775;1.0049;1.225;17683365.0;18285729.0;35969094.0;1.0341;9240149;8933591;0.9668
ARM;74864;71253;119161;119275;214398;226658;206955;236909;150447;184566;301236.0;461904.0;0.9518;1.001;1.0572;1.1447;1.2268;1.5334;1067061.0;1300565.0;2367626.0;1.2188;540514;582842;1.0783
ASM;1981;1902;2812;2611;2949;2974;3011;2869;3139;2957;4125.0;4275.0;0.9601;0.9285;1.0085;0.9528;0.942;1.0364;18017.0;17588.0;35605.0;0.9762;8772;8454;0.9637
ATG;2626;2558;4735;4621;7108;7327;6425;6963;5985;7056;9425.0;12505.0;0.9741;0.9759;1.0308;1.0837;1.1789;1.3268;36304.0;41030.0;77334.0;1.1302;18268;18911;1.0352
AUS;661341;623421;1146928;1081317;1912054;1893156;1819350;1850597;1632025;1675682;3601921.0;3977247.0;0.9427;0.9428;0.9901;1.0172;1.0268;1.1042;10773619.0;11101420.0;21875039.0;1.0304;4878332;4825070;0.9891
AUT;178458;169783;340860;321891;624506;597588;622144;610029;629536;636561;1471453.0;1709410.0;0.9514;0.9443;0.9569;0.9805;1.0112;1.1617;3866957.0;4045262.0;7912219.0;1.0461;1587510;1529508;0.9635
AZE;322625;289035;472874;440718;868994;921404;797297;826159;585209;644982;870620.0;1118033.0;0.8959;0.932;1.0603;1.0362;1.1021;1.2842;3917619.0;4240331.0;8157950.0;1.0824;2139165;2188281;1.023
BDI;650212;648645;815210;816694;887588;900508;715729;740699;369971;388595;341590.0;407449.0;0.9976;1.0018;1.0146;1.0349;1.0503;1.1928;3780300.0;3902590.0;7682890.0;1.0323;2418527;2457901;1.0163
BEL;277159;264462;473221;453764;748941;745071;759274;759987;772321;758064;1822241.0;2078882.0;0.9542;0.9589;0.9948;1.0009;0.9815;1.1408;4853157.0;5060230.0;9913387.0;1.0427;1981436;1958822;0.9886
BEN;627900;609186;919968;892346;1011383;993839;700921;711140;451145;473515;472316.0;542591.0;0.9702;0.97;0.9827;1.0146;1.0496;1.1488;4183633.0;4222617.0;8406250.0;1.0093;2632272;2597325;0.9867
BES;649;595;999;946;2250;2134;2399;2218;2209;2043;4448.0;4150.0;0.9168;0.9469;0.9484;0.9246;0.9249;0.933;12954.0;12086.0;25040.0;0.933;5648;5298;0.938
