iso2;age_13_17_women;age_13_17_men;age_18_24_women;age_18_24_men;age_25_34_women;age_25_34_men;age_35_44_women;age_35_44_men;age_45_54_women;age_45_54_men;age_55_100_women;age_55_100_men;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
AE;1500.0;1500.0;1561500.0;3927000.0;3132500.0;7659500.0;2099000.0;3885000.0;718500.0;995000.0;548000.0;707500.0;1.0;0.39763177998472116;0.40896925386774596;0.5402831402831403;0.7221105527638191;0.7745583038869258;17175500.0;8061000.0;25236500.0;0.4693313149544409
AR;500.0;500.0;3877000.0;3487000.0;5408000.0;6761000.0;1886000.0;2272000.0;1204000.0;1397500.0;1093500.0;1077500.0;1.0;1.111843991970175;0.7998816743085342;0.8301056338028169;0.8615384615384616;1.0148491879350348;14995500.0;13469000.0;28464500.0;0.8982027941715848
AT;500.0;500.0;376000.0;312500.0;396500.0;366000.0;210500.0;194000.0;168000.0;156000.0;107500.0;102000.0;1.0;1.2032;1.0833333333333333;1.0850515463917525;1.0769230769230769;1.053921568627451;1131000.0;1259000.0;2390000.0;1.1131741821396994
AZ;500.0;500.0;869500.0;825000.0;1283000.0;1720500.0;527500.0;828500.0;278000.0;417500.0;384000.0;429500.0;1.0;1.053939393939394;0.7457134553908747;0.6366928183464092;0.665868263473054;0.8940628637951106;4221500.0;3342500.0;7564000.0;0.791780172924316
BD;500.0;500.0;7770500.0;15159500.0;7879000.0;17015000.0;1229500.0;3106500.0;421500.0;917500.0;621500.0;1239000.0;1.0;0.5125828688281275;0.46306200411401705;0.3957830355705778;0.4594005449591281;0.5016142050040355;37438000.0;17922500.0;55360500.0;0.4787248250440729
BE;500.0;500.0;577000.0;476000.0;610500.0;486000.0;364000.0;303500.0;248500.0;209500.0;172000.0;134000.0;1.0;1.2121848739495797;1.2561728395061729;1.1993410214168039;1.1861575178997614;1.2835820895522387;1609500.0;1972500.0;3582000.0;1.2255358807082946
BH;500.0;500.0;117500.0;145000.0;226000.0;366000.0;86000.0;152000.0;39000.0;61500.0;31500.0;38500.0;1.0;0.8103448275862069;0.6174863387978142;0.5657894736842105;0.6341463414634146;0.8181818181818182;763500.0;500500.0;1264000.0;0.6555337262606418
BO;500.0;500.0;1324000.0;1372000.0;1644500.0;2196500.0;609500.0;770500.0;328500.0;378500.0;329500.0;317500.0;1.0;0.9650145772594753;0.7486910994764397;0.7910447761194029;0.8678996036988111;1.0377952755905513;5035500.0;4236500.0;9272000.0;0.841326581272962
BR;500.0;500.0;14692000.0;13328000.0;20348000.0;27399500.0;8873000.0;11673000.0;6026000.0;7803000.0;6447000.0;7685000.0;1.0;1.1023409363745498;0.7426412890746181;0.7601302150261287;0.7722670767653467;0.8389069616135328;67889000.0;56386500.0;124275500.0;0.8305690170719852
BY;500.0;500.0;1070500.0;1018000.0;1174500.0;1598000.0;450500.0;606000.0;310500.0;357500.0;394000.0;360000.0;1.0;1.0515717092337917;0.7349812265331664;0.7433993399339934;0.8685314685314686;1.0944444444444446;3940000.0;3400500.0;7340500.0;0.8630710659898477
