level;iso2;name;age_13_17_women;age_13_17_men;age_18_24_women;age_18_24_men;age_25_34_women;age_25_34_men;age_35_44_women;age_35_44_men;age_45_54_women;age_45_54_men;age_55_100_women;age_55_100_men;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
dma;US;Abilene-Sweetwater;500.0;500.0;14000.0;11500.0;15000.0;17500.0;16000.0;18500.0;11500.0;13000.0;11500.0;16000.0;1.0;1.2174;0.8571;0.8649;0.8846;0.7188;77000.0;68500.0;145500.0;0.8896
dma;US;Albany, GA;500.0;500.0;17500.0;14000.0;19500.0;19500.0;24000.0;23000.0;15000.0;15000.0;14000.0;18500.0;1.0;1.25;1.0;1.0435;1.0;0.7568;90500.0;90500.0;181000.0;1.0
dma;US;Albany-Schenectady-Troy;500.0;500.0;63000.0;51500.0;76000.0;83000.0;79000.0;82500.0;48500.0;51500.0;55000.0;77500.0;1.0;1.2233;0.9157;0.9576;0.9417;0.7097;346500.0;322000.0;668500.0;0.9293
dma;US;Albuquerque-Santa Fe;500.0;500.0;81500.0;61000.0;89500.0;101500.0;89500.0;100500.0;65000.0;66000.0;67000.0;88500.0;1.0;1.3361;0.8818;0.8905;0.9848;0.7571;418000.0;393000.0;811000.0;0.9402
dma;US;Alexandria, LA;500.0;500.0;8500.0;7500.0;10500.0;10500.0;12000.0;11500.0;7500.0;7000.0;7000.0;8500.0;1.0;1.1333;1.0;1.0435;1.0714;0.8235;45500.0;46000.0;91500.0;1.011
dma;US;Alpena;500.0;500.0;1500.0;500.0;1500.0;1500.0;1500.0;1500.0;500.0;500.0;1500.0;1500.0;1.0;3.0;1.0;1.0;1.0;1.0;6000.0;7000.0;13000.0;1.1667
dma;US;Amarillo;500.0;500.0;26000.0;21000.0;27000.0;30500.0;27500.0;30500.0;19500.0;19500.0;17000.0;23000.0;1.0;1.2381;0.8852;0.9016;1.0;0.7391;125000.0;117500.0;242500.0;0.94
dma;US;Anchorage;500.0;500.0;19500.0;16000.0;21500.0;23000.0;17000.0;19000.0;11500.0;12000.0;11500.0;16000.0;1.0;1.2188;0.9348;0.8947;0.9583;0.7188;86500.0;81500.0;168000.0;0.9422
dma;US;Atlanta;500.0;500.0;502000.0;432000.0;571500.0;667500.0;578000.0;652500.0;387000.0;436000.0;400500.0;589500.0;1.0;1.162;0.8562;0.8858;0.8876;0.6794;2778000.0;2439500.0;5217500.0;0.8781
dma;US;Augusta-Aiken;500.0;500.0;29500.0;24500.0;35000.0;35000.0;40500.0;37000.0;25000.0;24000.0;24000.0;31500.0;1.0;1.2041;1.0;1.0946;1.0417;0.7619;152500.0;154500.0;307000.0;1.0131
dma;US;Austin;500.0;500.0;140500.0;105000.0;181000.0;191500.0;139000.0;164000.0;92000.0;99500.0;94000.0;131500.0;1.0;1.3381;0.9452;0.8476;0.9246;0.7148;692000.0;647000.0;1339000.0;0.935
dma;US;Bakersfield;500.0;500.0;50500.0;37000.0;55000.0;61000.0;48500.0;51500.0;32000.0;31500.0;32500.0;42000.0;1.0;1.3649;0.9016;0.9417;1.0159;0.7738;223500.0;219000.0;442500.0;0.9799
dma;US;Baltimore;500.0;500.0;139000.0;112500.0;173000.0;184000.0;174000.0;175500.0;102000.0;105500.0;109000.0;154000.0;1.0;1.2356;0.9402;0.9915;0.9668;0.7078;732000.0;697500.0;1429500.0;0.9529
dma;US;Bangor;500.0;500.0;12000.0;9500.0;13000.0;12000.0;13000.0;12000.0;9500.0;8500.0;9500.0;12000.0;1.0;1.2632;1.0833;1.0833;1.1176;0.7917;54500.0;57500.0;112000.0;1.055
dma;US;Baton Rouge;500.0;500.0;49500.0;39500.0;55000.0;58000.0;62500.0;62500.0;39500.0;42000.0;39500.0;55000.0;1.0;1.2532;0.9483;1.0;0.9405;0.7182;257500.0;246500.0;504000.0;0.9573
dma;US;Beaumont-Port Arthur;500.0;500.0;19500.0;17000.0;23500.0;25000.0;27000.0;28000.0;17500.0;18500.0;16500.0;21500.0;1.0;1.1471;0.94;0.9643;0.9459;0.7674;110500.0;104500.0;215000.0;0.9457
dma;US;Bend, OR;500.0;500.0;7000.0;5000.0;7000.0;7000.0;5000.0;5000.0;4000.0;4000.0;4000.0;6000.0;1.0;1.4;1.0;1.0;1.0;0.6667;27500.0;27500.0;55000.0;1.0
dma;US;Billings;500.0;500.0;11000.0;8500.0;11500.0;11000.0;10500.0;11500.0;8000.0;8000.0;7500.0;9500.0;1.0;1.2941;1.0455;0.913;1.0;0.7895;49000.0;49000.0;98000.0;1.0
dma;US;Biloxi-Gulfport;500.0;500.0;17500.0;15000.0;19500.0;19500.0;23500.0;21500.0;16000.0;15000.0;15000.0;19500.0;1.0;1.1667;1.0;1.093;1.0667;0.7692;91000.0;92000.0;183000.0;1.011
dma;US;Binghamton;500.0;500.0;11500.0;9500.0;13000.0;13500.0;14000.0;13500.0;8500.0;8500.0;9500.0;12000.0;1.0;1.2105;0.963;1.037;1.0;0.7917;57500.0;57000.0;114500.0;0.9913
dma;US;Birmingham (Anniston-Tuscaloosa);500.0;500.0;121500.0;98500.0;136000.0;149500.0;154000.0;169500.0;107000.0;118000.0;103500.0;148500.0;1.0;1.2335;0.9097;0.9086;0.9068;0.697;684500.0;622500.0;1307000.0;0.9094
dma;US;Bluefield-Beckley-Oak Hill;500.0;500.0;11500.0;9500.0;13000.0;14000.0;17000.0;17500.0;12500.0;12000.0;11500.0;15000.0;1.0;1.2105;0.9286;0.9714;1.0417;0.7667;68500.0;66000.0;134500.0;0.9635
