,country_code,region_id,region_level,region_name,support_below_18
0,AZ,587116,COUNTRY,Azerbaijan,True
1,IQ,99237,COUNTRY,Iraq,True
2,IE,2963597,COUNTRY,Ireland,True
3,PK,1168579,COUNTRY,Pakistan,True
4,UA,690791,COUNTRY,Ukraine,True
5,US,6252001,COUNTRY,United States,True
6,PA,3703430,COUNTRY,Panama,True
7,CZ,3077311,COUNTRY,Czech Republic,True
8,BO,3923057,COUNTRY,Bolivia,True
9,CR,3624060,COUNTRY,Costa Rica,True
10,KZ,1522867,COUNTRY,Kazakhstan,True
11,TR,298795,COUNTRY,Turkey,True
12,BR,3469034,COUNTRY,Brazil,True
13,ZA,953987,COUNTRY,South Africa,True
14,DE,2921044,COUNTRY,Germany,True
15,OM,286963,COUNTRY,Oman,True
16,NG,2328926,COUNTRY,Nigeria,True
17,KR,1835841,COUNTRY,South Korea,True
18,UY,3439705,COUNTRY,Uruguay,True
19,NL,2750405,COUNTRY,Netherlands,True
20,PT,2264397,COUNTRY,Portugal,True
21,AT,2782113,COUNTRY,Austria,True
22,AR,3865483,COUNTRY,Argentina,True
23,QA,289688,COUNTRY,Qatar,True
24,DK,2623032,COUNTRY,Denmark,True
25,GR,390903,COUNTRY,Greece,True
26,DZ,2589581,COUNTRY,Algeria,True
27,PL,798544,COUNTRY,Poland,True
28,BY,630336,COUNTRY,Belarus,True
29,DO,3508796,COUNTRY,Dominican Republic,True
30,CA,6251999,COUNTRY,Canada,True
31,IT,3175395,COUNTRY,Italy,True
32,BD,1210997,COUNTRY,Bangladesh,True
33,FI,660013,COUNTRY,Finland,True
34,BH,290291,COUNTRY,Bahrain,True
35,FR,3017382,COUNTRY,France,True
36,MA,2542007,COUNTRY,Morocco,True
37,AE,290557,COUNTRY,United Arab Emirates,True
38,LK,1227603,COUNTRY,Sri Lanka,True
39,HU,719819,COUNTRY,Hungary,True
40,LB,272103,COUNTRY,Lebanon,True
41,CH,2658434,COUNTRY,Switzerland,True
42,JP,1861060,COUNTRY,Japan,True
43,SE,2661886,COUNTRY,Sweden,True
44,NO,3144096,COUNTRY,Norway,True
45,BE,2802361,COUNTRY,Belgium,True
46,EG,357994,COUNTRY,Egypt,True
47,RO,798549,COUNTRY,Romania,True
48,MX,3996063,COUNTRY,Mexico,True
49,PY,3437598,COUNTRY,Paraguay,True
50,GB,2635167,COUNTRY,United Kingdom,True
51,ES,2510769,COUNTRY,Spain,True
52,GT,3595528,COUNTRY,Guatemala,True
53,SA,102358,COUNTRY,Saudi Arabia,True
54,KW,285570,COUNTRY,Kuwait,True
55,PR,4566966,COUNTRY,Puerto Rico,True
56,KE,192950,COUNTRY,Kenya,True
57,TR,321022,PROVINCE,Bitlis,True
58,MX,3527115,PROVINCE,Hidalgo,True
59,TR,740263,PROVINCE,Samsun,True
60,CH,2658370,PROVINCE,Ticino,True
61,US,536,PROVINCE,"Youngstown,DMA®",True
62,MX,4013513,PROVINCE,Colima,True
63,US,650,PROVINCE,"Oklahoma City,DMA®",True
64,US,558,PROVINCE,"Lima,DMA®",True
65,MX,3523272,PROVINCE,Mexico,True
66,DE,2944387,PROVINCE,Bremen,True
67,AE,292933,PROVINCE,Ajman,True
68,FI,830699,PROVINCE,South Karelia,True
69,US,548,PROVINCE,"West Palm Beach-Fort Pierce,DMA®",True
70,US,582,PROVINCE,"Lafayette, IN,DMA®",True
71,TR,316540,PROVINCE,Diyarbakir,True
72,US,545,PROVINCE,"Greenville-New Bern-Washington,DMA®",True
73,TR,743165,PROVINCE,Kirklareli,True
74,JP,1863958,PROVINCE,Fukuoka,True
75,TR,311071,PROVINCE,Isparta,True
76,FI,830685,PROVINCE,Central Finland,True
77,US,515,PROVINCE,"Cincinnati,DMA®",True
78,AT,2774686,PROVINCE,Carinthia,True
79,IT,2525468,PROVINCE,Calabria,True
80,DE,2951839,PROVINCE,Bavaria,True
81,TR,323784,PROVINCE,Ankara,True
82,US,583,PROVINCE,"Alpena,DMA®",True
83,KR,1843561,PROVINCE,Incheon,True
84,IT,3176525,PROVINCE,Friuli Venezia Giulia,True
85,BR,3474575,PROVINCE,Tocantins,True
86,TR,749747,PROVINCE,Cankiri,True
87,ES,6362988,PROVINCE,Melilla,True
88,FR,3012874,PROVINCE,Ile de France,True
89,RO,686192,PROVINCE,Arges,True
90,US,560,PROVINCE,"Raleigh-Durham (Fayetteville),DMA®",True
91,US,609,PROVINCE,"St. Louis,DMA®",True
92,TR,443186,PROVINCE,Batman,True
93,IE,2961731,PROVINCE,Roscommon,True
94,DK,6418540,PROVINCE,North Jutland Region,True
95,AT,2770542,PROVINCE,Lower Austria,True
96,SA,105298,PROVINCE,Jazan,True
97,US,561,PROVINCE,"Jacksonville,DMA®",True
98,PL,858789,PROVINCE,Podlaskie,True
99,SE,2711508,PROVINCE,Gotland,True
100,IT,3169778,PROVINCE,Apulia,True
101,US,5879092,PROVINCE,Alaska,True
102,TR,325163,PROVINCE,Agri,True
103,BR,3662560,PROVINCE,Roraima,True
104,FR,3027939,PROVINCE,Centre Val de Loire,True
105,JP,1862413,PROVINCE,Hiroshima,True
106,US,5509151,PROVINCE,Nevada,True
107,US,754,PROVINCE,"Butte-Bozeman,DMA®",True
108,BE,2800867,PROVINCE,Brussels-Capital Region,True
109,US,651,PROVINCE,"Lubbock,DMA®",True
110,SA,109470,PROVINCE,Al Jawf,True
111,US,641,PROVINCE,"San Antonio,DMA®",True
112,TR,315372,PROVINCE,Erzincan,True
113,RO,680428,PROVINCE,Covasna,True
114,ES,3336899,PROVINCE,Aragon,True
115,BR,3393098,PROVINCE,Paraiba,True
116,US,4826850,PROVINCE,West Virginia,True
117,US,546,PROVINCE,"Columbia, SC,DMA®",True
118,US,801,PROVINCE,"Eugene,DMA®",True
119,RO,675810,PROVINCE,Iasi,True
120,TR,300617,PROVINCE,Sivas,True
121,US,820,PROVINCE,"Portland, OR,DMA®",True
122,MA,11281885,PROVINCE,Laayoune-Sakia El Hamra,True
123,TR,317106,PROVINCE,Denizli,True
124,AR,3838231,PROVINCE,Salta,True
125,US,4971068,PROVINCE,Maine,True
126,ES,3336898,PROVINCE,Cantabria,True
127,JP,1848938,PROVINCE,Wakayama,True
128,PT,2267094,PROVINCE,Leiria,True
129,CA,6113358,PROVINCE,Prince Edward Island,True
130,US,705,PROVINCE,"Wausau-Rhinelander,DMA®",True
131,SE,2702976,PROVINCE,Jonkoping,True
132,TR,303826,PROVINCE,Nigde,True
133,TR,304919,PROVINCE,Malatya,True
134,US,682,PROVINCE,"Davenport-Rock Island-Moline,DMA®",True
135,MX,3516391,PROVINCE,Tamaulipas,True
136,US,522,PROVINCE,"Columbus, GA (Opelika, AL),DMA®",True
137,US,552,PROVINCE,"Presque Isle,DMA®",True
138,RO,665091,PROVINCE,Timis,True
139,FI,52300009,PROVINCE,South Ostrobothnia,True
140,US,530,PROVINCE,"Tallahassee-Thomasville,DMA®",True
141,RO,662893,PROVINCE,Valcea,True
142,JP,2112518,PROVINCE,Iwate,True
143,MA,11281876,PROVINCE,Fes-Meknes,True
144,AR,3430657,PROVINCE,Misiones,True
145,FR,11071623,PROVINCE,Occitania,True
146,CH,2658563,PROVINCE,Solothurn,True
147,MX,3515359,PROVINCE,Tlaxcala,True
148,EG,350546,PROVINCE,Qena,True
149,PT,2270984,PROVINCE,Beja,True
150,IT,3183560,PROVINCE,Abruzzo,True
151,US,508,PROVINCE,"Pittsburgh,DMA®",True
152,DE,2838632,PROVINCE,Schleswig Holstein,True
153,RO,683844,PROVINCE,Brasov,True
154,US,520,PROVINCE,"Augusta-Aiken,DMA®",True
155,NO,3143242,PROVINCE,Oslo,True
156,TR,311728,PROVINCE,Mersin,True
157,US,756,PROVINCE,"Billings,DMA®",True
158,US,618,PROVINCE,"Houston,DMA®",True
159,IE,2964752,PROVINCE,Donegal,True
160,DK,6418541,PROVINCE,Region Zealand,True
161,KZ,1519928,PROVINCE,Kostanay Region,True
162,FI,830675,PROVINCE,Central Ostrobothnia,True
163,JP,2112922,PROVINCE,Fukushima,True
164,US,4138106,PROVINCE,District of Columbia,True
165,CA,6115047,PROVINCE,Quebec,True
166,US,5690763,PROVINCE,North Dakota,True
167,US,789,PROVINCE,"Tucson (Sierra Vista),DMA®",True
168,US,771,PROVINCE,"Yuma-El Centro,DMA®",True
169,NO,3144301,PROVINCE,Nordland,True
170,TR,749778,PROVINCE,Canakkale,True
171,AR,3861244,PROVINCE,Chubut,True
172,RO,686253,PROVINCE,Arad,True
173,RO,673887,PROVINCE,Maramures,True
174,JP,1859133,PROVINCE,Kochi,True
175,US,810,PROVINCE,"Yakima-Pasco-Richland-Kennewick,DMA®",True
176,RO,681290,PROVINCE,Cluj-Napoca,True
177,SE,2664292,PROVINCE,Vasternorrland,True
178,PT,2268337,PROVINCE,Faro,True
179,RO,665849,PROVINCE,Suceava,True
180,JP,1848649,PROVINCE,Yamanashi,True
181,US,569,PROVINCE,"Harrisonburg,DMA®",True
182,US,525,PROVINCE,"Albany, GA,DMA®",True
183,EG,359787,PROVINCE,Aswan,True
