,level,name,country_code,ages_ranges,geo_location,genders,interests,behavior,scholarities,languages,family_statuses,all_fields,targeting,response,lower_end,upper_end,user_count_stage,timestamp
0,province,Najran,SA,AGE_18_24,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040036026BF3079CD8616752B796', 'data': {'user_count': {'lower_end': 40000, 'upper_end': 51000}, 'user_count_stage': 2}}",40000,51000,2,2025-08-03 17:15:33.937514
1,province,Najran,SA,AGE_13_17,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804003602D8A004A41AE7D74C1489', 'data': {'user_count': {'lower_end': 0, 'upper_end': 2000}, 'user_count_stage': 1}}",0,2000,1,2025-08-03 17:15:33.937514
2,province,Najran,SA,AGE_25_34,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040036020CCDB3975582C34E88ED', 'data': {'user_count': {'lower_end': 73000, 'upper_end': 91000}, 'user_count_stage': 2}}",73000,91000,2,2025-08-03 17:15:33.937514
3,province,Najran,SA,AGE_35_44,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804003602CBCC3228E25BC6554216', 'data': {'user_count': {'lower_end': 20000, 'upper_end': 26000}, 'user_count_stage': 2}}",20000,26000,2,2025-08-03 17:15:33.937514
4,province,Najran,SA,AGE_45_54,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080400360205AAC22BAAB3554F3EB2', 'data': {'user_count': {'lower_end': 7000, 'upper_end': 10000}, 'user_count_stage': 1}}",7000,10000,1,2025-08-03 17:15:33.937514
5,province,Najran,SA,AGE_55_100,103628,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804003602FF3E994A323061784692', 'data': {'user_count': {'lower_end': 11000, 'upper_end': 15000}, 'user_count_stage': 2}}",11000,15000,2,2025-08-03 17:15:33.937514
6,province,Najran,SA,AGE_13_17,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804003603ABF5FC9CB531054B9D64', 'data': {'user_count': {'lower_end': 0, 'upper_end': 2000}, 'user_count_stage': 1}}",0,2000,1,2025-08-03 17:15:33.937514
7,province,Najran,SA,AGE_18_24,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508040036034026A08F71AF9D4BE9DE', 'data': {'user_count': {'lower_end': 49000, 'upper_end': 62000}, 'user_count_stage': 2}}",49000,62000,2,2025-08-03 17:15:33.937514
8,province,Najran,SA,AGE_25_34,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804003603C8547C0EF8B8524095E9', 'data': {'user_count': {'lower_end': 106000, 'upper_end': 131000}, 'user_count_stage': 2}}",106000,131000,2,2025-08-03 17:15:33.937514
9,province,Najran,SA,AGE_35_44,103628,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['103628'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804003603CCFDEF9664A8CC4D2074', 'data': {'user_count': {'lower_end': 37000, 'upper_end': 47000}, 'user_count_stage': 2}}",37000,47000,2,2025-08-03 17:15:33.937514
