iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
AND;AD;2000;2000;2000;2000;4053;3966;4370;4570;4400;4653;4937;5622;1.0;1.0;0.9785;1.0458;1.0575;1.1387;21760;22811;44571;1.0483;10423;10536;1.0108;AD;1.1284;1.0676;1.1142;1.0737;1.0977;1.1525;1.0985;1.0861;1.1161;1.2594;0.6177;0.6594;0.7325;0.8162;0.6971;0.7484;0.596;0.6542;0.4045;0.4662;0.5975;0.6563;0.6262;0.693;0.7527
ARE;AE;2000;2000;1090268;371342;3316666;1166260;2154440;843321;771985;302016;298303;143793;1.0;0.3406;0.3516;0.3914;0.3912;0.482;7633662;2828732;10462394;0.3706;6561374;2380923;0.3629;AE;1.0384;0.5077;0.8306;0.8175;0.8934;0.7552;0.7366;0.7513;0.0109;0.0114;1.5297;0.7766;1.5555;1.2921;1.348;1.1019;0.9513;0.8499;0.6962;0.5258;1.3013;0.9586;1.1866;1.4767;1.1094
AFG;AF;2000;2000;1553430;348539;1617719;235600;502705;53811;126163;14468;139997;32248;1.0;0.2244;0.1456;0.107;0.1147;0.2303;3942014;686666;4628680;0.1742;3673854;637950;0.1736;AF;1.0515;0.2338;0.1481;0.1081;0.1116;0.1848;0.1742;0.178;0.001;0.0011;0.5155;0.1205;0.5329;0.079;0.2753;0.0298;0.107;0.0119;0.1342;0.0248;0.3269;0.0569;0.1919;0.4665;0.083
ATG;AG;2000;2000;4400;4360;8600;8860;6700;7637;5100;6100;5425;6453;1.0;0.9909;1.0302;1.1399;1.1961;1.1895;32225;35410;67635;1.0988;19700;20857;1.0587;AG;1.0266;1.0154;0.9994;1.0519;1.0146;0.8965;0.9722;1.0227;0.7616;0.7819;0.9293;0.9435;1.2099;1.2092;1.0428;1.0968;0.8521;0.8645;0.5756;0.516;0.8876;0.863;0.8746;1.0784;1.1029
AIA;AI;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;AI;0.9787;1.0201;1.0143;0.9011;0.9606;0.8462;0.9294;0.9672;4.3573;4.2644;2.8209;2.8777;2.3502;2.3838;1.9249;1.7346;1.8215;1.7498;1.8349;1.5528;2.2449;2.0863;2.1627;2.3086;2.233
ALB;AL;2000;2000;95684;56190;214606;136119;160237;107809;110689;75616;184788;126359;1.0;0.5872;0.6343;0.6728;0.6831;0.6838;768004;504093;1272097;0.6564;470527;300118;0.6378;AL;1.0947;0.6271;0.6528;0.6719;0.5839;0.6109;0.6291;0.6564;0.0285;0.0311;0.6712;0.421;0.9084;0.593;0.9306;0.6252;0.7289;0.4256;0.4774;0.2916;0.6619;0.4164;0.5366;0.854;0.5605
ARM;AM;2000;2000;127504;117702;228136;197616;205883;205267;123517;143901;161723;258241;1.0;0.9231;0.8662;0.997;1.165;1.5968;848763;924727;1773490;1.0895;561523;520585;0.9271;AM;1.0506;0.9222;0.8193;0.871;0.9496;1.0413;0.8939;0.8598;0.0267;0.0281;1.07;0.9868;1.0641;0.8719;0.9948;0.8664;0.821;0.7797;0.5369;0.5591;0.7954;0.711;0.7491;1.0389;0.8932
ANT;AN;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;2000;2000;1275004;1013044;1082654;827411;488234;296126;204802;100588;207900;104968;1.0;0.7945;0.7642;0.6065;0.4911;0.5049;3260594;2344137;5604731;0.7189;2845892;2136581;0.7508;AO;1.0024;0.7896;0.7484;0.5831;0.4477;0.4204;0.6877;0.7353;0.0012;0.0012;0.5744;0.4536;0.4467;0.3343;0.2829;0.1649;0.1871;0.0838;0.1839;0.0773;0.3195;0.2197;0.2685;0.4468;0.3285
ATA;AQ;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;AQ;;;;;;;;;;;;;;;;;;;;;;;;;
ARG;AR;2037;2273;2102174;2244319;4300000;4300000;3366667;3600000;2500000;2700000;2684779;3509536;1.1159;1.0676;1.0;1.0693;1.08;1.3072;14955657;16356128;31311785;1.0936;9768841;10144319;1.0384;AR;1.1803;1.1171;1.0364;1.0939;1.0747;1.0671;1.0575;1.0741;0.0014;0.0016;0.8462;0.9453;1.2188;1.2631;1.043;1.141;0.9454;1.0161;0.6191;0.6606;0.8457;0.8945;0.8705;1.0572;1.1355
