iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
AND;2000;2000;3933;3992;6375;6038;4867;5367;4223;5090;3617;4529;1.0;1.015;0.9471;1.1027;1.2053;1.2521;25015;27016;52031;1.08;15175;15397;1.0146;AD;1.1284;1.0836;1.0785;1.1321;1.2511;1.2673;1.1317;1.0901;1.1161;1.2594;1.2146;1.3162;1.1522;1.2426;0.7764;0.879;0.572;0.7156;0.2963;0.3756;0.6868;0.7773;0.731;1.009;1.0999
ARE;2392;2000;934247;500230;2300869;1086827;1243526;686855;408348;234035;163253;104214;0.8361;0.5354;0.4724;0.5523;0.5731;0.6384;5052635;2614161;7666796;0.5174;4478642;2273912;0.5077;AE;0.8682;0.798;1.116;1.1535;1.3087;1.0003;1.0284;1.0511;0.0131;0.0114;1.3108;1.0461;1.0791;1.2041;0.778;0.8975;0.5032;0.6586;0.381;0.3811;0.8613;0.8859;0.8696;1.008;1.0595
AFG;2000;2000;481483;161772;421663;91690;124445;17245;29209;5925;27518;6820;1.0;0.336;0.2174;0.1386;0.2028;0.2478;1086318;285452;1371770;0.2628;1027591;270707;0.2634;AF;1.0515;0.3501;0.2212;0.1401;0.1973;0.1988;0.2628;0.27;0.001;0.0011;0.1598;0.0559;0.1389;0.0307;0.0682;0.0095;0.0248;0.0049;0.0264;0.0052;0.0901;0.0237;0.0569;0.1305;0.0352
ATG;2000;2000;5301;6213;6791;7542;3756;4745;2143;2528;3000;3000;1.0;1.172;1.1106;1.2633;1.1797;1.0;22991;26028;49019;1.1321;15848;18500;1.1673;AG;1.0266;1.2009;1.0774;1.1657;1.0007;0.7537;1.0017;1.1276;0.7616;0.7819;1.1195;1.3445;0.9554;1.0293;0.5846;0.6815;0.3581;0.3583;0.3183;0.2399;0.6333;0.6344;0.6339;0.8675;0.9783
AIA;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;AI;0.9787;1.0201;1.0143;0.9011;0.9606;0.8462;0.9294;0.9672;4.3573;4.2644;2.8209;2.8777;2.3502;2.3838;1.9249;1.7346;1.8215;1.7498;1.8349;1.5528;2.2449;2.0863;2.1627;2.3086;2.233
ALB;2000;2000;142359;138529;222934;185521;129792;106031;66146;60854;66533;62934;1.0;0.9731;0.8322;0.8169;0.92;0.9459;629764;555869;1185633;0.8827;495085;430081;0.8687;AL;1.0947;1.0393;0.8565;0.8158;0.7864;0.8451;0.846;0.894;0.0285;0.0311;0.9987;1.0379;0.9436;0.8082;0.7538;0.6149;0.4356;0.3425;0.1719;0.1452;0.5428;0.4592;0.5001;0.8985;0.8032
ARM;2000;2000;176230;177337;206008;200064;122696;164350;52104;96833;40307;103991;1.0;1.0063;0.9711;1.3395;1.8585;2.58;599345;744575;1343920;1.2423;504934;541751;1.0729;AM;1.0506;1.0053;0.9186;1.1702;1.5149;1.6825;1.0193;0.995;0.0267;0.0281;1.4789;1.4868;0.9609;0.8827;0.5929;0.6937;0.3463;0.5247;0.1338;0.2251;0.5617;0.5725;0.5676;0.9342;0.9295
ANT;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;2000;2000;201370;158671;175717;154062;77753;66120;27162;22529;28162;21067;1.0;0.788;0.8768;0.8504;0.8294;0.7481;512164;424449;936613;0.8287;454840;378853;0.8329;AO;1.0024;0.7831;0.8587;0.8175;0.7561;0.6229;0.7927;0.8157;0.0012;0.0012;0.0907;0.071;0.0725;0.0622;0.0451;0.0368;0.0248;0.0188;0.0249;0.0155;0.0502;0.0398;0.0449;0.0714;0.0582
ATA;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;AQ;;;;;;;;;;;;;;;;;;;;;;;;;
