iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso2
ABW;2859.0;2740.0;4723.0;4371.0;6182.0;6353.0;6351.0;7395.000000000001;6938.0;8432.0;15035.000000000002;19135.000000000004;0.9583770549143056;0.925471098877832;1.0276609511484955;1.1643835616438358;1.2153358316517728;1.2726970402394413;42088.0;48426.0;90514.0;1.1505892415890515;AW
AFG;1961468.0;1865308.0;3013230.0;2892092.0;3035644.0;2983339.0;1825983.0;1806722.0;1179632.0;1212466.0;1043082.0;1300087.0;0.9509754938647992;0.9597979576733272;0.9827697187153698;0.9894517090246732;1.0278341041952066;1.2463900249453064;12059039.0;12060014.0;24119053.0;1.0000808522138456;AF
AGO;1611274.0;1607353.0;2219873.0;2233575.0;2423854.0;2475090.0;1725874.0;1795279.0;1094727.0;1200928.0;1130474.0;1357638.0;0.9975665218950966;1.0061724251792783;1.0211382368740032;1.0402144073089925;1.097011401015961;1.200945797957317;10206076.0;10669863.0;20875939.0;1.0454422444042155;AO
AIA;459.0;469.0;709.0;695.0;851.0;839.0;1039.0;1153.0;1098.0;1143.0;1635.0;1932.0000000000005;1.0217864923747275;0.9802538787023978;0.9858989424206815;1.109720885466795;1.040983606557377;1.1816513761467893;5791.0;6231.0;12022.0;1.0759799689172855;AI
ALB;70297.0;64216.0;142549.0;133467.0;236255.0;229536.0;172195.0;172429.0;151855.0;177657.0;387095.0;433287.0;0.9134955972516609;0.9362885744550996;0.9715603902562908;1.001358924475159;1.1699120871884363;1.1193298802619511;1160246.0;1210592.0;2370838.0;1.043392521930694;AL
AND;1792.0;1588.0;3238.0;3033.0;5533.0;4859.0;6269.0;6106.0;7383.000000000001;7113.0;12205.999999999998;12059.0;0.8861607142857143;0.9366893143915996;0.878185432857401;0.973999042909555;0.9634295002031692;0.9879567425856138;36421.0;34758.0;71179.0;0.9543395293923836;AD
ARE;182809.0;176044.0;712735.0;478190.00000000006;2132159.0;902615.0;1598274.0;765321.0;811507.0;355361.0;428475.0;273459.0;0.9629941633070582;0.6709225729057785;0.4233338132850317;0.4788421759973571;0.437902568924236;0.6382145982846141;5865959.0;2950990.0;8816949.0;0.5030703419509069;AE
ARG;1462390.0;1382517.0;2484209.0;2374184.0;3527941.0;3404194.9999999995;3227999.0;3155212.0;2644292.0;2657307.0;4336534.0;5312313.999999998;0.9453818748760592;0.9557102482118052;0.964924016586445;0.9774513560877808;1.0049219223898118;1.2250138013445755;17683365.0;18285729.0;35969094.0;1.0340638786791994;AR
ARM;74864.0;71253.0;119161.0;119275.0;214398.0;226658.0;206955.0;236909.0;150447.0;184566.0;301236.0;461903.9999999999;0.9517658687753794;1.0009566888495396;1.0571833692478474;1.1447367785267328;1.22678418313426;1.5333625463092058;1067061.0;1300565.0;2367626.0;1.218829101616496;AM
ASM;1981.0;1902.0;2812.0;2611.0;2949.0;2974.0;3011.0;2869.0;3139.0;2957.0;4124.999999999998;4275.0;0.9601211509338716;0.9285206258890468;1.0084774499830451;0.9528395881766856;0.9420197515132208;1.0363636363636368;18017.0;17588.0;35605.0;0.97618915468724;AS
ATG;2626.0;2558.0;4735.0;4621.0;7108.0;7327.0;6425.0;6963.0;5985.0;7056.0;9425.0;12504.999999999998;0.974105102817974;0.975923970432946;1.0308103545301068;1.0837354085603113;1.1789473684210523;1.3267904509283817;36304.0;41030.0;77334.0;1.130178492728074;AG
AUS;661341.0;623421.0;1146928.0;1081317.0;1912054.0;1893156.0;1819350.0;1850597.0;1632025.0;1675682.0;3601920.999999999;3977247.0;0.9426619550277392;0.9427941422652512;0.9901163879262824;1.017174815181246;1.0267502029687046;1.1042016190804853;10773619.0;11101420.0;21875039.0;1.0304262662342152;AU
AUT;178458.0;169783.0;340860.0;321891.0;624506.0;597588.0;622144.0;610029.0;629536.0;636561.0;1471452.9999999995;1709410.0;0.9513891223705296;0.944349586340433;0.9568971314927318;0.9805270162534718;1.0111590123519545;1.161715664720518;3866957.0;4045262.0;7912219.0;1.0461098998514855;AT
AZE;322625.0;289035.0;472874.0;440718.0;868994.0;921404.0;797297.0;826159.0;585209.0;644982.0;870620.0;1118033.0;0.8958853157690817;0.931998798834362;1.0603111183736598;1.0361998101084038;1.1021395774842837;1.2841802393696446;3917619.0;4240331.0;8157950.0;1.0823745239136322;AZ
BDI;650212.0;648645.0;815210.0;816694.0;887588.0;900508.0;715729.0;740699.0;369971.0;388595.0;341590.0;407449.0;0.9975900167945224;1.0018203898382012;1.0145563031496596;1.034887506304761;1.050339080630644;1.1928013115138032;3780300.0;3902590.0;7682890.0;1.0323492844483242;BI
BEL;277159.0;264462.0;473221.0;453764.0;748941.0;745071.0;759274.0;759987.0;772321.0;758064.0;1822241.0;2078882.0;0.9541887508614189;0.958883904137813;0.994832703777734;1.0009390549393236;0.9815400591204952;1.1408381218510617;4853157.0;5060230.0;9913387.0;1.0426676903302323;BE
BEN;627900.0000000001;609186.0;919968.0;892346.0;1011383.0;993839.0;700921.0;711140.0;451145.0;473515.0;472316.0;542591.0;0.970195891065456;0.9699750426101778;0.982653455713612;1.014579389118032;1.0495849449733456;1.1487880994927124;4183633.0;4222617.0;8406250.0;1.009318216965972;BJ
BES;649.0;595.0;999.0;946.0;2250.0;2134.0;2399.0;2218.0;2209.0;2043.0;4447.999999999998;4149.999999999999;0.9167950693374424;0.9469469469469468;0.9484444444444444;0.9245518966235932;0.9248528746038932;0.9330035971223024;12953.999999999998;12086.0;25040.0;0.9329936699089084;BQ
BFA;1096588.0;1066548.0000000002;1542168.9999999998;1511412.0;1610031.0;1614803.0;1146195.0;1171853.0;674870.0;736552.0;624222.0;821418.0;0.9726059376903634;0.9800560120194352;1.0029639180860492;1.0223853707266215;1.091398343384652;1.315906840835472;6694075.0;6922586.0;13616661.0;1.0341363071074048;BF
BGD;6970925.0;6809526.0;10496145.0;12112858.0;12725830.0;14895085.0;11423415.0;12025767.0;7935210.0;8017524.0;10924977.0;10833346.0;0.9768468316615084;1.154029217393624;1.1704607872335242;1.052729590932309;1.010373260443013;0.991612705454666;60476502.0;64694106.0;125170608.0;1.0697395494203683;BD
BGR;139475.0;131486.00000000003;227613.0;215316.0;396542.0;375362.0;504517.0;473007.0;534474.0;514730.00000000006;1022010.0;1357432.0000000002;0.9427209177271916;0.9459740875960512;0.9465882554685254;0.93754422546713;0.9630590075476076;1.32819835422354;2824631.0;3067333.0;5891964.0;1.0859234356629237;BG
BHR;33805.0;33709.00000000001;87615.0;54814.0;228666.0;118841.0;255198.0;107468.0;129557.0;67667.0;86782.0;68674.0;0.997160183404822;0.6256234663014324;0.5197143431905049;0.4211161529479071;0.522295205971117;0.7913392178101449;821623.0;451173.0;1272796.0;0.5491241116667863;BH
BHS;11486.0;11334.0;19892.0;20153.0;31910.0;33823.0;26765.0;29842.0;25980.0;28986.0;40082.000000000015;50124.0;0.9867664983458124;1.013120852604062;1.059949858978377;1.114963571828881;1.1157043879907622;1.250536400379222;156115.0;174262.0;330377.0;1.116241232424815;BS
BIH;67696.0;62735.0;126298.0;115703.0;177298.0;157483.0;231120.0;228401.0;222223.0;233257.0;490676.0;688686.0;0.9267164972819664;0.9161111023135758;0.888239010028314;0.9882355486327448;1.049652826215108;1.4035453129967637;1315311.0;1486265.0;2801576.0;1.1299723031283095;BA
BLM;335.0;322.0;456.0;458.0;535.0;651.0;559.0;730.0;669.0;772.0;1527.0000000000002;1867.0;0.9611940298507464;1.0043859649122806;1.216822429906542;1.3059033989266546;1.1539611360239164;1.2226588081204974;4081.0;4800.0;8881.0;1.17618230825778;BL
