iso2;age_13_17_women;age_13_17_men;age_18_24_women;age_18_24_men;age_25_34_women;age_25_34_men;age_35_44_women;age_35_44_men;age_45_54_women;age_45_54_men;age_55_100_women;age_55_100_men;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso3;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;age_13_17_women_pen;age_13_17_men_pen;age_18_24_women_pen;age_18_24_men_pen;age_25_34_women_pen;age_25_34_men_pen;age_35_44_women_pen;age_35_44_men_pen;age_45_54_women_pen;age_45_54_men_pen;age_55_100_women_pen;age_55_100_men_pen;total_men_pen;total_women_pen;total_all_pen
AE;1500.0;1500.0;1561500.0;3927000.0;3132500.0;7659500.0;2099000.0;3885000.0;718500.0;995000.0;548000.0;707500.0;1.0;0.3976317799847211;0.4089692538677459;0.5402831402831403;0.7221105527638191;0.7745583038869258;17175500.0;8061000.0;25236500.0;0.4693313149544409;ARE;1.0384278930267432;0.592664185172024;0.9660680083506249;1.128311513407963;1.649021047165301;1.2136330099135537;0.9329337784739484;0.00852059712344641;0.008205285297769803;3.2654384240573826;5.50976169263471;3.4704719066268566;3.5923681113838133;2.742640016411414;2.430747168508028;2.0218876016220126;1.226113884415045;2.003956717460387;1.651204854425579;2.9279952348797527;2.731625657830084;2.86227129135033
AR;500.0;500.0;3877000.0;3487000.0;5408000.0;6761000.0;1886000.0;2272000.0;1204000.0;1397500.0;1093500.0;1077500.0;1.0;1.111843991970175;0.7998816743085342;0.8301056338028169;0.8615384615384616;1.0148491879350348;14995500.0;13469000.0;28464500.0;0.8982027941715848;ARG;1.0577736114637286;1.163369330872517;0.8289581983234583;0.8492551865959748;0.8573188049173323;0.828438983153607;0.868614418017242;0.00036165920563725436;0.00034190605789153375;1.6329821109063156;1.4036661166592665;1.5886281485050064;1.9164152688494507;0.5977411343516695;0.7038416058988866;0.45309029028260567;0.5284968528437858;0.20584250102685955;0.24847032215128487;0.8480003664460921;0.7365853447789804;0.7913599380623821
AT;500.0;500.0;376000.0;312500.0;396500.0;366000.0;210500.0;194000.0;168000.0;156000.0;107500.0;102000.0;1.0;1.2032;1.0833333333333333;1.0850515463917525;1.0769230769230769;1.053921568627451;1131000.0;1259000.0;2390000.0;1.1131741821396994;AUT;1.051094632560386;1.27410443908031;1.1321314461914675;1.106600357160644;1.0650383013628641;0.9072112915693533;1.0641082569792475;0.0029449355942585535;0.0028017796904593797;1.1680972751645744;0.9167986856774042;0.6635006057685228;0.5860632243725441;0.3450655624568668;0.3118249151321881;0.26391814767162924;0.24780155543130178;0.06288719499710427;0.06931923751557137;0.2924780389334559;0.31122829621418835;0.3020644398240241
AZ;500.0;500.0;869500.0;825000.0;1283000.0;1720500.0;527500.0;828500.0;278000.0;417500.0;384000.0;429500.0;1.0;1.053939393939394;0.7457134553908747;0.6366928183464092;0.665868263473054;0.8940628637951106;4221500.0;3342500.0;7564000.0;0.791780172924316;AZE;1.1162142993063124;1.1308377170201735;0.7032968366253433;0.6144498504393671;0.6041596518954053;0.696212911852601;0.731521442375981;0.0017298943034580586;0.0015497869043006587;1.9729169219319382;1.7446507949263441;1.3924402325147276;1.9798755802686785;0.6384969479240679;1.0391359806947724;0.4310197803969723;0.7134203335902216;0.343460345088204;0.49332659484045854;1.0775677777752253;0.7882639350560133;0.9271937190102906
BD;500.0;500.0;7770500.0;15159500.0;7879000.0;17015000.0;1229500.0;3106500.0;421500.0;917500.0;621500.0;1239000.0;1.0;0.5125828688281275;0.463062004114017;0.3957830355705778;0.4594005449591281;0.5016142050040355;37438000.0;17922500.0;55360500.0;0.4787248250440729;BGD;1.0237019434245496;0.44416801680792484;0.39562368014779914;0.3759588777399788;0.4546839895166042;0.5058569764634465;0.44751530903336884;7.342654980684412e-05;7.172649253865161e-05;0.6415083872030862;1.4442921663143944;0.5289664342298147;1.3370444206782583;0.10223880106774062;0.27194144658142944;0.05257234028859783;0.11562390913409978;0.05736916369143938;0.1134098497415601;0.6190503544665993;0.2770345106863367;0.44228034747582273
BE;500.0;500.0;577000.0;476000.0;610500.0;486000.0;364000.0;303500.0;248500.0;209500.0;172000.0;134000.0;1.0;1.2121848739495795;1.2561728395061729;1.199341021416804;1.1861575178997614;1.2835820895522387;1609500.0;1972500.0;3582000.0;1.2255358807082946;BEL;1.0480106782827023;1.2641622919299327;1.2626975718993125;1.1982158309224007;1.2084657237144378;1.1251220177228725;1.1753849208851426;0.0018906307900567946;0.0018040186319044304;1.2715861108417592;1.0058725204502759;0.8193849982082244;0.6489162697729194;0.47895556108196585;0.3997239468228861;0.32780873382722303;0.27126026613286447;0.08273677871086478;0.07353582758811815;0.33163979652832165;0.3898044160048061;0.3613295839252518
BH;500.0;500.0;117500.0;145000.0;226000.0;366000.0;86000.0;152000.0;39000.0;61500.0;31500.0;38500.0;1.0;0.8103448275862069;0.6174863387978142;0.5657894736842105;0.6341463414634146;0.8181818181818182;763500.0;500500.0;1264000.0;0.6555337262606418;BHR;1.002847904120561;1.2952596429555499;1.1881264138432106;1.3435473080848546;1.214153096206062;1.0339204727473943;1.1937806268802595;0.014832833961256635;0.014790711433219937;2.14361294559784;1.654967756662672;1.9017005915466885;1.6005877568156175;0.8002382104440392;0.5956159531030808;0.5763518406313269;0.47469453599573935;0.4586888778868276;0.44364038625521424;0.9292583094679676;1.1093305672103606;0.9930892303244196
BO;500.0;500.0;1324000.0;1372000.0;1644500.0;2196500.0;609500.0;770500.0;328500.0;378500.0;329500.0;317500.0;1.0;0.9650145772594751;0.7486910994764397;0.7910447761194029;0.8678996036988111;1.0377952755905513;5035500.0;4236500.0;9272000.0;0.841326581272962;BOL;1.0313225033106046;0.9883540774436397;0.7603629683824886;0.8027144796399169;0.869036975345687;0.9114362956239183;0.8351834366114854;0.0010731294816569978;0.0010405372501930197;1.7050100768155976;1.725100463212107;1.6238446954735761;2.1356178075425762;0.782754989340662;0.9751350065241025;0.5747599043291581;0.6613756613756614;0.42990298153048073;0.4716763898854755;1.160276180524273;0.9690434478687106;1.0643094523351904
BR;500.0;500.0;14692000.0;13328000.0;20348000.0;27399500.0;8873000.0;11673000.0;6026000.0;7803000.0;6447000.0;7685000.0;1.0;1.1023409363745498;0.7426412890746181;0.7601302150261287;0.7722670767653467;0.8389069616135328;67889000.0;56386500.0;124275500.0;0.8305690170719852;BRA;1.0389390176299031;1.133351028255994;0.7474177170256489;0.7452089715248511;0.734509921657071;0.7094170270390783;0.7921216936234627;8.533681416509192e-05;8.213842460144383e-05;1.3335866409691939;1.176675723338182;1.251630508930385;1.6746064221105865;0.5306044172144985;0.7120209732966211;0.4331003053407463;0.5896452758101105;0.26940910397173035;0.37976125988429366;0.8116827315619738;0.6429515000097891;0.7253181938124592
BY;500.0;500.0;1070500.0;1018000.0;1174500.0;1598000.0;450500.0;606000.0;310500.0;357500.0;394000.0;360000.0;1.0;1.0515717092337915;0.7349812265331664;0.7433993399339934;0.8685314685314686;1.0944444444444446;3940000.0;3400500.0;7340500.0;0.8630710659898477;BLR;1.0565341943244226;1.1165529103264933;0.7707786012469663;0.7475074251034922;0.7804634857309499;0.6822872076613422;0.7262825912197962;0.0026378403473508167;0.0024966918832546874;3.6316696520653533;3.2525728234440847;2.027726943130417;2.630751476299366;0.6253452933223395;0.8365740223058796;0.47397560971886604;0.6073001727620352;0.22538743470771996;0.3303409944915639;1.1182012512501718;0.8121301022631932;0.9519945976041199
