country,gid_0,date,outcome,predicted,predicted_error
Aruba,ABW,2025-05-01,internet_fm_ratio,1.0,0.083
Afghanistan,AFG,2025-05-01,internet_fm_ratio,0.224,0.053
Angola,AGO,2025-05-01,internet_fm_ratio,0.755,0.077
Albania,ALB,2025-05-01,internet_fm_ratio,1.0,0.083
Andorra,AND,2025-05-01,internet_fm_ratio,1.0,0.084
United Arab Emirates,ARE,2025-05-01,internet_fm_ratio,1.0,0.083
Argentina,ARG,2025-05-01,internet_fm_ratio,1.0,0.084
Armenia,ARM,2025-05-01,internet_fm_ratio,1.0,0.087
American Samoa,ASM,2025-05-01,internet_fm_ratio,0.948,0.081
Antigua and Barbuda,ATG,2025-05-01,internet_fm_ratio,1.0,0.083
Australia,AUS,2025-05-01,internet_fm_ratio,1.0,0.083
Austria,AUT,2025-05-01,internet_fm_ratio,1.0,0.082
Azerbaijan,AZE,2025-05-01,internet_fm_ratio,0.813,0.081
Burundi,BDI,2025-05-01,internet_fm_ratio,0.65,0.078
Belgium,BEL,2025-05-01,internet_fm_ratio,1.0,0.082
Benin,BEN,2025-05-01,internet_fm_ratio,0.67,0.072
Burkina Faso,BFA,2025-05-01,internet_fm_ratio,0.671,0.075
Bangladesh,BGD,2025-05-01,internet_fm_ratio,0.918,0.077
Bulgaria,BGR,2025-05-01,internet_fm_ratio,1.0,0.084
Bahrain,BHR,2025-05-01,internet_fm_ratio,1.0,0.079
Bahamas,BHS,2025-05-01,internet_fm_ratio,1.0,0.085
Bosnia and Herzegovina,BIH,2025-05-01,internet_fm_ratio,0.95,0.081
Belarus,BLR,2025-05-01,internet_fm_ratio,1.0,0.085
Belize,BLZ,2025-05-01,internet_fm_ratio,0.978,0.083
Bermuda,BMU,2025-05-01,internet_fm_ratio,1.0,0.083
"Bolivia, Plurinational State of",BOL,2025-05-01,internet_fm_ratio,0.999,0.082
Brazil,BRA,2025-05-01,internet_fm_ratio,1.0,0.085
Barbados,BRB,2025-05-01,internet_fm_ratio,1.0,0.087
Brunei Darussalam,BRN,2025-05-01,internet_fm_ratio,1.0,0.083
Bhutan,BTN,2025-05-01,internet_fm_ratio,0.952,0.082
Botswana,BWA,2025-05-01,internet_fm_ratio,1.0,0.084
Central African Republic,CAF,2025-05-01,internet_fm_ratio,0.535,0.077
Canada,CAN,2025-05-01,internet_fm_ratio,1.0,0.084
Switzerland,CHE,2025-05-01,internet_fm_ratio,1.0,0.082
Chile,CHL,2025-05-01,internet_fm_ratio,1.0,0.082
Côte d'Ivoire,CIV,2025-05-01,internet_fm_ratio,0.754,0.073
Cameroon,CMR,2025-05-01,internet_fm_ratio,0.78,0.076
"Congo, The Democratic Republic of the",COD,2025-05-01,internet_fm_ratio,0.613,0.075
Congo,COG,2025-05-01,internet_fm_ratio,0.785,0.077
Colombia,COL,2025-05-01,internet_fm_ratio,1.0,0.084
Comoros,COM,2025-05-01,internet_fm_ratio,0.847,0.077
Cabo Verde,CPV,2025-05-01,internet_fm_ratio,0.968,0.083
Costa Rica,CRI,2025-05-01,internet_fm_ratio,1.0,0.084
