,country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female
0,ARE,1519,1500.0,1500.0,264569.0,229444.0
1,ARE,2024,3746500.0,1542500.0,569461.0,349119.0
2,ARE,2534,7856000.0,3084000.0,2180748.0,1010799.0
3,ARE,3544,4395000.0,1921500.0,1789489.0,855313.0
4,ARE,4554,852500.0,660500.0,902422.0,387986.0
5,ARE,55plus,644500.0,542000.0,379735.0,219943.0
6,ARG,1519,500.0,500.0,1847345.0,1746968.0
7,ARG,2024,3501500.0,3915000.0,1769979.0,1691544.0
8,ARG,2534,6553500.0,4974000.0,3551384.0,3424348.0
9,ARG,3544,2208500.0,1840500.0,3276307.0,3196210.0
10,ARG,4554,1342000.0,1186000.0,2835394.0,2825516.0
11,ARG,55plus,1026000.0,1086000.0,2077631.0,2179699.0
12,AUT,1519,500.0,500.0,224406.0,213608.0
13,AUT,2024,311000.0,399500.0,239869.0,227858.0
14,AUT,2534,387500.0,445000.0,590235.0,561590.0
15,AUT,3544,197500.0,220500.0,633253.0,618578.0
16,AUT,4554,131000.0,154000.0,596757.0,601821.0
17,AUT,55plus,100500.0,123500.0,690794.0,700465.0
18,AZE,1519,500.0,500.0,412955.0,370861.0
19,AZE,2024,807500.0,845500.0,343570.0,312059.0
20,AZE,2534,1637000.0,1216500.0,780854.0,814482.0
21,AZE,3544,790500.0,517000.0,836349.0,875976.0
22,AZE,4554,394000.0,271500.0,593989.0,640511.0
23,AZE,55plus,401000.0,388000.0,535285.0,642342.0
24,BEL,1519,500.0,500.0,357527.0,341469.0
25,BEL,2024,532000.0,698000.0,348596.0,332792.0
26,BEL,2534,579500.0,748500.0,737309.0,727246.0
27,BEL,3544,307500.0,386000.0,765320.0,768467.0
28,BEL,4554,212000.0,268500.0,768275.0,758759.0
29,BEL,55plus,165000.0,225000.0,794204.0,790224.0
30,BGD,1519,500.0,500.0,8667972.0,8279631.0
31,BGD,2024,14969500.0,7727500.0,7692709.0,8612787.0
32,BGD,2534,16249500.0,7284000.0,13028043.0,15720846.0
33,BGD,3544,2935000.0,1189000.0,11629997.0,12757105.0
34,BGD,4554,883000.0,418000.0,8529794.0,8545076.0
35,BGD,55plus,1179500.0,613000.0,6044164.0,5893279.0
36,BHR,1519,500.0,500.0,47509.0,43719.0
37,BHR,2024,148000.0,117000.0,68725.0,42445.0
38,BHR,2534,359500.0,215000.0,225797.0,121078.0
39,BHR,3544,146000.0,86500.0,279596.0,116529.0
40,BHR,4554,60500.0,41500.0,146449.0,75399.0
41,BHR,55plus,38500.0,31500.0,66067.0,46240.0
42,BLR,1519,500.0,500.0,262663.0,247868.0
43,BLR,2024,1031500.0,1103000.0,221269.0,209342.0
44,BLR,2534,1561500.0,1083000.0,535411.0,509978.0
45,BLR,3544,598500.0,440500.0,745993.0,733215.0
46,BLR,4554,352500.0,303500.0,604845.0,663283.0
47,BLR,55plus,343000.0,399500.0,544392.0,687448.0
48,BOL,1519,500.0,500.0,603251.0,585303.0
49,BOL,2024,1363000.0,1328500.0,570400.0,557241.0
50,BOL,2534,2096500.0,1585000.0,1059440.0,1045102.0
51,BOL,3544,745000.0,607500.0,845312.0,834288.0
52,BOL,4554,358000.0,324000.0,610544.0,613046.0
53,BOL,55plus,299000.0,326000.0,406697.0,424884.0
54,BRA,1519,500.0,500.0,7482359.0,7211480.0
55,BRA,2024,13624000.0,14844000.0,7838493.0,7627791.0
56,BRA,2534,28797500.0,17682500.0,16239229.0,16098852.0
57,BRA,3544,11521000.0,8653000.0,16433230.0,16709271.0
58,BRA,4554,7628500.0,5901000.0,13925202.0,14620117.0
59,BRA,55plus,7346000.0,6379500.0,10943391.0,11994270.0
60,CAN,1519,500.0,500.0,1139007.0,1103430.0
61,CAN,2024,1955000.0,2215000.0,1256363.0,1215737.0
62,CAN,2534,3932000.0,2930500.0,2981873.0,2795921.0
63,CAN,3544,1264000.0,1105000.0,2850448.0,2810293.0
64,CAN,4554,767000.0,673500.0,2494459.0,2545411.0
