country_code,fb_fm
ABW,1.0
AFG,0.221
AGO,0.753
ALB,1.0
AND,1.0
ARE,1.0
ARG,1.0
ARM,1.0
ASM,0.947
ATG,1.0
AUS,1.0
AUT,1.0
AZE,0.814
BDI,0.649
BEL,1.0
BEN,0.67
BFA,0.668
BGD,0.914
BGR,1.0
BHR,0.999
BHS,1.0
BIH,0.949
BLR,1.0
BLZ,0.977
BMU,1.0
BOL,0.997
BRA,1.0
BRB,1.0
BRN,1.0
BTN,0.951
BWA,1.0
CAF,0.534
CAN,1.0
CHE,1.0
CHL,1.0
CIV,0.753
CMR,0.779
COD,0.613
COG,0.784
COL,1.0
COM,0.848
CPV,0.968
CRI,1.0
CUW,1.0
CYM,1.0
CYP,1.0
CZE,1.0
DEU,1.0
DJI,0.558
DMA,0.995
DNK,1.0
DOM,1.0
DZA,0.943
ECU,1.0
EGY,0.915
ERI,0.561
ESP,1.0
EST,1.0
ETH,0.622
FIN,1.0
FJI,0.962
FRA,1.0
FRO,1.0
FSM,0.913
GAB,0.975
GBR,1.0
GEO,1.0
GHA,0.838
GIB,1.0
GIN,0.652
GMB,0.777
GNB,0.652
GNQ,0.782
GRC,1.0
GRD,0.998
GRL,1.0
GTM,0.907
GUM,0.978
GUY,1.0
HKG,1.0
HND,0.943
HRV,1.0
HTI,0.828
HUN,1.0
IDN,0.946
IMN,1.0
IND,0.742
IRL,1.0
IRQ,1.0
ISL,1.0
ISR,1.0
ITA,1.0
JAM,1.0
JOR,0.85
JPN,0.91
KAZ,1.0
KEN,0.887
KGZ,0.894
KHM,1.0
KIR,0.773
KNA,1.0
KOR,0.838
KWT,1.0
LAO,0.913
LBN,0.994
LBR,0.696
LBY,1.0
LCA,1.0
LIE,1.0
LKA,0.941
LSO,0.938
LTU,1.0
LUX,1.0
LVA,1.0
MAC,0.915
MAF,1.0
MAR,0.921
MCO,1.0
MDA,1.0
MDG,0.798
MDV,0.99
MEX,1.0
MHL,0.926
MKD,0.983
MLI,0.499
MLT,1.0
MMR,0.864
MNE,1.0
MNG,1.0
MNP,0.917
MOZ,0.71
MRT,0.828
MSR,1.0
MTQ,0.994
MUS,1.0
MWI,0.681
MYS,1.0
NAM,0.971
NCL,0.958
NER,0.327
NGA,0.741
NIC,0.956
NIU,1.0
NLD,1.0
NOR,1.0
NPL,0.888
NRU,1.0
NZL,1.0
OMN,0.937
PAK,0.695
PAN,1.0
PER,1.0
PHL,0.954
PLW,1.0
PNG,0.741
POL,1.0
PRI,1.0
PRT,1.0
PRY,1.0
PSE,0.886
PYF,0.944
QAT,1.0
ROU,1.0
RWA,0.683
SAU,1.0
SEN,0.776
SGP,1.0
SHN,0.857
SLB,0.88
SLE,0.699
SLV,0.995
SMR,1.0
SOM,0.527
SRB,1.0
SSD,0.568
STP,0.847
SUR,1.0
SVK,1.0
SVN,1.0
SWE,1.0
SWZ,0.966
SXM,1.0
SYC,1.0
TCA,1.0
TCD,0.332
TGO,0.571
THA,1.0
TJK,0.591
TKM,0.676
TLS,0.873
TON,1.0
TTO,1.0
TUN,0.967
TUR,0.993
TUV,0.956
TWN,0.932
TZA,0.744
UGA,0.61
UKR,1.0
URY,1.0
USA,1.0
UZB,0.665
VCT,0.996
VEN,1.0
VGB,1.0
VIR,1.0
VNM,1.0
VUT,0.896
WSM,0.948
XKX,1.0
YEM,
ZAF,0.988
ZMB,0.812
ZWE,0.776
