country_code,country_name,male_2534,female_2534,male_3544,female_3544,male_4554,female_4554,male_55plus,female_55plus,male_1317,female_1317,male_1824,female_1824
ABW,Aruba,6098.0,6023.0,6371.0,7118.0,6585.0,8088.0,7544.0,9030.0,3591.5,3437.5,4418.0,4097.0
AFE,Africa Eastern and Southern,58224069.0,59181255.0,40697347.0,42216205.0,25913152.0,27862894.0,15654201.0,18138555.0,3574.0,3425.0,4630.0,4280.0
AFG,Afghanistan,3386559.0,3313136.0,2028002.0,2006280.0,1303661.0,1321434.0,715867.0,820783.0,3541.5,3398.0,4809.0,4459.5
AFW,Africa Western and Central,38223269.0,37521891.0,27634367.0,27437860.0,18592949.0,18586432.0,10892497.0,11433829.0,3520.0,3383.5,4944.5,4614.0
AGO,Angola,2574013.0,2625561.0,1883239.0,1955954.0,1196161.0,1299671.0,744278.0,862604.0,3517.0,3382.5,5018.0,4725.5
ALB,Albania,219768.0,215181.0,184018.0,176252.0,139430.0,162765.0,162895.0,184506.0,0.0,0.0,0.0,0.0
AND,Andorra,5710.0,5052.0,6198.0,5949.0,7363.0,7177.0,6713.0,6271.0,0.0,0.0,0.0,0.0
ARB,Arab World,42765994.0,37158830.0,36830053.0,31830883.0,25129271.0,22826456.0,15840417.0,15576483.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,2180748.0,1010799.0,1789489.0,855313.0,902422.0,387986.0,379735.0,219943.0,0.0,0.0,0.0,0.0
ARG,Argentina,3551384.0,3424348.0,3276307.0,3196210.0,2835394.0,2825516.0,2077631.0,2179699.0,0.0,0.0,0.0,0.0
ARM,Armenia,202363.0,210362.0,223208.0,251280.0,158911.0,193315.0,151277.0,204613.0,2462760.5,2341890.0,2953647.0,2841046.0
ASM,American Samoa,2495.0,2513.0,2764.0,2651.0,2970.0,2871.0,2614.0,2522.0,2475958.0,2354723.5,2994051.0,2877191.5
ATG,Antigua and Barbuda,7073.0,7182.0,6631.0,7123.0,5933.0,6813.0,5490.0,6789.0,2508936.0,2386105.5,3051771.0,2925723.5
AUS,Australia,1917527.0,1866078.0,1917861.0,1948653.0,1658434.0,1702178.0,1527408.0,1599401.0,2566328.0,2441497.0,3123323.5,2988532.0
AUT,Austria,590235.0,561590.0,633253.0,618578.0,596757.0,601821.0,690794.0,700465.0,2630299.5,2503971.0,3185306.5,3043454.0
AZE,Azerbaijan,780854.0,814482.0,836349.0,875976.0,593989.0,640511.0,535285.0,642342.0,0.0,0.0,0.0,0.0
BDI,Burundi,908668.0,920894.0,771415.0,797595.0,432859.0,455081.0,214766.0,236650.0,0.0,0.0,0.0,0.0
BEL,Belgium,737309.0,727246.0,765320.0,768467.0,768275.0,758759.0,794204.0,790224.0,0.0,0.0,0.0,0.0
BEN,Benin,1082312.0,1060276.0,763351.0,769215.0,490366.0,512555.0,307310.0,334282.0,0.0,0.0,0.0,0.0
BFA,Burkina Faso,1729026.0,1731462.0,1233916.0,1261573.0,762164.0,819476.0,420762.0,507962.0,0.0,0.0,0.0,0.0
BGD,Bangladesh,13028043.0,15720846.0,11629997.0,12757105.0,8529794.0,8545076.0,6044164.0,5893279.0,1933177.0,1929191.5,2098988.5,2114847.0
BGR,Bulgaria,336695.0,319468.0,467353.0,440532.0,500983.0,481522.0,418514.0,440246.0,2016188.0,2010946.5,2178740.0,2193257.0
BHR,Bahrain,225797.0,121078.0,279596.0,116529.0,146449.0,75399.0,66067.0,46240.0,2099434.0,2092913.5,2265408.0,2278202.5
BHS,"Bahamas, The",31633.0,33370.0,27658.0,30809.0,25477.0,28639.0,22515.0,25934.0,2182511.0,2174814.0,2361349.0,2372325.0
BIH,Bosnia and Herzegovina,175606.0,156125.0,214641.0,204045.0,231300.0,244108.0,218020.0,246405.0,2265155.0,2256347.0,2465244.5,2474399.0
BLR,Belarus,535411.0,509978.0,745993.0,733215.0,604845.0,663283.0,544392.0,687448.0,91280.5,83625.5,152197.0,144546.5
BLZ,Belize,39540.0,37923.0,30958.0,30697.0,21571.0,22277.0,14376.0,14950.0,88433.5,80879.0,145081.0,136400.5
BMU,Bermuda,3315.0,3450.0,4120.0,4257.0,4910.0,4535.0,5064.0,4977.0,86117.0,78977.0,140056.5,130717.5
BOL,Bolivia,1059440.0,1045102.0,845312.0,834288.0,610544.0,613046.0,406697.0,424884.0,84693.5,77742.0,134415.0,124584.5
BRA,Brazil,16239229.0,16098852.0,16433230.0,16709271.0,13925202.0,14620117.0,10943391.0,11994270.0,84732.0,77597.5,128049.5,117788.0
BRB,Barbados,18339.0,18423.0,18115.0,19023.0,17999.0,19699.0,17497.0,20421.0,2149.5,1915.0,3174.0,2868.0
BRN,Brunei Darussalam,44663.0,35827.0,44802.0,34647.0,34934.0,30431.0,22343.0,21602.0,2196.0,1980.0,3231.0,2976.0
BTN,Bhutan,84925.0,69162.0,77514.0,62190.0,49430.0,40426.0,30779.0,27208.0,2212.0,2060.5,3284.5,3067.5
BWA,Botswana,242844.0,242845.0,165705.0,161424.0,100720.0,104030.0,63329.0,68722.0,2208.5,2122.0,3349.0,3085.0
CAF,Central African Republic,326079.0,388841.0,149314.0,206712.0,91330.0,127880.0,70097.0,109786.0,2191.0,2143.0,3362.0,3082.5
CAN,Canada,2981873.0,2795921.0,2850448.0,2810293.0,2494459.0,2545411.0,2595347.0,2657093.0,0.0,0.0,0.0,0.0
CEB,Central Europe and the Baltics,5792155.0,5491398.0,7439037.0,7077859.0,7596380.0,7442613.0,5967048.0,6376577.0,0.0,0.0,0.0,0.0
CHE,Switzerland,566308.0,541350.0,645772.0,632669.0,614208.0,609043.0,648075.0,644538.0,0.0,0.0,0.0,0.0
CHI,Channel Islands,10324.0,9855.0,11467.0,11273.0,11666.0,11922.0,12761.0,13161.0,0.0,0.0,0.0,0.0
CHL,Chile,1599490.0,1564641.0,1537659.0,1509754.0,1316562.0,1312981.0,1135268.0,1180044.0,0.0,0.0,0.0,0.0
CHN,China,95737610.0,84188048.0,115015122.0,107188260.0,104255455.0,101497634.0,103251276.0,105438044.0,217418.0,209406.5,671774.5,449814.0
CIV,Cote d'Ivoire,2285865.0,2265354.0,1916443.0,1950929.0,1307610.0,1134380.0,683013.0,620277.0,227836.5,219867.5,700481.5,469739.5
CMR,Cameroon,2167236.0,2184936.0,1600039.0,1623698.0,1010863.0,1041472.0,564749.0,608021.0,241860.5,232438.5,687990.5,470070.0
COD,"Congo, Dem. Rep.",7485641.0,7606216.0,4920085.0,5043024.0,3146102.0,3304220.0,2122045.0,2320375.0,252503.0,243539.5,678046.0,458776.0
COG,"Congo, Rep.",436634.0,435017.0,353849.0,354350.0,261640.0,265490.0,154915.0,165607.0,253438.0,249813.0,705818.0,450075.0
COL,Colombia,4581800.0,4572201.0,3942116.0,3995975.0,3148316.0,3305573.0,2648032.0,2890440.0,1807179.0,1711633.0,2487017.5,2379433.0
COM,Comoros,61156.0,63677.0,52046.0,51824.0,38104.0,36031.0,23226.0,22799.0,1828642.0,1729688.5,2484142.0,2374993.0
CPV,Cabo Verde,46762.0,42533.0,43006.0,39806.0,27865.0,25260.0,20714.0,21811.0,1849581.5,1747937.5,2486187.0,2375187.0
CRI,Costa Rica,408969.0,397302.0,402239.0,400163.0,311666.0,331294.0,271371.0,298188.0,1870987.0,1767469.5,2489325.5,2375781.5
CSS,Caribbean small states,256812.0,257094.0,210937.0,219245.0,180359.0,191199.0,152510.0,166848.0,1886790.5,1782401.5,2492470.0,2375502.5
