country_code,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
ARE,17494500.0,7750500.0,5821855.0,2823160.0,3.005,2.7453,0.2596,4.5153,0.443,0.4849,0.9136
ARG,14631500.0,13001500.0,13510695.0,13317317.0,1.083,0.9763,0.1067,5.1801,0.8886,0.9857,0.9015
AUT,1127500.0,1342500.0,2750908.0,2710312.0,0.4099,0.4953,-0.0855,-9.4417,1.1907,0.9852,1.2086
AZE,4030000.0,3238500.0,3090047.0,3285370.0,1.3042,0.9857,0.3185,13.9067,0.8036,1.0632,0.7558
BEL,1796000.0,2326000.0,3413704.0,3377488.0,0.5261,0.6887,-0.1626,-13.3819,1.2951,0.9894,1.309
BGD,36216500.0,17231500.0,46924707.0,51529093.0,0.7718,0.3344,0.4374,39.5404,0.4758,1.0981,0.4333
BHR,752500.0,491500.0,786634.0,401691.0,0.9566,1.2236,-0.267,-12.2453,0.6532,0.5106,1.2793
BLR,3887000.0,3329500.0,2651910.0,2803266.0,1.4657,1.1877,0.278,10.4774,0.8566,1.0571,0.8103
BOL,4861500.0,4171000.0,3492393.0,3474561.0,1.392,1.2004,0.1916,7.3901,0.858,0.9949,0.8624
BRA,68917000.0,53460000.0,65379545.0,67050301.0,1.0541,0.7973,0.2568,13.8702,0.7757,1.0256,0.7563
CAN,8549500.0,7528000.0,12178490.0,12024455.0,0.702,0.6261,0.076,5.7195,0.8805,0.9874,0.8917
CHE,1122500.0,1349000.0,2709404.0,2649070.0,0.4143,0.5092,-0.0949,-10.2798,1.2018,0.9777,1.2292
CRI,2086000.0,1832500.0,1582871.0,1608230.0,1.3179,1.1395,0.1784,7.2603,0.8785,1.016,0.8647
CZE,899000.0,1260500.0,3158658.0,3015185.0,0.2846,0.4181,-0.1334,-18.99,1.4021,0.9546,1.4688
DEU,11032500.0,12857000.0,24144654.0,23420679.0,0.4569,0.549,-0.092,-9.1487,1.1654,0.97,1.2014
DNK,653000.0,866500.0,1734839.0,1706526.0,0.3764,0.5078,-0.1314,-14.8562,1.327,0.9837,1.349
DOM,4375000.0,3321000.0,3276113.0,3300961.0,1.3354,1.0061,0.3294,14.0659,0.7591,1.0076,0.7534
DZA,14228000.0,8963500.0,13416727.0,12748160.0,1.0605,0.7031,0.3573,20.2624,0.63,0.9502,0.663
EGY,93499500.0,47904000.0,32297369.0,31442838.0,2.895,1.5235,1.3714,31.0385,0.5123,0.9735,0.5262
ESP,8554500.0,11824500.0,14657163.0,14491129.0,0.5836,0.816,-0.2323,-16.6004,1.3823,0.9887,1.3981
FIN,713000.0,960500.0,1590890.0,1525813.0,0.4482,0.6295,-0.1813,-16.8254,1.3471,0.9591,1.4045
FRA,10324000.0,12335000.0,18618021.0,19041176.0,0.5545,0.6478,-0.0933,-7.7592,1.1948,1.0227,1.1683
GBR,11407500.0,15130500.0,19683680.0,19920179.0,0.5795,0.7596,-0.18,-13.443,1.3264,1.012,1.3107
GRC,1947500.0,2547500.0,2902868.0,2938604.0,0.6709,0.8669,-0.196,-12.7468,1.3081,1.0123,1.2922
GTM,6082500.0,5180500.0,4952574.0,5114784.0,1.2281,1.0128,0.2153,9.6074,0.8517,1.0328,0.8247
HUN,1468000.0,1857500.0,2836038.0,2796470.0,0.5176,0.6642,-0.1466,-12.4048,1.2653,0.986,1.2833
IRL,1001000.0,1503500.0,1573978.0,1606789.0,0.636,0.9357,-0.2997,-19.0718,1.502,1.0208,1.4714
IRQ,23115000.0,14791000.0,11748240.0,11787647.0,1.9675,1.2548,0.7127,22.1189,0.6399,1.0034,0.6377
ITA,9714000.0,11704500.0,17152872.0,17008935.0,0.5663,0.6881,-0.1218,-9.7109,1.2049,0.9916,1.2151
JPN,106609000.0,87992500.0,33756097.0,32880909.0,3.1582,2.6761,0.4821,8.2635,0.8254,0.9741,0.8473
KAZ,8860500.0,7432000.0,5500508.0,5711072.0,1.6109,1.3013,0.3095,10.6284,0.8388,1.0383,0.8079
KEN,10641500.0,6422500.0,14011202.0,14281404.0,0.7595,0.4497,0.3098,25.6191,0.6035,1.0193,0.5921
KOR,45603500.0,29000500.0,17218160.0,16281820.0,2.6486,1.7812,0.8674,19.5816,0.6359,0.9456,0.6725
KWT,5431500.0,2667500.0,2381968.0,1302575.0,2.2803,2.0479,0.2324,5.3693,0.4911,0.5468,0.8981
LBN,2592500.0,1820500.0,1535504.0,1673484.0,1.6884,1.0879,0.6005,21.6309,0.7022,1.0899,0.6443
LKA,4038500.0,2322000.0,6283399.0,6646164.0,0.6427,0.3494,0.2934,29.5687,0.575,1.0577,0.5436
MAR,36366500.0,17036000.0,11215292.0,11033984.0,3.2426,1.544,1.6986,35.4875,0.4685,0.9838,0.4762
MEX,51533000.0,42863000.0,37138892.0,40630336.0,1.3876,1.055,0.3326,13.6181,0.8318,1.094,0.7603
NGA,28985500.0,15390000.0,54206715.0,52926042.0,0.5347,0.2908,0.2439,29.5502,0.531,0.9764,0.5438
NLD,2576000.0,3688500.0,5335774.0,5283700.0,0.4828,0.6981,-0.2153,-18.2333,1.4319,0.9902,1.4461
NOR,796000.0,1034500.0,1686273.0,1616404.0,0.472,0.64,-0.168,-15.1031,1.2996,0.9586,1.3557
OMN,1541000.0,834500.0,2515887.0,1178648.0,0.6125,0.708,-0.0955,-7.2325,0.5415,0.4685,1.1558
PAK,52022000.0,23293000.0,62928248.0,61327454.0,0.8267,0.3798,0.4469,37.0388,0.4478,0.9746,0.4595
PAN,1649000.0,1424500.0,1322626.0,1316898.0,1.2468,1.0817,0.1651,7.0885,0.8639,0.9957,0.8676
POL,5301000.0,6969000.0,10716092.0,10625467.0,0.4947,0.6559,-0.1612,-14.0107,1.3147,0.9915,1.326
PRI,238000.0,190500.0,880424.0,964448.0,0.2703,0.1975,0.0728,15.5611,0.8004,1.0954,0.7307
PRT,1623000.0,2427000.0,2943130.0,3107750.0,0.5515,0.781,-0.2295,-17.2243,1.4954,1.0559,1.4162
PRY,2421000.0,1982000.0,1987350.0,1973057.0,1.2182,1.0045,0.2137,9.613,0.8187,0.9928,0.8246
QAT,3834500.0,1466000.0,1675980.0,530030.0,2.2879,2.7659,-0.478,-9.4576,0.3823,0.3163,1.2087
ROU,3983500.0,4601500.0,5567018.0,5468703.0,0.7156,0.8414,-0.1259,-8.0843,1.1551,0.9823,1.1759
SAU,62156500.0,31551000.0,14822500.0,7967672.0,4.1934,3.9599,0.2335,2.864,0.5076,0.5375,0.9444
SWE,1526500.0,2005000.0,3071602.0,2923945.0,0.497,0.6857,-0.1887,-15.959,1.3135,0.9519,1.3799
TUR,80678500.0,38161500.0,26451099.0,26027164.0,3.0501,1.4662,1.5839,35.0702,0.473,0.984,0.4807
UKR,76712000.0,20826500.0,11715807.0,12327215.0,6.5477,1.6895,4.8583,58.9795,0.2715,1.0522,0.258
URY,1215500.0,1061500.0,995687.0,999078.0,1.2208,1.0625,0.1583,6.9325,0.8733,1.0034,0.8703
USA,80293000.0,65370500.0,100332070.0,95751508.0,0.8003,0.6827,0.1176,7.9274,0.8141,0.9543,0.8531
ZAF,57364000.0,46761500.0,18675425.0,19521032.0,3.0716,2.3954,0.6762,12.3684,0.8152,1.0453,0.7799
