,country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
105,FRA,2024,2729500.0,3027000.0,2192279.0,2084824.0,1.2451,1.4519,-0.2069,-7.6704,1.109,0.951,1.1661
106,FRA,2534,3273500.0,3547500.0,3943909.0,3895621.0,0.83,0.9106,-0.0806,-4.6318,1.0837,0.9878,1.0971
107,FRA,3544,1897500.0,2414000.0,4026014.0,4204429.0,0.4713,0.5742,-0.1028,-9.8374,1.2722,1.0443,1.2182
108,FRA,4554,1333000.0,1766000.0,4281636.0,4374865.0,0.3113,0.4037,-0.0923,-12.9147,1.3248,1.0218,1.2965
109,FRA,55plus,1090500.0,1580500.0,4174183.0,4481437.0,0.2612,0.3527,-0.0914,-14.8924,1.4493,1.0736,1.3499
195,NLD,2024,775000.0,1108000.0,589941.0,570673.0,1.3137,1.9416,-0.6279,-19.2881,1.4297,0.9673,1.478
196,NLD,2534,845000.0,1187500.0,1248008.0,1217771.0,0.6771,0.9751,-0.2981,-18.0402,1.4053,0.9758,1.4402
197,NLD,3544,393000.0,558500.0,1145215.0,1127310.0,0.3432,0.4954,-0.1523,-18.1566,1.4211,0.9844,1.4436
198,NLD,4554,301500.0,469500.0,1096492.0,1106190.0,0.275,0.4244,-0.1495,-21.3701,1.5572,1.0088,1.5436
199,NLD,55plus,261500.0,365000.0,1256118.0,1261756.0,0.2082,0.2893,-0.0811,-16.3025,1.3958,1.0045,1.3895
210,PAK,2024,19035000.0,9012500.0,12065308.0,11538231.0,1.5777,0.7811,0.7966,33.7705,0.4735,0.9563,0.4951
211,PAK,2534,23483000.0,10328500.0,19794340.0,18903549.0,1.1863,0.5464,0.64,36.9343,0.4398,0.955,0.4605
212,PAK,3544,5797000.0,2273000.0,14642574.0,14248505.0,0.3959,0.1595,0.2364,42.5574,0.3921,0.9731,0.4029
213,PAK,4554,1775000.0,764000.0,9730731.0,9690455.0,0.1824,0.0788,0.1036,39.6442,0.4304,0.9959,0.4322
214,PAK,55plus,1932000.0,915000.0,6695295.0,6946714.0,0.2886,0.1317,0.1568,37.3191,0.4736,1.0376,0.4564
