country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
ARE,1519,1500.0,1500.0,264569.0,229444.0,0.0057,0.0065,-0.0009,-7.1101,1.0,0.8672,1.1531
ARE,2024,3746500.0,1542500.0,569461.0,349119.0,6.579,4.4183,2.1608,19.6481,0.4117,0.6131,0.6715
ARE,2534,7856000.0,3084000.0,2180748.0,1010799.0,3.6024,3.0511,0.5514,8.2871,0.3926,0.4635,0.847
ARE,3544,4395000.0,1921500.0,1789489.0,855313.0,2.456,2.2465,0.2095,4.4542,0.4372,0.478,0.9146
ARE,4554,852500.0,660500.0,902422.0,387986.0,0.9447,1.7024,-0.7577,-28.6242,0.7748,0.4299,1.8023
ARE,55plus,644500.0,542000.0,379735.0,219943.0,1.6972,2.4643,-0.767,-18.4317,0.841,0.5792,1.452
ARG,1519,500.0,500.0,1847345.0,1746968.0,0.0003,0.0003,-0.0,-2.7927,1.0,0.9457,1.0574
ARG,2024,3501500.0,3915000.0,1769979.0,1691544.0,1.9783,2.3145,-0.3362,-7.8314,1.1181,0.9557,1.1699
ARG,2534,6553500.0,4974000.0,3551384.0,3424348.0,1.8453,1.4525,0.3928,11.9106,0.759,0.9642,0.7872
ARG,3544,2208500.0,1840500.0,3276307.0,3196210.0,0.6741,0.5758,0.0982,7.86,0.8334,0.9756,0.8542
ARG,4554,1342000.0,1186000.0,2835394.0,2825516.0,0.4733,0.4197,0.0536,5.997,0.8838,0.9965,0.8869
ARG,55plus,1026000.0,1086000.0,2077631.0,2179699.0,0.4938,0.4982,-0.0044,-0.4437,1.0585,1.0491,1.009
AUT,1519,500.0,500.0,224406.0,213608.0,0.0022,0.0023,-0.0001,-2.4652,1.0,0.9519,1.0505
AUT,2024,311000.0,399500.0,239869.0,227858.0,1.2965,1.7533,-0.4567,-14.9761,1.2846,0.9499,1.3524
AUT,2534,387500.0,445000.0,590235.0,561590.0,0.6565,0.7924,-0.1359,-9.3777,1.1484,0.9515,1.2069
AUT,3544,197500.0,220500.0,633253.0,618578.0,0.3119,0.3565,-0.0446,-6.6704,1.1165,0.9768,1.143
AUT,4554,131000.0,154000.0,596757.0,601821.0,0.2195,0.2559,-0.0364,-7.6503,1.1756,1.0085,1.1657
AUT,55plus,100500.0,123500.0,690794.0,700465.0,0.1455,0.1763,-0.0308,-9.5796,1.2289,1.014,1.2119
AZE,1519,500.0,500.0,412955.0,370861.0,0.0012,0.0013,-0.0001,-5.3704,1.0,0.8981,1.1135
AZE,2024,807500.0,845500.0,343570.0,312059.0,2.3503,2.7094,-0.3591,-7.0972,1.0471,0.9083,1.1528
AZE,2534,1637000.0,1216500.0,780854.0,814482.0,2.0964,1.4936,0.6028,16.792,0.7431,1.0431,0.7124
AZE,3544,790500.0,517000.0,836349.0,875976.0,0.9452,0.5902,0.355,23.1201,0.654,1.0474,0.6244
AZE,4554,394000.0,271500.0,593989.0,640511.0,0.6633,0.4239,0.2394,22.0229,0.6891,1.0783,0.6391
AZE,55plus,401000.0,388000.0,535285.0,642342.0,0.7491,0.604,0.1451,10.7225,0.9676,1.2,0.8063
BEL,1519,500.0,500.0,357527.0,341469.0,0.0014,0.0015,-0.0001,-2.2973,1.0,0.9551,1.047
BEL,2024,532000.0,698000.0,348596.0,332792.0,1.5261,2.0974,-0.5713,-15.766,1.312,0.9547,1.3743
BEL,2534,579500.0,748500.0,737309.0,727246.0,0.786,1.0292,-0.2433,-13.4013,1.2916,0.9864,1.3094
BEL,3544,307500.0,386000.0,765320.0,768467.0,0.4018,0.5023,-0.1005,-11.1168,1.2553,1.0041,1.2502
BEL,4554,212000.0,268500.0,768275.0,758759.0,0.2759,0.3539,-0.0779,-12.3727,1.2665,0.9876,1.2824
BEL,55plus,165000.0,225000.0,794204.0,790224.0,0.2078,0.2847,-0.077,-15.6298,1.3636,0.995,1.3705
BGD,1519,500.0,500.0,8667972.0,8279631.0,0.0001,0.0001,-0.0,-2.2914,1.0,0.9552,1.0469
BGD,2024,14969500.0,7727500.0,7692709.0,8612787.0,1.9459,0.8972,1.0487,36.8859,0.5162,1.1196,0.4611
BGD,2534,16249500.0,7284000.0,13028043.0,15720846.0,1.2473,0.4633,0.7839,45.8281,0.4483,1.2067,0.3715
BGD,3544,2935000.0,1189000.0,11629997.0,12757105.0,0.2524,0.0932,0.1592,46.058,0.4051,1.0969,0.3693
BGD,4554,883000.0,418000.0,8529794.0,8545076.0,0.1035,0.0489,0.0546,35.8198,0.4734,1.0018,0.4725
BGD,55plus,1179500.0,613000.0,6044164.0,5893279.0,0.1951,0.104,0.0911,30.4616,0.5197,0.975,0.533
BHR,1519,500.0,500.0,47509.0,43719.0,0.0105,0.0114,-0.0009,-4.1544,1.0,0.9202,1.0867
BHR,2024,148000.0,117000.0,68725.0,42445.0,2.1535,2.7565,-0.603,-12.281,0.7905,0.6176,1.28
BHR,2534,359500.0,215000.0,225797.0,121078.0,1.5921,1.7757,-0.1836,-5.4509,0.5981,0.5362,1.1154
BHR,3544,146000.0,86500.0,279596.0,116529.0,0.5222,0.7423,-0.2201,-17.4081,0.5925,0.4168,1.4215
BHR,4554,60500.0,41500.0,146449.0,75399.0,0.4131,0.5504,-0.1373,-14.249,0.686,0.5148,1.3326
BHR,55plus,38500.0,31500.0,66067.0,46240.0,0.5827,0.6812,-0.0985,-7.7918,0.8182,0.6999,1.169
BLR,1519,500.0,500.0,262663.0,247868.0,0.0019,0.002,-0.0001,-2.898,1.0,0.9437,1.0597
BLR,2024,1031500.0,1103000.0,221269.0,209342.0,4.6617,5.2689,-0.6071,-6.1138,1.0693,0.9461,1.1302
BLR,2534,1561500.0,1083000.0,535411.0,509978.0,2.9165,2.1236,0.7928,15.7305,0.6936,0.9525,0.7282
BLR,3544,598500.0,440500.0,745993.0,733215.0,0.8023,0.6008,0.2015,14.362,0.736,0.9829,0.7488
BLR,4554,352500.0,303500.0,604845.0,663283.0,0.5828,0.4576,0.1252,12.0363,0.861,1.0966,0.7852
BLR,55plus,343000.0,399500.0,544392.0,687448.0,0.6301,0.5811,0.0489,4.0395,1.1647,1.2628,0.9223
BOL,1519,500.0,500.0,603251.0,585303.0,0.0008,0.0009,-0.0,-1.5101,1.0,0.9702,1.0307
BOL,2024,1363000.0,1328500.0,570400.0,557241.0,2.3896,2.3841,0.0055,0.1149,0.9747,0.9769,0.9977
BOL,2534,2096500.0,1585000.0,1059440.0,1045102.0,1.9789,1.5166,0.4623,13.225,0.756,0.9865,0.7663
BOL,3544,745000.0,607500.0,845312.0,834288.0,0.8813,0.7282,0.1532,9.5164,0.8154,0.987,0.8261
BOL,4554,358000.0,324000.0,610544.0,613046.0,0.5864,0.5285,0.0579,5.1893,0.905,1.0041,0.9013
BOL,55plus,299000.0,326000.0,406697.0,424884.0,0.7352,0.7673,-0.0321,-2.135,1.0903,1.0447,1.0436
BRA,1519,500.0,500.0,7482359.0,7211480.0,0.0001,0.0001,-0.0,-1.8435,1.0,0.9638,1.0376
BRA,2024,13624000.0,14844000.0,7838493.0,7627791.0,1.7381,1.946,-0.208,-5.6445,1.0895,0.9731,1.1196
BRA,2534,28797500.0,17682500.0,16239229.0,16098852.0,1.7733,1.0984,0.675,23.5038,0.614,0.9914,0.6193
BRA,3544,11521000.0,8653000.0,16433230.0,16709271.0,0.7011,0.5179,0.1832,15.0314,0.7511,1.0168,0.7387
BRA,4554,7628500.0,5901000.0,13925202.0,14620117.0,0.5478,0.4036,0.1442,15.1557,0.7735,1.0499,0.7367
BRA,55plus,7346000.0,6379500.0,10943391.0,11994270.0,0.6713,0.5319,0.1394,11.5857,0.8684,1.096,0.7923
CAN,1519,500.0,500.0,1139007.0,1103430.0,0.0004,0.0005,-0.0,-1.5865,1.0,0.9688,1.0322
CAN,2024,1955000.0,2215000.0,1256363.0,1215737.0,1.5561,1.8219,-0.2659,-7.8703,1.133,0.9677,1.1708
CAN,2534,3932000.0,2930500.0,2981873.0,2795921.0,1.3186,1.0481,0.2705,11.4291,0.7453,0.9376,0.7949
CAN,3544,1264000.0,1105000.0,2850448.0,2810293.0,0.4434,0.3932,0.0502,6.0052,0.8742,0.9859,0.8867
CAN,4554,767000.0,673500.0,2494459.0,2545411.0,0.3075,0.2646,0.0429,7.4969,0.8781,1.0204,0.8605
CAN,55plus,631500.0,604000.0,2595347.0,2657093.0,0.2433,0.2273,0.016,3.4005,0.9565,1.0238,0.9343
