country_code,bucket,pen_total,pen_male,pen_female,gap_abs,gap_pct
ARE,1519,0.0060727146856459245,0.0057,0.0065,-0.0009,-7.1101
ARE,2024,5.757800082736398,6.579,4.4183,2.1608,19.6481
ARE,2534,3.427804760512692,3.6024,3.0511,0.5514,8.2871
ARE,3544,2.388269518852451,2.456,2.2465,0.2095,4.4542
ARE,4554,1.1724973806733994,0.9447,1.7024,-0.7577,-28.6242
ARE,55plus,1.978561828181124,1.6972,2.4643,-0.767,-18.4317
ARG,1519,0.00027821728380360863,0.0003,0.0003,-0.0,-2.7927
ARG,2024,2.1425540145190425,1.9783,2.3145,-0.3362,-7.8314
ARG,2534,1.6525147468394714,1.8453,1.4525,0.3928,11.9106
ARG,3544,0.6255680749853573,0.6741,0.5758,0.0982,7.86
ARG,4554,0.44657131097297076,0.4733,0.4197,0.0536,5.997
ARG,55plus,0.4960855747616464,0.4938,0.4982,-0.0044,-0.4437
AUT,1519,0.0022830320492039065,0.0022,0.0023,-0.0001,-2.4652
AUT,2024,1.5190485047901874,1.2965,1.7533,-0.4567,-14.9761
AUT,2534,0.7227660451891563,0.6565,0.7924,-0.1359,-9.3777
AUT,3544,0.33391088733223573,0.3119,0.3565,-0.0446,-6.6704
AUT,4554,0.23778177139910794,0.2195,0.2559,-0.0364,-7.6503
AUT,55plus,0.16100524776479433,0.1455,0.1763,-0.0308,-9.5796
AZE,1519,0.0012758096287904305,0.0012,0.0013,-0.0001,-5.3704
AZE,2024,2.521242959051537,2.3503,2.7094,-0.3591,-7.0972
AZE,2534,1.788651418886053,2.0964,1.4936,0.6028,16.792
AZE,3544,0.7635816798796957,0.9452,0.5902,0.355,23.1201
AZE,4554,0.5390846496557311,0.6633,0.4239,0.2394,22.0229
AZE,55plus,0.6699914319219923,0.7491,0.604,0.1451,10.7225
BEL,1519,0.0014306233512065877,0.0014,0.0015,-0.0001,-2.2973
BEL,2024,1.8051389223173875,1.5261,2.0974,-0.5713,-15.766
BEL,2534,0.9067600738790964,0.786,1.0292,-0.2433,-13.4013
BEL,3544,0.45214883161742797,0.4018,0.5023,-0.1005,-11.1168
BEL,4554,0.3146622799492349,0.2759,0.3539,-0.0779,-12.3727
BEL,55plus,0.2461456121704489,0.2078,0.2847,-0.077,-15.6298
BGD,1519,5.900539445017682e-05,0.0001,0.0001,-0.0,-2.2914
BGD,2024,1.39198464125225,1.9459,0.8972,1.0487,36.8859
BGD,2534,0.8185881548326963,1.2473,0.4633,0.7839,45.8281
BGD,3544,0.16910578386886643,0.2524,0.0932,0.1592,46.058
BGD,4554,0.07619384510687344,0.1035,0.0489,0.0546,35.8198
BGD,55plus,0.15015778504659666,0.1951,0.104,0.0911,30.4616
BHR,1519,0.01096154689349761,0.0105,0.0114,-0.0009,-4.1544
BHR,2024,2.3837366195916165,2.1535,2.7565,-0.603,-12.281
BHR,2534,1.6562162162162162,1.5921,1.7757,-0.1836,-5.4509
BHR,3544,0.5869359419375197,0.5222,0.7423,-0.2201,-17.4081
BHR,4554,0.45977425985359344,0.4131,0.5504,-0.1373,-14.249
BHR,55plus,0.6232915134408363,0.5827,0.6812,-0.0985,-7.7918
BLR,1519,0.0019587449146085153,0.0019,0.002,-0.0001,-2.898
BLR,2024,4.9569100650006614,4.6617,5.2689,-0.6071,-6.1138
BLR,2534,2.5296803390890856,2.9165,2.1236,0.7928,15.7305
BLR,3544,0.7024029075018523,0.8023,0.6008,0.2015,14.362
BLR,4554,0.5172979383784602,0.5828,0.4576,0.1252,12.0363
BLR,55plus,0.6027568515391609,0.6301,0.5811,0.0489,4.0395
BOL,1519,0.0008413584910740277,0.0008,0.0009,-0.0,-1.5101
BOL,2024,2.3868412021201784,2.3896,2.3841,0.0055,0.1149
BOL,2534,1.749311726731992,1.9789,1.5166,0.4623,13.225
BOL,3544,0.80525125029769,0.8813,0.7282,0.1532,9.5164
BOL,4554,0.5573762453109293,0.5864,0.5285,0.0579,5.1893
BOL,55plus,0.751580423314145,0.7352,0.7673,-0.0321,-2.135
BRA,1519,6.805573410733574e-05,0.0001,0.0001,-0.0,-1.8435
BRA,2024,1.840648988470663,1.7381,1.946,-0.208,-5.6445
BRA,2534,1.4373147250141405,1.7733,1.0984,0.675,23.5038
BRA,3544,0.6087048168151221,0.7011,0.5179,0.1832,15.0314
BRA,4554,0.4739656263781813,0.5478,0.4036,0.1442,15.1557
BRA,55plus,0.5983827208885858,0.6713,0.5319,0.1394,11.5857
CAN,1519,0.0004459434088895251,0.0004,0.0005,-0.0,-1.5865
CAN,2024,1.6868249666275636,1.5561,1.8219,-0.2659,-7.8703
CAN,2534,1.1877370498152062,1.3186,1.0481,0.2705,11.4291
CAN,3544,0.4184964477265432,0.4434,0.3932,0.0502,6.0052
CAN,4554,0.2858208644270586,0.3075,0.2646,0.0429,7.4969
CAN,55plus,0.235224010174319,0.2433,0.2273,0.016,3.4005
CHE,1519,0.00224470418165942,0.0022,0.0023,-0.0001,-2.7172
CHE,2024,1.461081989262033,1.2721,1.6616,-0.3895,-13.2768
CHE,2534,0.7272100233104442,0.6401,0.8183,-0.1782,-12.2195
CHE,3544,0.3304806400921122,0.3074,0.3541,-0.0467,-7.0561
