country_code,bucket,pop_male,pop_female
ABW,2024,3558.0,3330.0
ABW,2534,6098.0,6023.0
ABW,3544,6371.0,7118.0
ABW,4554,6585.0,8088.0
ABW,55plus,7544.0,9030.0
AFE,2024,36807912.0,36825828.0
AFE,2534,58224069.0,59181255.0
AFE,3544,40697347.0,42216205.0
AFE,4554,25913152.0,27862894.0
AFE,55plus,15654201.0,18138555.0
AFG,2024,2224214.0,2128453.0
AFG,2534,3386559.0,3313136.0
AFG,3544,2028002.0,2006280.0
AFG,4554,1303661.0,1321434.0
AFG,55plus,715867.0,820783.0
AFW,2024,25365659.0,24624732.0
AFW,2534,38223269.0,37521891.0
AFW,3544,27634367.0,27437860.0
AFW,4554,18592949.0,18586432.0
AFW,55plus,10892497.0,11433829.0
AGO,2024,1679555.0,1689138.0
AGO,2534,2574013.0,2625561.0
AGO,3544,1883239.0,1955954.0
AGO,4554,1196161.0,1299671.0
AGO,55plus,744278.0,862604.0
ALB,2024,91242.0,84238.0
ALB,2534,219768.0,215181.0
ALB,3544,184018.0,176252.0
ALB,4554,139430.0,162765.0
ALB,55plus,162895.0,184506.0
AND,2024,2426.0,2274.0
AND,2534,5710.0,5052.0
AND,3544,6198.0,5949.0
AND,4554,7363.0,7177.0
AND,55plus,6713.0,6271.0
ARB,2024,21774858.0,20317383.0
ARB,2534,42765994.0,37158830.0
ARB,3544,36830053.0,31830883.0
ARB,4554,25129271.0,22826456.0
ARB,55plus,15840417.0,15576483.0
ARE,2024,569461.0,349119.0
ARE,2534,2180748.0,1010799.0
ARE,3544,1789489.0,855313.0
ARE,4554,902422.0,387986.0
ARE,55plus,379735.0,219943.0
ARG,2024,1769979.0,1691544.0
ARG,2534,3551384.0,3424348.0
ARG,3544,3276307.0,3196210.0
ARG,4554,2835394.0,2825516.0
ARG,55plus,2077631.0,2179699.0
ARM,2024,87821.0,88101.0
ARM,2534,202363.0,210362.0
ARM,3544,223208.0,251280.0
ARM,4554,158911.0,193315.0
ARM,55plus,151277.0,204613.0
ASM,2024,2050.0,1866.0
ASM,2534,2495.0,2513.0
ASM,3544,2764.0,2651.0
ASM,4554,2970.0,2871.0
ASM,55plus,2614.0,2522.0
ATG,2024,3307.0,3226.0
ATG,2534,7073.0,7182.0
ATG,3544,6631.0,7123.0
ATG,4554,5933.0,6813.0
ATG,55plus,5490.0,6789.0
AUS,2024,839300.0,796406.0
AUS,2534,1917527.0,1866078.0
AUS,3544,1917861.0,1948653.0
AUS,4554,1658434.0,1702178.0
AUS,55plus,1527408.0,1599401.0
AUT,2024,239869.0,227858.0
AUT,2534,590235.0,561590.0
AUT,3544,633253.0,618578.0
AUT,4554,596757.0,601821.0
AUT,55plus,690794.0,700465.0
AZE,2024,343570.0,312059.0
AZE,2534,780854.0,814482.0
AZE,3544,836349.0,875976.0
AZE,4554,593989.0,640511.0
AZE,55plus,535285.0,642342.0
BDI,2024,626835.0,629600.0
BDI,2534,908668.0,920894.0
BDI,3544,771415.0,797595.0
BDI,4554,432859.0,455081.0
BDI,55plus,214766.0,236650.0
BEL,2024,348596.0,332792.0
BEL,2534,737309.0,727246.0
BEL,3544,765320.0,768467.0
BEL,4554,768275.0,758759.0
BEL,55plus,794204.0,790224.0
BEN,2024,678470.0,659270.0
BEN,2534,1082312.0,1060276.0
BEN,3544,763351.0,769215.0
BEN,4554,490366.0,512555.0
BEN,55plus,307310.0,334282.0
BFA,2024,1147153.0,1125411.0
BFA,2534,1729026.0,1731462.0
BFA,3544,1233916.0,1261573.0
BFA,4554,762164.0,819476.0
BFA,55plus,420762.0,507962.0
BGD,2024,7692709.0,8612787.0
BGD,2534,13028043.0,15720846.0
BGD,3544,11629997.0,12757105.0
BGD,4554,8529794.0,8545076.0
BGD,55plus,6044164.0,5893279.0
BGR,2024,154579.0,145771.0
BGR,2534,336695.0,319468.0
BGR,3544,467353.0,440532.0
BGR,4554,500983.0,481522.0
BGR,55plus,418514.0,440246.0
BHR,2024,68725.0,42445.0
BHR,2534,225797.0,121078.0
BHR,3544,279596.0,116529.0
BHR,4554,146449.0,75399.0
BHR,55plus,66067.0,46240.0
BHS,2024,14222.0,14442.0
BHS,2534,31633.0,33370.0
BHS,3544,27658.0,30809.0
BHS,4554,25477.0,28639.0
BHS,55plus,22515.0,25934.0
BIH,2024,87168.0,80210.0
BIH,2534,175606.0,156125.0
BIH,3544,214641.0,204045.0
BIH,4554,231300.0,244108.0
BIH,55plus,218020.0,246405.0
BLR,2024,221269.0,209342.0
BLR,2534,535411.0,509978.0
BLR,3544,745993.0,733215.0
BLR,4554,604845.0,663283.0
BLR,55plus,544392.0,687448.0
BLZ,2024,20136.0,19415.0
BLZ,2534,39540.0,37923.0
BLZ,3544,30958.0,30697.0
BLZ,4554,21571.0,22277.0
BLZ,55plus,14376.0,14950.0
BMU,2024,1718.0,1607.0
BMU,2534,3315.0,3450.0
BMU,3544,4120.0,4257.0
BMU,4554,4910.0,4535.0
BMU,55plus,5064.0,4977.0
BOL,2024,570400.0,557241.0
BOL,2534,1059440.0,1045102.0
BOL,3544,845312.0,834288.0
BOL,4554,610544.0,613046.0
BOL,55plus,406697.0,424884.0
BRA,2024,7838493.0,7627791.0
BRA,2534,16239229.0,16098852.0
BRA,3544,16433230.0,16709271.0
BRA,4554,13925202.0,14620117.0
BRA,55plus,10943391.0,11994270.0
BRB,2024,9329.0,9099.0
BRB,2534,18339.0,18423.0
BRB,3544,18115.0,19023.0
BRB,4554,17999.0,19699.0
BRB,55plus,17497.0,20421.0
BRN,2024,18600.0,17039.0
BRN,2534,44663.0,35827.0
BRN,3544,44802.0,34647.0
BRN,4554,34934.0,30431.0
BRN,55plus,22343.0,21602.0
BTN,2024,37996.0,35393.0
BTN,2534,84925.0,69162.0
BTN,3544,77514.0,62190.0
BTN,4554,49430.0,40426.0
BTN,55plus,30779.0,27208.0
BWA,2024,122839.0,122883.0
BWA,2534,242844.0,242845.0
BWA,3544,165705.0,161424.0
BWA,4554,100720.0,104030.0
BWA,55plus,63329.0,68722.0
