,Variable,count,mean,std,min,25%,50%,75%,max
0,tiktok_male,342.0,3219641.812865497,6854665.892632905,500.0,128750.0,576250.0,2303250.0,50305500.0
1,tiktok_female,342.0,2154073.0994152045,4036201.2224892597,500.0,136375.0,524000.0,2265750.0,34977000.0
2,pop_male,342.0,2651373.8187134503,3941482.2407621043,47509.0,377765.25,929372.5,3231960.25,23766429.0
3,pop_female,342.0,2597068.485380117,3897996.839786376,36247.0,349285.75,887330.0,3013031.75,22350890.0
4,pen_male,342.0,1.2649190058479534,3.1011283061715775,0.0,0.2385,0.62185,1.3632499999999999,50.1335
5,pen_female,342.0,0.979011111111111,1.118246304474774,0.0,0.24335,0.5889,1.45235,6.3196
6,gap_abs,342.0,0.2859055555555556,2.5972155513387163,-1.2894,-0.126,-0.0001,0.15305000000000002,45.4713
7,gap_pct,342.0,1.7936359649122804,17.952839451733787,-40.5363,-11.960275,-2.3108000000000004,12.1247,82.9835
8,tt_fm,342.0,0.959364619883041,0.32447785089902303,0.0903,0.726275,1.0,1.177175,1.9056
9,pop_fm,342.0,0.9523260233918129,0.15355089080062395,0.3006,0.951,0.97015,1.008475,1.2628
10,gap_index,342.0,1.02152134502924,0.3315558328630594,0.093,0.783725,1.04735,1.2717749999999999,2.3634
11,tiktok_total,342.0,5373714.912280702,10552845.711318964,1000.0,275125.0,1182250.0,4500875.0,75091000.0
12,pop_total,342.0,5248442.304093568,7831596.633158315,91228.0,734959.5,1879223.0,6288832.75,46117319.0
13,pen_total,342.0,1.1225552147587003,1.9604784753944626,3.659051485305963e-05,0.2490545959075548,0.6163128558430273,1.4744946079726735,27.736071279930698
