country_code,bucket,tiktok_male,tiktok_female
ARE,2024,3746500.0,1542500.0
ARE,2534,7856000.0,3084000.0
ARE,3544,4395000.0,1921500.0
ARE,4554,852500.0,660500.0
ARE,55plus,644500.0,542000.0
ARG,2024,3501500.0,3915000.0
ARG,2534,6553500.0,4974000.0
ARG,3544,2208500.0,1840500.0
ARG,4554,1342000.0,1186000.0
ARG,55plus,1026000.0,1086000.0
AUT,2024,311000.0,399500.0
AUT,2534,387500.0,445000.0
AUT,3544,197500.0,220500.0
AUT,4554,131000.0,154000.0
AUT,55plus,100500.0,123500.0
AZE,2024,807500.0,845500.0
AZE,2534,1637000.0,1216500.0
AZE,3544,790500.0,517000.0
AZE,4554,394000.0,271500.0
AZE,55plus,401000.0,388000.0
BEL,2024,532000.0,698000.0
BEL,2534,579500.0,748500.0
BEL,3544,307500.0,386000.0
BEL,4554,212000.0,268500.0
BEL,55plus,165000.0,225000.0
BGD,2024,14969500.0,7727500.0
BGD,2534,16249500.0,7284000.0
BGD,3544,2935000.0,1189000.0
BGD,4554,883000.0,418000.0
BGD,55plus,1179500.0,613000.0
BHR,2024,148000.0,117000.0
BHR,2534,359500.0,215000.0
BHR,3544,146000.0,86500.0
BHR,4554,60500.0,41500.0
BHR,55plus,38500.0,31500.0
BLR,2024,1031500.0,1103000.0
BLR,2534,1561500.0,1083000.0
BLR,3544,598500.0,440500.0
BLR,4554,352500.0,303500.0
BLR,55plus,343000.0,399500.0
BOL,2024,1363000.0,1328500.0
BOL,2534,2096500.0,1585000.0
BOL,3544,745000.0,607500.0
BOL,4554,358000.0,324000.0
BOL,55plus,299000.0,326000.0
BRA,2024,13624000.0,14844000.0
BRA,2534,28797500.0,17682500.0
BRA,3544,11521000.0,8653000.0
BRA,4554,7628500.0,5901000.0
BRA,55plus,7346000.0,6379500.0
CAN,2024,1955000.0,2215000.0
CAN,2534,3932000.0,2930500.0
CAN,3544,1264000.0,1105000.0
CAN,4554,767000.0,673500.0
CAN,55plus,631500.0,604000.0
CHE,2024,299000.0,368000.0
CHE,2534,362500.0,443000.0
CHE,3544,198500.0,224000.0
CHE,4554,145500.0,170500.0
CHE,55plus,117000.0,143500.0
CRI,2024,433000.0,460500.0
CRI,2534,941500.0,720500.0
CRI,3544,358500.0,300500.0
CRI,4554,189500.0,173000.0
CRI,55plus,163500.0,178000.0
CZE,2024,307500.0,476000.0
CZE,2534,309500.0,414000.0
CZE,3544,126000.0,160500.0
CZE,4554,89500.0,118000.0
CZE,55plus,66500.0,92000.0
DEU,2024,2913500.0,3144000.0
DEU,2534,3626000.0,4191500.0
DEU,3544,1980500.0,2303000.0
DEU,4554,1335000.0,1626000.0
DEU,55plus,1177500.0,1592500.0
DNK,2024,246500.0,341000.0
DNK,2534,224000.0,291500.0
DNK,3544,85000.0,105000.0
DNK,4554,56000.0,75000.0
DNK,55plus,41500.0,54000.0
DOM,2024,1171500.0,1040500.0
DOM,2534,1980500.0,1338500.0
DOM,3544,653000.0,464000.0
DOM,4554,306000.0,237500.0
DOM,55plus,264000.0,240500.0
DZA,2024,3553000.0,2885000.0
DZA,2534,6864000.0,3918000.0
DZA,3544,2246000.0,1133000.0
DZA,4554,871000.0,499000.0
DZA,55plus,694000.0,528500.0
EGY,2024,35838500.0,11964000.0
EGY,2534,30146500.0,18557000.0
EGY,3544,14069500.0,10531500.0
EGY,4554,4051000.0,4029000.0
EGY,55plus,9394000.0,2822500.0
ESP,2024,1856000.0,1996000.0
ESP,2534,2372500.0,2570500.0
ESP,3544,1554000.0,2381500.0
ESP,4554,1496000.0,2445000.0
ESP,55plus,1276000.0,2431500.0
FIN,2024,220500.0,320500.0
FIN,2534,244000.0,307500.0
FIN,3544,107500.0,137500.0
FIN,4554,76000.0,107000.0
FIN,55plus,65000.0,88000.0
FRA,2024,2729500.0,3027000.0
FRA,2534,3273500.0,3547500.0
FRA,3544,1897500.0,2414000.0
FRA,4554,1333000.0,1766000.0
FRA,55plus,1090500.0,1580500.0
GBR,2024,2875000.0,3199000.0
GBR,2534,3879500.0,4435000.0
GBR,3544,2045000.0,3314000.0
GBR,4554,1367500.0,2178500.0
GBR,55plus,1240500.0,2004000.0
GRC,2024,401500.0,523000.0
GRC,2534,573000.0,736000.0
GRC,3544,366500.0,455000.0
GRC,4554,316000.0,409500.0
GRC,55plus,290500.0,424000.0
GTM,2024,1882000.0,1768500.0
GTM,2534,2676000.0,2103000.0
GTM,3544,829500.0,658000.0
GTM,4554,373000.0,321500.0
GTM,55plus,322000.0,329500.0
HUN,2024,329500.0,426500.0
HUN,2534,476500.0,590500.0
HUN,3544,264000.0,314000.0
HUN,4554,236000.0,297000.0
HUN,55plus,162000.0,229500.0
IRL,2024,288500.0,445000.0
IRL,2534,299500.0,439000.0
IRL,3544,167500.0,253000.0
IRL,4554,141500.0,213000.0
IRL,55plus,104000.0,153500.0
IRQ,2024,6823000.0,5119000.0
IRQ,2534,10574000.0,6460500.0
IRQ,3544,3087500.0,1599500.0
IRQ,4554,1341500.0,737500.0
IRQ,55plus,1289000.0,874500.0
ITA,2024,2247000.0,2317000.0
ITA,2534,2595000.0,2783500.0
ITA,3544,1564000.0,2003000.0
ITA,4554,1584500.0,2128500.0
ITA,55plus,1723500.0,2472500.0
JPN,2024,15352000.0,15056000.0
JPN,2534,40114000.0,34977000.0
JPN,3544,34534000.0,17530500.0
JPN,4554,9155000.0,12168500.0
JPN,55plus,7454000.0,8260500.0
KAZ,2024,2322000.0,2461000.0
KAZ,2534,3663500.0,2552500.0
KAZ,3544,1432000.0,1008500.0
KAZ,4554,786000.0,652500.0
KAZ,55plus,657000.0,757500.0
KEN,2024,3204000.0,2244000.0
KEN,2534,4916000.0,2694000.0
KEN,3544,1550500.0,820500.0
KEN,4554,607000.0,351500.0
KEN,55plus,364000.0,312500.0
KOR,2024,5969000.0,5803000.0
KOR,2534,15943500.0,10108000.0
KOR,3544,17239500.0,5934000.0
KOR,4554,2995000.0,3299500.0
KOR,55plus,3456500.0,3856000.0
KWT,2024,1336000.0,525000.0
KWT,2534,2540500.0,1108000.0
KWT,3544,1032500.0,650500.0
KWT,4554,290500.0,220500.0
KWT,55plus,232000.0,163500.0
LBN,2024,659500.0,538500.0
LBN,2534,1145000.0,739500.0
LBN,3544,391500.0,245000.0
LBN,4554,205000.0,136000.0
LBN,55plus,191500.0,161500.0
LKA,2024,1366500.0,874000.0
LKA,2534,1885000.0,1005000.0
LKA,3544,501500.0,252500.0
LKA,4554,181500.0,113500.0
LKA,55plus,104000.0,77000.0
MAR,2024,16346000.0,4269000.0
MAR,2534,10427000.0,5947500.0
MAR,3544,5330500.0,3759500.0
MAR,4554,1396000.0,1644000.0
MAR,55plus,2867000.0,1416000.0
MEX,2024,12354000.0,12700500.0
MEX,2534,25376000.0,17710500.0
MEX,3544,7072000.0,5973000.0
MEX,4554,3848000.0,3477500.0
MEX,55plus,2883000.0,3001500.0
NGA,2024,7410500.0,5137000.0
NGA,2534,13447000.0,6321500.0
NGA,3544,4668000.0,2079000.0
NGA,4554,1975000.0,965000.0
NGA,55plus,1485000.0,887500.0
NLD,2024,775000.0,1108000.0
NLD,2534,845000.0,1187500.0
NLD,3544,393000.0,558500.0
NLD,4554,301500.0,469500.0
NLD,55plus,261500.0,365000.0
NOR,2024,270500.0,362500.0
NOR,2534,252500.0,316000.0
NOR,3544,123500.0,155000.0
NOR,4554,86500.0,120500.0
NOR,55plus,63000.0,80500.0
OMN,2024,321500.0,239500.0
OMN,2534,848500.0,403000.0
OMN,3544,252500.0,117000.0
OMN,4554,72500.0,38500.0
OMN,55plus,46000.0,36500.0
PAK,2024,19035000.0,9012500.0
PAK,2534,23483000.0,10328500.0
PAK,3544,5797000.0,2273000.0
PAK,4554,1775000.0,764000.0
PAK,55plus,1932000.0,915000.0
PAN,2024,383500.0,391500.0
PAN,2534,720500.0,534000.0
PAN,3544,267000.0,215000.0
PAN,4554,150500.0,137500.0
PAN,55plus,127500.0,146500.0
POL,2024,1420500.0,1722500.0
POL,2534,1802000.0,2375000.0
POL,3544,980500.0,1268000.0
POL,4554,635000.0,869500.0
POL,55plus,463000.0,734000.0
PRI,2024,29500.0,37500.0
PRI,2534,72500.0,50500.0
PRI,3544,52500.0,42500.0
PRI,4554,33000.0,29500.0
PRI,55plus,50500.0,30500.0
PRT,2024,380500.0,560500.0
PRT,2534,546000.0,777000.0
PRT,3544,292500.0,418000.0
PRT,4554,232000.0,367500.0
PRT,55plus,172000.0,304000.0
PRY,2024,625000.0,604000.0
PRY,2534,1061000.0,775000.0
PRY,3544,400500.0,293000.0
PRY,4554,188000.0,153000.0
PRY,55plus,146500.0,157000.0
QAT,2024,791500.0,318500.0
QAT,2534,1902500.0,619500.0
QAT,3544,834000.0,340500.0
QAT,4554,178000.0,104500.0
QAT,55plus,128500.0,83000.0
ROU,2024,764000.0,872500.0
ROU,2534,1087500.0,1103000.0
ROU,3544,829500.0,910500.0
ROU,4554,677000.0,804000.0
ROU,55plus,625500.0,911500.0
SAU,2024,15699000.0,6676500.0
SAU,2534,25113000.0,12798500.0
SAU,3544,15840500.0,7420500.0
SAU,4554,2411000.0,2811500.0
SAU,55plus,3093000.0,1844000.0
SWE,2024,489500.0,688500.0
SWE,2534,533000.0,666000.0
SWE,3544,226000.0,283000.0
SWE,4554,148500.0,199500.0
SWE,55plus,129500.0,168000.0
TUR,2024,36251500.0,12797500.0
TUR,2534,24521500.0,12354000.0
TUR,3544,12003000.0,6810500.0
TUR,4554,3973000.0,3807000.0
TUR,55plus,3929500.0,2392500.0
UKR,2024,50305500.0,4541000.0
UKR,2534,11770500.0,8443000.0
UKR,3544,10971500.0,3270500.0
UKR,4554,1808500.0,2767000.0
UKR,55plus,1856000.0,1805000.0
URY,2024,259500.0,290500.0
URY,2534,543500.0,394000.0
URY,3544,173500.0,149500.0
URY,4554,125000.0,106500.0
URY,55plus,114000.0,121000.0
USA,2024,12682500.0,14525000.0
USA,2534,18914000.0,16256500.0
USA,3544,19250500.0,15100500.0
USA,4554,12608500.0,9729000.0
USA,55plus,16837500.0,9759500.0
ZAF,2024,15407000.0,9242500.0
ZAF,2534,24212000.0,17910500.0
ZAF,3544,12319500.0,11845000.0
ZAF,4554,2551500.0,4652500.0
ZAF,55plus,2874000.0,3111000.0
