country_code,bucket,sex,pop
ABW,1014,male,3469.0
ABW,1014,female,3336.0
ABW,1519,male,3523.0
ABW,1519,female,3382.0
ABW,2024,male,3558.0
ABW,2024,female,3330.0
ABW,2534,male,6098.0
ABW,2534,female,6023.0
ABW,3544,male,6371.0
ABW,3544,female,7118.0
ABW,4554,male,6585.0
ABW,4554,female,8088.0
ABW,55plus,male,7544.0
ABW,55plus,female,9030.0
AFE,1014,male,47300814.0
AFE,1014,female,46694685.0
AFE,1519,male,42634871.0
AFE,1519,female,42289984.0
AFE,2024,male,36807912.0
AFE,2024,female,36825828.0
AFE,2534,male,58224069.0
AFE,2534,female,59181255.0
AFE,3544,male,40697347.0
AFE,3544,female,42216205.0
AFE,4554,male,25913152.0
AFE,4554,female,27862894.0
AFE,55plus,male,15654201.0
AFE,55plus,female,18138555.0
AFG,1014,male,2841953.0
AFG,1014,female,2712084.0
AFG,1519,male,2496388.0
AFG,1519,female,2375400.0
AFG,2024,male,2224214.0
AFG,2024,female,2128453.0
AFG,2534,male,3386559.0
AFG,2534,female,3313136.0
AFG,3544,male,2028002.0
AFG,3544,female,2006280.0
AFG,4554,male,1303661.0
AFG,4554,female,1321434.0
AFG,55plus,male,715867.0
AFG,55plus,female,820783.0
AFW,1014,male,34211866.0
AFW,1014,female,33174691.0
AFW,1519,male,30118525.0
AFW,1519,female,29164429.0
AFW,2024,male,25365659.0
AFW,2024,female,24624732.0
AFW,2534,male,38223269.0
AFW,2534,female,37521891.0
AFW,3544,male,27634367.0
AFW,3544,female,27437860.0
AFW,4554,male,18592949.0
AFW,4554,female,18586432.0
AFW,55plus,male,10892497.0
AFW,55plus,female,11433829.0
AGO,1014,male,2512835.0
AGO,1014,female,2497814.0
AGO,1519,male,2094121.0
AGO,1519,female,2089502.0
AGO,2024,male,1679555.0
AGO,2024,female,1689138.0
AGO,2534,male,2574013.0
AGO,2534,female,2625561.0
AGO,3544,male,1883239.0
AGO,3544,female,1955954.0
AGO,4554,male,1196161.0
AGO,4554,female,1299671.0
AGO,55plus,male,744278.0
AGO,55plus,female,862604.0
ALB,1014,male,87242.0
ALB,1014,female,79443.0
ALB,1519,male,82409.0
ALB,1519,female,75492.0
ALB,2024,male,91242.0
ALB,2024,female,84238.0
ALB,2534,male,219768.0
ALB,2534,female,215181.0
ALB,3544,male,184018.0
ALB,3544,female,176252.0
ALB,4554,male,139430.0
ALB,4554,female,162765.0
ALB,55plus,male,162895.0
ALB,55plus,female,184506.0
AND,1014,male,1944.0
AND,1014,female,1915.0
AND,1519,male,2279.0
AND,1519,female,2128.0
AND,2024,male,2426.0
AND,2024,female,2274.0
AND,2534,male,5710.0
AND,2534,female,5052.0
AND,3544,male,6198.0
AND,3544,female,5949.0
AND,4554,male,7363.0
AND,4554,female,7177.0
AND,55plus,male,6713.0
AND,55plus,female,6271.0
ARB,1014,male,26553201.0
ARB,1014,female,25469594.0
ARB,1519,male,23648798.0
ARB,1519,female,22668985.0
ARB,2024,male,21774858.0
ARB,2024,female,20317383.0
ARB,2534,male,42765994.0
ARB,2534,female,37158830.0
ARB,3544,male,36830053.0
ARB,3544,female,31830883.0
ARB,4554,male,25129271.0
ARB,4554,female,22826456.0
ARB,55plus,male,15840417.0
ARB,55plus,female,15576483.0
ARE,1014,male,291150.0
ARE,1014,female,287858.0
ARE,1519,male,264569.0
ARE,1519,female,229444.0
ARE,2024,male,569461.0
ARE,2024,female,349119.0
ARE,2534,male,2180748.0
ARE,2534,female,1010799.0
ARE,3544,male,1789489.0
ARE,3544,female,855313.0
ARE,4554,male,902422.0
ARE,4554,female,387986.0
ARE,55plus,male,379735.0
ARE,55plus,female,219943.0
ARG,1014,male,1917905.0
ARG,1014,female,1812685.0
ARG,1519,male,1847345.0
ARG,1519,female,1746968.0
ARG,2024,male,1769979.0
ARG,2024,female,1691544.0
ARG,2534,male,3551384.0
ARG,2534,female,3424348.0
ARG,3544,male,3276307.0
ARG,3544,female,3196210.0
ARG,4554,male,2835394.0
ARG,4554,female,2825516.0
ARG,55plus,male,2077631.0
ARG,55plus,female,2179699.0
ARM,1014,male,105148.0
ARM,1014,female,96327.0
ARM,1519,male,98071.0
ARM,1519,female,92730.0
ARM,2024,male,87821.0
ARM,2024,female,88101.0
ARM,2534,male,202363.0
ARM,2534,female,210362.0
ARM,3544,male,223208.0
ARM,3544,female,251280.0
ARM,4554,male,158911.0
ARM,4554,female,193315.0
ARM,55plus,male,151277.0
ARM,55plus,female,204613.0
ASM,1014,male,2301.0
ASM,1014,female,2250.0
ASM,1519,male,2369.0
ASM,1519,female,2288.0
ASM,2024,male,2050.0
ASM,2024,female,1866.0
ASM,2534,male,2495.0
ASM,2534,female,2513.0
ASM,3544,male,2764.0
ASM,3544,female,2651.0
ASM,4554,male,2970.0
ASM,4554,female,2871.0
ASM,55plus,male,2614.0
ASM,55plus,female,2522.0
ATG,1014,male,2912.0
ATG,1014,female,2828.0
ATG,1519,male,3326.0
ATG,1519,female,3237.0
ATG,2024,male,3307.0
ATG,2024,female,3226.0
ATG,2534,male,7073.0
ATG,2534,female,7182.0
ATG,3544,male,6631.0
ATG,3544,female,7123.0
ATG,4554,male,5933.0
ATG,4554,female,6813.0
ATG,55plus,male,5490.0
ATG,55plus,female,6789.0
AUS,1014,male,852398.0
AUS,1014,female,806648.0
AUS,1519,male,858724.0
AUS,1519,female,812661.0
AUS,2024,male,839300.0
AUS,2024,female,796406.0
AUS,2534,male,1917527.0
AUS,2534,female,1866078.0
AUS,3544,male,1917861.0
AUS,3544,female,1948653.0
AUS,4554,male,1658434.0
AUS,4554,female,1702178.0
AUS,55plus,male,1527408.0
AUS,55plus,female,1599401.0
AUT,1014,male,224961.0
AUT,1014,female,211298.0
AUT,1519,male,224406.0
AUT,1519,female,213608.0
AUT,2024,male,239869.0
AUT,2024,female,227858.0
AUT,2534,male,590235.0
AUT,2534,female,561590.0
AUT,3544,male,633253.0
AUT,3544,female,618578.0
AUT,4554,male,596757.0
AUT,4554,female,601821.0
AUT,55plus,male,690794.0
AUT,55plus,female,700465.0
AZE,1014,male,441534.0
AZE,1014,female,398280.0
AZE,1519,male,412955.0
AZE,1519,female,370861.0
AZE,2024,male,343570.0
AZE,2024,female,312059.0
AZE,2534,male,780854.0
AZE,2534,female,814482.0
AZE,3544,male,836349.0
AZE,3544,female,875976.0
AZE,4554,male,593989.0
AZE,4554,female,640511.0
AZE,55plus,male,535285.0
AZE,55plus,female,642342.0
BDI,1014,male,1021974.0
BDI,1014,female,1015094.0
BDI,1519,male,850731.0
BDI,1519,female,849335.0
BDI,2024,male,626835.0
BDI,2024,female,629600.0
BDI,2534,male,908668.0
BDI,2534,female,920894.0
BDI,3544,male,771415.0
BDI,3544,female,797595.0
BDI,4554,male,432859.0
BDI,4554,female,455081.0
BDI,55plus,male,214766.0
BDI,55plus,female,236650.0
BEL,1014,male,347163.0
BEL,1014,female,331615.0
BEL,1519,male,357527.0
BEL,1519,female,341469.0
BEL,2024,male,348596.0
BEL,2024,female,332792.0
BEL,2534,male,737309.0
BEL,2534,female,727246.0
BEL,3544,male,765320.0
BEL,3544,female,768467.0
BEL,4554,male,768275.0
BEL,4554,female,758759.0
BEL,55plus,male,794204.0
BEL,55plus,female,790224.0
BEN,1014,male,928352.0
BEN,1014,female,904152.0
BEN,1519,male,799993.0
BEN,1519,female,777575.0
BEN,2024,male,678470.0
BEN,2024,female,659270.0
BEN,2534,male,1082312.0
BEN,2534,female,1060276.0
BEN,3544,male,763351.0
BEN,3544,female,769215.0
BEN,4554,male,490366.0
BEN,4554,female,512555.0
BEN,55plus,male,307310.0
BEN,55plus,female,334282.0
BFA,1014,male,1622648.0
BFA,1014,female,1574551.0
BFA,1519,male,1407841.0
BFA,1519,female,1370134.0
BFA,2024,male,1147153.0
BFA,2024,female,1125411.0
BFA,2534,male,1729026.0
BFA,2534,female,1731462.0
BFA,3544,male,1233916.0
BFA,3544,female,1261573.0
BFA,4554,male,762164.0
BFA,4554,female,819476.0
BFA,55plus,male,420762.0
BFA,55plus,female,507962.0
BGD,1014,male,8322434.0
BGD,1014,female,7641031.0
BGD,1519,male,8667972.0
BGD,1519,female,8279631.0
BGD,2024,male,7692709.0
BGD,2024,female,8612787.0
BGD,2534,male,13028043.0
BGD,2534,female,15720846.0
BGD,3544,male,11629997.0
BGD,3544,female,12757105.0
BGD,4554,male,8529794.0
BGD,4554,female,8545076.0
BGD,55plus,male,6044164.0
BGD,55plus,female,5893279.0
BGR,1014,male,165714.0
BGR,1014,female,156495.0
BGR,1519,male,168377.0
BGR,1519,female,159464.0
BGR,2024,male,154579.0
BGR,2024,female,145771.0
BGR,2534,male,336695.0
BGR,2534,female,319468.0
BGR,3544,male,467353.0
BGR,3544,female,440532.0
BGR,4554,male,500983.0
BGR,4554,female,481522.0
BGR,55plus,male,418514.0
BGR,55plus,female,440246.0
BHR,1014,male,51940.0
BHR,1014,female,49936.0
BHR,1519,male,47509.0
BHR,1519,female,43719.0
BHR,2024,male,68725.0
BHR,2024,female,42445.0
BHR,2534,male,225797.0
BHR,2534,female,121078.0
BHR,3544,male,279596.0
BHR,3544,female,116529.0
BHR,4554,male,146449.0
BHR,4554,female,75399.0
BHR,55plus,male,66067.0
BHR,55plus,female,46240.0
BHS,1014,male,13296.0
BHS,1014,female,13005.0
BHS,1519,male,14508.0
BHS,1519,female,14354.0
BHS,2024,male,14222.0
BHS,2024,female,14442.0
BHS,2534,male,31633.0
BHS,2534,female,33370.0
BHS,3544,male,27658.0
BHS,3544,female,30809.0
BHS,4554,male,25477.0
BHS,4554,female,28639.0
BHS,55plus,male,22515.0
BHS,55plus,female,25934.0
BIH,1014,male,74130.0
BIH,1014,female,68980.0
BIH,1519,male,83664.0
BIH,1519,female,77524.0
BIH,2024,male,87168.0
BIH,2024,female,80210.0
BIH,2534,male,175606.0
BIH,2534,female,156125.0
BIH,3544,male,214641.0
BIH,3544,female,204045.0
BIH,4554,male,231300.0
BIH,4554,female,244108.0
BIH,55plus,male,218020.0
BIH,55plus,female,246405.0
BLR,1014,male,299539.0
BLR,1014,female,282097.0
BLR,1519,male,262663.0
BLR,1519,female,247868.0
BLR,2024,male,221269.0
BLR,2024,female,209342.0
BLR,2534,male,535411.0
BLR,2534,female,509978.0
BLR,3544,male,745993.0
BLR,3544,female,733215.0
BLR,4554,male,604845.0
BLR,4554,female,663283.0
BLR,55plus,male,544392.0
BLR,55plus,female,687448.0
BLZ,1014,male,18910.0
BLZ,1014,female,18047.0
BLZ,1519,male,19312.0
BLZ,1519,female,18555.0
BLZ,2024,male,20136.0
BLZ,2024,female,19415.0
BLZ,2534,male,39540.0
BLZ,2534,female,37923.0
BLZ,3544,male,30958.0
BLZ,3544,female,30697.0
BLZ,4554,male,21571.0
BLZ,4554,female,22277.0
BLZ,55plus,male,14376.0
BLZ,55plus,female,14950.0
BMU,1014,male,1586.0
BMU,1014,female,1532.0
BMU,1519,male,1782.0
BMU,1519,female,1605.0
BMU,2024,male,1718.0
BMU,2024,female,1607.0
BMU,2534,male,3315.0
BMU,2534,female,3450.0
BMU,3544,male,4120.0
BMU,3544,female,4257.0
BMU,4554,male,4910.0
BMU,4554,female,4535.0
BMU,55plus,male,5064.0
BMU,55plus,female,4977.0
BOL,1014,male,618797.0
BOL,1014,female,598585.0
BOL,1519,male,603251.0
BOL,1519,female,585303.0
BOL,2024,male,570400.0
BOL,2024,female,557241.0
BOL,2534,male,1059440.0
BOL,2534,female,1045102.0
BOL,3544,male,845312.0
BOL,3544,female,834288.0
BOL,4554,male,610544.0
BOL,4554,female,613046.0
BOL,55plus,male,406697.0
BOL,55plus,female,424884.0
BRA,1014,male,7336200.0
BRA,1014,female,7048378.0
BRA,1519,male,7482359.0
BRA,1519,female,7211480.0
BRA,2024,male,7838493.0
BRA,2024,female,7627791.0
BRA,2534,male,16239229.0
BRA,2534,female,16098852.0
BRA,3544,male,16433230.0
BRA,3544,female,16709271.0
BRA,4554,male,13925202.0
BRA,4554,female,14620117.0
BRA,55plus,male,10943391.0
BRA,55plus,female,11994270.0
BRB,1014,male,8432.0
BRB,1014,female,8156.0
BRB,1519,male,9253.0
BRB,1519,female,8910.0
BRB,2024,male,9329.0
BRB,2024,female,9099.0
BRB,2534,male,18339.0
BRB,2534,female,18423.0
BRB,3544,male,18115.0
BRB,3544,female,19023.0
BRB,4554,male,17999.0
BRB,4554,female,19699.0
BRB,55plus,male,17497.0
BRB,55plus,female,20421.0
BRN,1014,male,17125.0
BRN,1014,female,15820.0
BRN,1519,male,16399.0
BRN,1519,female,15102.0
BRN,2024,male,18600.0
BRN,2024,female,17039.0
BRN,2534,male,44663.0
BRN,2534,female,35827.0
BRN,3544,male,44802.0
BRN,3544,female,34647.0
BRN,4554,male,34934.0
BRN,4554,female,30431.0
BRN,55plus,male,22343.0
BRN,55plus,female,21602.0
BTN,1014,male,32822.0
BTN,1014,female,29889.0
BTN,1519,male,34809.0
BTN,1519,female,31838.0
BTN,2024,male,37996.0
BTN,2024,female,35393.0
BTN,2534,male,84925.0
BTN,2534,female,69162.0
BTN,3544,male,77514.0
BTN,3544,female,62190.0
BTN,4554,male,49430.0
BTN,4554,female,40426.0
BTN,55plus,male,30779.0
BTN,55plus,female,27208.0
BWA,1014,male,125214.0
BWA,1014,female,123581.0
BWA,1519,male,122253.0
BWA,1519,female,121150.0
BWA,2024,male,122839.0
BWA,2024,female,122883.0
BWA,2534,male,242844.0
BWA,2534,female,242845.0
BWA,3544,male,165705.0
BWA,3544,female,161424.0
BWA,4554,male,100720.0
BWA,4554,female,104030.0
BWA,55plus,male,63329.0
BWA,55plus,female,68722.0
CAF,1014,male,407127.0
CAF,1014,female,399655.0
CAF,1519,male,337077.0
CAF,1519,female,337497.0
CAF,2024,male,272479.0
CAF,2024,female,290999.0
CAF,2534,male,326079.0
CAF,2534,female,388841.0
CAF,3544,male,149314.0
CAF,3544,female,206712.0
CAF,4554,male,91330.0
CAF,4554,female,127880.0
CAF,55plus,male,70097.0
CAF,55plus,female,109786.0
CAN,1014,male,1097195.0
CAN,1014,female,1049681.0
CAN,1519,male,1139007.0
CAN,1519,female,1103430.0
CAN,2024,male,1256363.0
CAN,2024,female,1215737.0
CAN,2534,male,2981873.0
CAN,2534,female,2795921.0
CAN,3544,male,2850448.0
CAN,3544,female,2810293.0
CAN,4554,male,2494459.0
CAN,4554,female,2545411.0
CAN,55plus,male,2595347.0
CAN,55plus,female,2657093.0
CEB,1014,male,2646249.0
CEB,1014,female,2513363.0
CEB,1519,male,2735784.0
CEB,1519,female,2607532.0
CEB,2024,male,2479067.0
CEB,2024,female,2363736.0
CEB,2534,male,5792155.0
CEB,2534,female,5491398.0
CEB,3544,male,7439037.0
CEB,3544,female,7077859.0
CEB,4554,male,7596380.0
CEB,4554,female,7442613.0
CEB,55plus,male,5967048.0
CEB,55plus,female,6376577.0
CHE,1014,male,232473.0
CHE,1014,female,219662.0
CHE,1519,male,228799.0
CHE,1519,female,216694.0
CHE,2024,male,235041.0
CHE,2024,female,221470.0
CHE,2534,male,566308.0
CHE,2534,female,541350.0
CHE,3544,male,645772.0
CHE,3544,female,632669.0
CHE,4554,male,614208.0
CHE,4554,female,609043.0
CHE,55plus,male,648075.0
CHE,55plus,female,644538.0
CHI,1014,male,4501.0
CHI,1014,female,4367.0
CHI,1519,male,4499.0
CHI,1519,female,4378.0
CHI,2024,male,4643.0
CHI,2024,female,4488.0
CHI,2534,male,10324.0
CHI,2534,female,9855.0
CHI,3544,male,11467.0
CHI,3544,female,11273.0
CHI,4554,male,11666.0
CHI,4554,female,11922.0
CHI,55plus,male,12761.0
CHI,55plus,female,13161.0
CHL,1014,male,632896.0
CHL,1014,female,609304.0
CHL,1519,male,623629.0
CHL,1519,female,600000.0
CHL,2024,male,657857.0
CHL,2024,female,638301.0
CHL,2534,male,1599490.0
CHL,2534,female,1564641.0
CHL,3544,male,1537659.0
CHL,3544,female,1509754.0
CHL,4554,male,1316562.0
