Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"Age population, age 24, male",SP.POP.AG24.MA.IN,376651,384460,395681,409376,421296
Afghanistan,AFG,"Age population, age 24, female",SP.POP.AG24.FE.IN,366825,374042,383313,395006,405328.5
Afghanistan,AFG,"Age population, age 23, male",SP.POP.AG23.MA.IN,392015,399995.5,411073,423530,434707
Afghanistan,AFG,"Age population, age 23, female",SP.POP.AG23.FE.IN,380301.5,387250,396429,407252.5,416769.5
Afghanistan,AFG,"Age population, age 22, female",SP.POP.AG22.FE.IN,393704,400478.5,408747.5,418801.5,426605.5
Afghanistan,AFG,"Age population, age 22, male",SP.POP.AG22.MA.IN,407802,415550,425334,437084.5,446154
Afghanistan,AFG,"Age population, age 21, male",SP.POP.AG21.MA.IN,423579,429965.5,438958.5,448613,455974.5
Afghanistan,AFG,"Age population, age 21, female",SP.POP.AG21.FE.IN,407126,412909.5,420345,428699.5,435339.5
Afghanistan,AFG,"Age population, age 20, male",SP.POP.AG20.MA.IN,438137,443702,450490.5,458411,466082.5
Afghanistan,AFG,"Age population, age 20, female",SP.POP.AG20.FE.IN,419744.5,424607,430246.5,437415,444409.5
Afghanistan,AFG,"Age population, age 19, male",SP.POP.AG19.MA.IN,451928,455307.5,460212,468370.5,475925.5
Afghanistan,AFG,"Age population, age 19, female",SP.POP.AG19.FE.IN,431608.5,434590,438905.5,446361,453278.5
Afghanistan,AFG,"Age population, age 18, female",SP.POP.AG18.FE.IN,441736.5,443314.5,447737,454996.5,461723
Afghanistan,AFG,"Age population, age 18, male",SP.POP.AG18.MA.IN,463535,465070.5,470022,477938.5,485167
Afghanistan,AFG,"Age population, age 13, female",SP.POP.AG13.FE.IN,487476,493256,501655.5,515290.5,528959.5
Afghanistan,AFG,"Age population, age 13, male",SP.POP.AG13.MA.IN,513059,518942,527316.5,541058,554730
Afghanistan,AFG,"Age population, age 14, female",SP.POP.AG14.FE.IN,476204,479890.5,488682.5,500829.5,514613
Afghanistan,AFG,"Age population, age 14, male",SP.POP.AG14.MA.IN,501034.5,504952,514058.5,526378.5,540274
Afghanistan,AFG,"Age population, age 15, female",SP.POP.AG15.FE.IN,468119.5,468700,475355,487823.5,500104.5
Afghanistan,AFG,"Age population, age 15, male",SP.POP.AG15.MA.IN,492375.5,492931,500091,513070,525528.5
Afghanistan,AFG,"Age population, age 16, female",SP.POP.AG16.FE.IN,459521,460695.5,464193.5,474421,486968.5
Afghanistan,AFG,"Age population, age 16, male",SP.POP.AG16.MA.IN,483031.5,484251.5,488075,499000.5,512059
Afghanistan,AFG,"Age population, age 17, female",SP.POP.AG17.FE.IN,450569.5,452181.5,456219,463132.5,473325.5
Afghanistan,AFG,"Age population, age 17, male",SP.POP.AG17.MA.IN,473260,474881.5,479395,486821,497708
Africa Eastern and Southern,AFE,"Age population, age 24, male",SP.POP.AG24.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 24, female",SP.POP.AG24.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 23, male",SP.POP.AG23.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 23, female",SP.POP.AG23.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 22, female",SP.POP.AG22.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 22, male",SP.POP.AG22.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 21, male",SP.POP.AG21.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 21, female",SP.POP.AG21.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 20, male",SP.POP.AG20.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 20, female",SP.POP.AG20.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 19, male",SP.POP.AG19.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 19, female",SP.POP.AG19.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 18, female",SP.POP.AG18.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 18, male",SP.POP.AG18.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 13, female",SP.POP.AG13.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 13, male",SP.POP.AG13.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 14, female",SP.POP.AG14.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 14, male",SP.POP.AG14.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 15, female",SP.POP.AG15.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 15, male",SP.POP.AG15.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 16, female",SP.POP.AG16.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 16, male",SP.POP.AG16.MA.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 17, female",SP.POP.AG17.FE.IN,..,..,..,..,..
Africa Eastern and Southern,AFE,"Age population, age 17, male",SP.POP.AG17.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 24, male",SP.POP.AG24.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 24, female",SP.POP.AG24.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 23, male",SP.POP.AG23.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 23, female",SP.POP.AG23.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 22, female",SP.POP.AG22.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 22, male",SP.POP.AG22.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 21, male",SP.POP.AG21.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 21, female",SP.POP.AG21.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 20, male",SP.POP.AG20.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 20, female",SP.POP.AG20.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 19, male",SP.POP.AG19.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 19, female",SP.POP.AG19.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 18, female",SP.POP.AG18.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 18, male",SP.POP.AG18.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 13, female",SP.POP.AG13.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 13, male",SP.POP.AG13.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 14, female",SP.POP.AG14.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 14, male",SP.POP.AG14.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 15, female",SP.POP.AG15.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 15, male",SP.POP.AG15.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 16, female",SP.POP.AG16.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 16, male",SP.POP.AG16.MA.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 17, female",SP.POP.AG17.FE.IN,..,..,..,..,..
Africa Western and Central,AFW,"Age population, age 17, male",SP.POP.AG17.MA.IN,..,..,..,..,..
Albania,ALB,"Age population, age 24, male",SP.POP.AG24.MA.IN,23794,22498.5,21713,21162,20153.5
Albania,ALB,"Age population, age 24, female",SP.POP.AG24.FE.IN,23247,21653,20682.5,20111.5,18932.5
Albania,ALB,"Age population, age 23, male",SP.POP.AG23.MA.IN,22900.5,21890,21493,20604.5,19036
Albania,ALB,"Age population, age 23, female",SP.POP.AG23.FE.IN,22063.5,20846.5,20431.5,19377,17590.5
Albania,ALB,"Age population, age 22, female",SP.POP.AG22.FE.IN,21253,20590,19683.5,18012,16838.5
Albania,ALB,"Age population, age 22, male",SP.POP.AG22.MA.IN,22288,21666,20921.5,19462,18292.5
Albania,ALB,"Age population, age 21, male",SP.POP.AG21.MA.IN,22053.5,21092.5,19761,18685.5,18131.5
Albania,ALB,"Age population, age 21, female",SP.POP.AG21.FE.IN,20989.5,19840.5,18302,17228.5,16652
Albania,ALB,"Age population, age 20, male",SP.POP.AG20.MA.IN,21463,19926,18961.5,18489,17921
Albania,ALB,"Age population, age 20, female",SP.POP.AG20.FE.IN,20225,18452.5,17495,17007,16340.5
Albania,ALB,"Age population, age 19, male",SP.POP.AG19.MA.IN,20270.5,19117.5,18740,18240.5,17499
Albania,ALB,"Age population, age 19, female",SP.POP.AG19.FE.IN,18810,17634.5,17248,16658,15919.5
Albania,ALB,"Age population, age 18, female",SP.POP.AG18.FE.IN,17958.5,17383.5,16875,16190.5,15514.5
Albania,ALB,"Age population, age 18, male",SP.POP.AG18.MA.IN,19427.5,18890.5,18466.5,17771.5,17016
Albania,ALB,"Age population, age 13, female",SP.POP.AG13.FE.IN,15825.5,15647.5,15605.5,15681,16063
Albania,ALB,"Age population, age 13, male",SP.POP.AG13.MA.IN,17271,17016.5,16850,17115,17753.5
Albania,ALB,"Age population, age 14, female",SP.POP.AG14.FE.IN,16171.5,15702,15527.5,15483,15580.5
Albania,ALB,"Age population, age 14, male",SP.POP.AG14.MA.IN,17692.5,17148.5,16885,16721,17014
Albania,ALB,"Age population, age 15, female",SP.POP.AG15.FE.IN,16708,16012.5,15579,15403.5,15381.5
Albania,ALB,"Age population, age 15, male",SP.POP.AG15.MA.IN,18306,17539.5,17014,16754,16618.5
Albania,ALB,"Age population, age 16, female",SP.POP.AG16.FE.IN,17251.5,16508.5,15886.5,15445,15286
Albania,ALB,"Age population, age 16, male",SP.POP.AG16.MA.IN,18848,18114,17399,16871,16635
Albania,ALB,"Age population, age 17, female",SP.POP.AG17.FE.IN,17669,17008.5,16378.5,15729.5,15286.5
Albania,ALB,"Age population, age 17, male",SP.POP.AG17.MA.IN,19163,18615,17969,17232.5,16711
Algeria,DZA,"Age population, age 24, male",SP.POP.AG24.MA.IN,322970.5,298460,280113.5,284468,288535.5
Algeria,DZA,"Age population, age 24, female",SP.POP.AG24.FE.IN,300304,283597.5,272517.5,275959,279015.5
Algeria,DZA,"Age population, age 23, male",SP.POP.AG23.MA.IN,299036.5,280875.5,285427,289507.5,290087
Algeria,DZA,"Age population, age 23, female",SP.POP.AG23.FE.IN,283894,272914.5,276634.5,279860,279693.5
Algeria,DZA,"Age population, age 22, female",SP.POP.AG22.FE.IN,273203,277030,280618.5,280707.5,285615.5
