Country Code,Country Name,year,female1317,female1824,male1317,male1824
ABW,Aruba,2021,3437.5,4097.0,3591.5,4418.0
ABW,Aruba,2022,3425.0,4280.0,3574.0,4630.0
ABW,Aruba,2023,3398.0,4459.5,3541.5,4809.0
ABW,Aruba,2024,3383.5,4614.0,3520.0,4944.5
ABW,Aruba,2025,3382.5,4725.5,3517.0,5018.0
AFE,Africa Eastern and Southern,2021,0.0,0.0,0.0,0.0
AFE,Africa Eastern and Southern,2022,0.0,0.0,0.0,0.0
AFE,Africa Eastern and Southern,2023,0.0,0.0,0.0,0.0
AFE,Africa Eastern and Southern,2024,0.0,0.0,0.0,0.0
AFE,Africa Eastern and Southern,2025,0.0,0.0,0.0,0.0
AFG,Afghanistan,2021,2341890.0,2841046.0,2462760.5,2953647.0
AFG,Afghanistan,2022,2354723.5,2877191.5,2475958.0,2994051.0
AFG,Afghanistan,2023,2386105.5,2925723.5,2508936.0,3051771.0
AFG,Afghanistan,2024,2441497.0,2988532.0,2566328.0,3123323.5
AFG,Afghanistan,2025,2503971.0,3043454.0,2630299.5,3185306.5
AFW,Africa Western and Central,2021,0.0,0.0,0.0,0.0
AFW,Africa Western and Central,2022,0.0,0.0,0.0,0.0
AFW,Africa Western and Central,2023,0.0,0.0,0.0,0.0
AFW,Africa Western and Central,2024,0.0,0.0,0.0,0.0
AFW,Africa Western and Central,2025,0.0,0.0,0.0,0.0
AGO,Angola,2021,1929191.5,2114847.0,1933177.0,2098988.5
AGO,Angola,2022,2010946.5,2193257.0,2016188.0,2178740.0
AGO,Angola,2023,2092913.5,2278202.5,2099434.0,2265408.0
AGO,Angola,2024,2174814.0,2372325.0,2182511.0,2361349.0
AGO,Angola,2025,2256347.0,2474399.0,2265155.0,2465244.5
ALB,Albania,2021,83625.5,144546.5,91280.5,152197.0
ALB,Albania,2022,80879.0,136400.5,88433.5,145081.0
ALB,Albania,2023,78977.0,130717.5,86117.0,140056.5
ALB,Albania,2024,77742.0,124584.5,84693.5,134415.0
ALB,Albania,2025,77597.5,117788.0,84732.0,128049.5
AND,Andorra,2021,1915.0,2868.0,2149.5,3174.0
AND,Andorra,2022,1980.0,2976.0,2196.0,3231.0
AND,Andorra,2023,2060.5,3067.5,2212.0,3284.5
AND,Andorra,2024,2122.0,3085.0,2208.5,3349.0
AND,Andorra,2025,2143.0,3082.5,2191.0,3362.0
ARB,Arab World,2021,0.0,0.0,0.0,0.0
ARB,Arab World,2022,0.0,0.0,0.0,0.0
ARB,Arab World,2023,0.0,0.0,0.0,0.0
ARB,Arab World,2024,0.0,0.0,0.0,0.0
ARB,Arab World,2025,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,2021,209406.5,449814.0,217418.0,671774.5
ARE,United Arab Emirates,2022,219867.5,469739.5,227836.5,700481.5
