Unnamed: 0,index,name,ages_ranges,geo_location,genders,interests,behavior,scholarities,languages,family_statuses,all_fields,targeting,response,lower_end,upper_end,user_count_stage,timestamp
39633,39633,BR,AGE_13_17,2542007,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250617022804C24ED640F6506F02C6A5', 'data': {'user_count': {'lower_end': 0, 'upper_end': 3000}, 'user_count_stage': 1}}",0,3000,1,2025-06-17 05:16:35.088415
39636,39636,BR,AGE_25_34,2542007,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250617022805B15462BD6620D702A384', 'data': {'user_count': {'lower_end': 5062000, 'upper_end': 6188000}, 'user_count_stage': 2}}",5062000,6188000,2,2025-06-17 05:16:35.088415
39637,39637,BR,AGE_35_44,2542007,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250617022805EDA6F301908AF302A7C9', 'data': {'user_count': {'lower_end': 2835000, 'upper_end': 3466000}, 'user_count_stage': 2}}",2835000,3466000,2,2025-06-17 05:16:35.088415
39639,39639,BR,AGE_45_54,2542007,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250617022805D1BC471EB50C9B02F53D', 'data': {'user_count': {'lower_end': 1398000, 'upper_end': 1710000}, 'user_count_stage': 2}}",1398000,1710000,2,2025-06-17 05:16:35.088415
39640,39640,BR,AGE_55_100,2542007,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025061702280657589D15B1AB1302AF74', 'data': {'user_count': {'lower_end': 1178000, 'upper_end': 1441000}, 'user_count_stage': 2}}",1178000,1441000,2,2025-06-17 05:16:35.088415
39641,39641,BR,AGE_13_17,2542007,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506170228064442C2478AD60C02D7B5', 'data': {'user_count': {'lower_end': 0, 'upper_end': 3000}, 'user_count_stage': 1}}",0,3000,1,2025-06-17 05:16:35.088415
39642,39642,BR,AGE_18_24,2542007,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250617022806EDE9481C3EE7E902B531', 'data': {'user_count': {'lower_end': 13030000, 'upper_end': 15926000}, 'user_count_stage': 3}}",13030000,15926000,3,2025-06-17 05:16:35.088415
39643,39643,BR,AGE_25_34,2542007,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250617022806E6F055966B38BE02D767', 'data': {'user_count': {'lower_end': 9224000, 'upper_end': 11275000}, 'user_count_stage': 3}}",9224000,11275000,3,2025-06-17 05:16:35.088415
39644,39644,BR,AGE_45_54,2542007,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506170228067DC9CD2BA909FD02DE7D', 'data': {'user_count': {'lower_end': 1209000, 'upper_end': 1479000}, 'user_count_stage': 2}}",1209000,1479000,2,2025-06-17 05:16:35.088415
39645,39645,BR,AGE_35_44,2542007,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['2542007'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506170228072D2D6E73F8F121029FDF', 'data': {'user_count': {'lower_end': 4982000, 'upper_end': 6090000}, 'user_count_stage': 2}}",4982000,6090000,2,2025-06-17 05:16:35.088415
