country_code,pop_total
ABW,107359.0
AFE,750503764.0
AFG,41454761.0
AFW,509398589.0
AGO,36749906.0
ALB,2745972.0
AND,80856.0
ARB,481667539.0
ARE,10483751.0
ARG,45538401.0
ARM,2990900.0
ASM,47521.0
ATG,93316.0
AUS,26658948.0
AUT,9131761.0
AZE,10153958.0
BDI,13689450.0
BEL,11787423.0
BEN,14111034.0
BFA,23025776.0
BGD,171466990.0
BGR,6446596.0
BHR,1577059.0
BHS,399440.0
BIH,3185073.0
BLR,9178298.0
BLZ,411106.0
BMU,64698.0
BOL,12244159.0
BRA,211140729.0
BRB,282336.0
BRN,458949.0
BTN,786385.0
BWA,2480244.0
CAF,5152421.0
CAN,40097761.0
CEB,100175859.0
CHE,8888093.0
CHI,167691.0
CHL,19658835.0
CHN,1410710000.0
CIV,31165654.0
CMR,28372687.0
COD,105789731.0
COG,6182885.0
COL,52321152.0
COM,850387.0
CPV,522331.0
CRI,5105525.0
CSS,3152394.0
CUB,11019931.0
CUW,147862.0
CYM,73038.0
CYP,1344976.0
CZE,10864042.0
DEU,83280000.0
DJI,1152944.0
DMA,66510.0
DNK,5946952.0
DOM,11331265.0
DZA,46164219.0
EAP,2137527754.0
EAR,3511076811.0
EAS,2384463611.0
ECA,249146208.0
ECS,924969865.0
ECU,17980083.0
EGY,114535772.0
EMU,349670802.0
ERI,3470390.0
ESP,48347910.0
EST,1370286.0
ETH,128691692.0
EUU,448804042.0
FCS,1058789534.0
FIN,5583911.0
FJI,924145.0
FRA,68287487.0
FRO,54482.0
FSM,112630.0
GAB,2484789.0
GBR,68350000.0
GEO,3715483.0
GHA,33787914.0
GIB,38471.0
GIN,14405468.0
GMB,2697845.0
GNB,2153339.0
GNQ,1847549.0
GRC,10405588.0
GRD,117081.0
GRL,56865.0
GTM,18124838.0
GUM,166506.0
GUY,826353.0
HIC,1400465513.0
HKG,7536100.0
HND,10644851.0
HPC,917304254.0
HRV,3859686.0
HTI,11637398.0
HUN,9592186.0
IBD,4952574126.0
IBT,6858957145.0
IDA,1906383019.0
IDB,633230238.0
IDN,281190067.0
IDX,1273152781.0
IMN,84165.0
IND,1438069596.0
INX,
IRL,5307600.0
IRN,90608707.0
IRQ,45074049.0
ISL,393349.0
ISR,9756600.0
ITA,58993475.0
JAM,2839786.0
JOR,11439213.0
JPN,124516650.0
KAZ,20330104.0
KEN,55339003.0
KGZ,7099750.0
KHM,17423880.0
KIR,132530.0
KNA,46758.0
KOR,51712619.0
KWT,4853420.0
LAC,594995068.0
LAO,7664993.0
LBN,5773493.0
LBR,5493031.0
LBY,7305659.0
LCA,179285.0
LCN,657611624.0
LDC,1160824674.0
LIC,736466395.0
LIE,39850.0
LKA,22037000.0
LMC,3079778780.0
LMY,6633109634.0
LSO,2311472.0
LTE,2326658047.0
LTU,2871585.0
LUX,666430.0
LVA,1877445.0
MAC,678800.0
MAF,27515.0
MAR,37712505.0
MCO,38956.0
MDA,2457783.0
MDG,31195932.0
MDV,525994.0
MEA,508311359.0
MEX,129739759.0
MHL,38827.0
MIC,5896643239.0
MKD,1827816.0
MLI,23769127.0
MLT,552747.0
MMR,54133798.0
MNA,440118189.0
MNE,616177.0
MNG,3481145.0
MNP,45143.0
MOZ,33635160.0
MRT,5022441.0
MUS,1261041.0
MWI,21104482.0
MYS,35126298.0
NAC,375077354.0
NAM,2963095.0
NCL,289870.0
NER,26159867.0
NGA,227882945.0
NIC,6823613.0
NLD,17877117.0
NOR,5519594.0
NPL,29694614.0
NRU,11875.0
NZL,5223100.0
OED,1385723403.0
OMN,5049269.0
OSS,14411921.0
PAK,247504495.0
PAN,4458759.0
PER,33845617.0
PHL,114891199.0
PLW,17727.0
PNG,10389635.0
POL,36687353.0
PRE,1078224044.0
PRI,3205691.0
PRK,26418204.0
PRT,10578174.0
PRY,6844146.0
PSE,5165775.0
PSS,2689224.0
PST,1119236161.0
PYF,281118.0
QAT,2656032.0
ROU,19059479.0
RUS,143826130.0
RWA,13954471.0
SAS,1951539835.0
SAU,33264292.0
SDN,50042791.0
SEN,18077573.0
SGP,5917648.0
SLB,800005.0
SLE,8460512.0
SLV,6309624.0
SMR,33860.0
SOM,18358615.0
SRB,6623183.0
SSA,1259782580.0
SSD,11483374.0
SSF,1259902353.0
SST,20253539.0
STP,230871.0
SUR,628886.0
SVK,5426740.0
SVN,2120461.0
SWE,10536632.0
SWZ,1230506.0
SXM,42749.0
SYC,119773.0
SYR,23594623.0
TCA,46198.0
TCD,19319064.0
TEA,2111139152.0
TEC,459025452.0
TGO,9304337.0
THA,71702435.0
TJK,10389799.0
TKM,7364438.0
TLA,642397939.0
TLS,1384286.0
TMN,434952414.0
TON,104597.0
TSA,1951539835.0
TSS,1259902353.0
TTO,1367510.0
TUN,12200431.0
TUR,85325965.0
TUV,9816.0
TZA,66617606.0
UGA,48656601.0
UKR,37732836.0
UMC,2816864459.0
URY,3388081.0
USA,334914895.0
UZB,35652307.0
VCT,101323.0
VEN,28300854.0
VGB,38985.0
VIR,104917.0
VNM,100352192.0
VUT,320409.0
WLD,8061876001.0
WSM,216663.0
XKX,1756366.0
YEM,39390799.0
ZAF,63212384.0
ZMB,20723965.0
ZWE,16340822.0
