Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"Population ages 10-14, male",SP.POP.1014.MA,2590477,2637577,2664830,2710174,2775836,2841953
Afghanistan,AFG,"Population ages 15-19, female",SP.POP.1519.FE,2217688,2251555,2259482,2282410,2326735,2375400
Afghanistan,AFG,"Population ages 10-14, female",SP.POP.1014.FE,2461748,2507890,2535666,2581226,2646484,2712084
Afghanistan,AFG,"Population ages 15-19, male",SP.POP.1519.MA,2329444,2364130,2372442,2397795,2445200,2496388
Afghanistan,AFG,"Population ages 20-24, female",SP.POP.2024.FE,1914149,1967701,1999287,2039081,2087175,2128453
Afghanistan,AFG,"Population ages 20-24, male",SP.POP.2024.MA,1982987,2038184,2073673,2121537,2177014,2224214
Afghanistan,AFG,"Population ages 25-29, female",SP.POP.2529.FE,1540801,1608504,1657982,1713323,1776716,1835987
Afghanistan,AFG,"Population ages 25-29, male",SP.POP.2529.MA,1576589,1641213,1690034,1749708,1819366,1886321
Afghanistan,AFG,"Population ages 30-34, female",SP.POP.3034.FE,1180236,1233808,1279305,1336593,1406238,1477149
Afghanistan,AFG,"Population ages 30-34, male",SP.POP.3034.MA,1202666,1253521,1297430,1355995,1427411,1500238
Afghanistan,AFG,"Population ages 35-39, female",SP.POP.3539.FE,921173,953387,982585,1022934,1074813,1128961
Afghanistan,AFG,"Population ages 35-39, male",SP.POP.3539.MA,936708,966277,993827,1034625,1087433,1142596
Afghanistan,AFG,"Population ages 40-44, female",SP.POP.4044.FE,769950,790231,802715,821278,847703,877319
Afghanistan,AFG,"Population ages 40-44, male",SP.POP.4044.MA,778435,798286,810395,829410,855941,885406
Afghanistan,AFG,"Population ages 45-49, female",SP.POP.4549.FE,633570,652307,665279,682899,705297,728396
Afghanistan,AFG,"Population ages 45-49, male",SP.POP.4549.MA,622721,643538,658881,679372,704145,729165
Afghanistan,AFG,"Population ages 50-54, female",SP.POP.5054.FE,506401,522537,534520,550863,571732,593038
Afghanistan,AFG,"Population ages 50-54, male",SP.POP.5054.MA,469037,488260,504192,524861,549614,574496
Afghanistan,AFG,"Population ages 55-59, female",SP.POP.5559.FE,395201,407686,417454,431121,448504,466372
Afghanistan,AFG,"Population ages 55-59, male",SP.POP.5559.MA,339328,352010,363883,380573,401039,422235
Afghanistan,AFG,"Population ages 60-64, female",SP.POP.6064.FE,301209,310081,317139,327552,340773,354411
Afghanistan,AFG,"Population ages 60-64, male",SP.POP.6064.MA,246558,252736,258454,267909,280247,293632
Afghanistan,AFG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,529296,540141,549734,567367,589850,613035
Afghanistan,AFG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,396925,400888,405956,418236,434103,450438
Africa Eastern and Southern,AFE,"Population ages 10-14, male",SP.POP.1014.MA,43115991,44032814,44903908,45723148,46505106,47300814
Africa Eastern and Southern,AFE,"Population ages 15-19, female",SP.POP.1519.FE,37245293,38278578,39311244,40325932,41319142,42289984
Africa Eastern and Southern,AFE,"Population ages 10-14, female",SP.POP.1014.FE,42639719,43539071,44386449,45174720,45927183,46694685
Africa Eastern and Southern,AFE,"Population ages 15-19, male",SP.POP.1519.MA,37451257,38499497,39555228,40604121,41631577,42634871
Africa Eastern and Southern,AFE,"Population ages 20-24, female",SP.POP.2024.FE,32321580,33194583,34074852,34953507,35850581,36825828
Africa Eastern and Southern,AFE,"Population ages 20-24, male",SP.POP.2024.MA,32214578,33093695,33989108,34891904,35810152,36807912
Africa Eastern and Southern,AFE,"Population ages 25-29, female",SP.POP.2529.FE,27794192,28669612,29498811,30270341,31043623,31860237
Africa Eastern and Southern,AFE,"Population ages 25-29, male",SP.POP.2529.MA,27385304,28252542,29087468,29880229,30675308,31511640
Africa Eastern and Southern,AFE,"Population ages 30-34, female",SP.POP.3034.FE,23620967,24328418,25054639,25800460,26535894,27321018
Africa Eastern and Southern,AFE,"Population ages 30-34, male",SP.POP.3034.MA,23081779,23770065,24479166,25210749,25934777,26712429
Africa Eastern and Southern,AFE,"Population ages 35-39, female",SP.POP.3539.FE,19611993,20305098,20997563,21698744,22398950,23106396
Africa Eastern and Southern,AFE,"Population ages 35-39, male",SP.POP.3539.MA,19000758,19656688,20320900,21006860,21690641,22380974
Africa Eastern and Southern,AFE,"Population ages 40-44, female",SP.POP.4044.FE,15923081,16551437,17193078,17824646,18453451,19109809
Africa Eastern and Southern,AFE,"Population ages 40-44, male",SP.POP.4044.MA,15155961,15811492,16460063,17084575,17692345,18316373
Africa Eastern and Southern,AFE,"Population ages 45-49, female",SP.POP.4549.FE,12972368,13371044,13805005,14295145,14835697,15423515
Africa Eastern and Southern,AFE,"Population ages 45-49, male",SP.POP.4549.MA,12074243,12483872,12915567,13395832,13933210,14519128
Africa Eastern and Southern,AFE,"Population ages 50-54, female",SP.POP.5054.FE,10651353,11004635,11359700,11711479,12063756,12439379
Africa Eastern and Southern,AFE,"Population ages 50-54, male",SP.POP.5054.MA,9622438,9995257,10356380,10700682,11039889,11394024
Africa Eastern and Southern,AFE,"Population ages 55-59, female",SP.POP.5559.FE,8674832,8927342,9186893,9463279,9760199,10084756
Africa Eastern and Southern,AFE,"Population ages 55-59, male",SP.POP.5559.MA,7507191,7770306,8035066,8305921,8594874,8906753
Africa Eastern and Southern,AFE,"Population ages 60-64, female",SP.POP.6064.FE,6874631,7131467,7373624,7604308,7827530,8053799
Africa Eastern and Southern,AFE,"Population ages 60-64, male",SP.POP.6064.MA,5720586,5936018,6143095,6341368,6539829,6747448
Africa Eastern and Southern,AFE,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,12650991,13113060,13598026,14138278,14708967,15308124
Africa Eastern and Southern,AFE,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,9516897,9824030,10157714,10526749,10917338,11332512
Africa Western and Central,AFW,"Population ages 10-14, male",SP.POP.1014.MA,30464496,31313485,32118998,32866378,33568770,34211866
Africa Western and Central,AFW,"Population ages 15-19, female",SP.POP.1519.FE,24953525,25764351,26590892,27438489,28308768,29164429
Africa Western and Central,AFW,"Population ages 10-14, female",SP.POP.1014.FE,29525080,30338922,31111360,31838411,32535034,33174691
Africa Western and Central,AFW,"Population ages 15-19, male",SP.POP.1519.MA,25775750,26608430,27454495,28323529,29226088,30118525
Africa Western and Central,AFW,"Population ages 20-24, female",SP.POP.2024.FE,20770640,21440235,22152913,22930851,23767434,24624732
Africa Western and Central,AFW,"Population ages 20-24, male",SP.POP.2024.MA,21349466,22064809,22808068,23608398,24475327,25365659
Africa Western and Central,AFW,"Population ages 25-29, female",SP.POP.2529.FE,17727143,18182508,18653217,19168972,19719657,20294971
Africa Western and Central,AFW,"Population ages 25-29, male",SP.POP.2529.MA,18004348,18494964,18995189,19542247,20137707,20765398
Africa Western and Central,AFW,"Population ages 30-34, female",SP.POP.3034.FE,15274225,15640051,16019621,16433252,16843564,17226920
Africa Western and Central,AFW,"Population ages 30-34, male",SP.POP.3034.MA,15396977,15773105,16164679,16597388,17038291,17457871
Africa Western and Central,AFW,"Population ages 35-39, female",SP.POP.3539.FE,13116835,13464743,13801302,14139375,14473601,14795791
Africa Western and Central,AFW,"Population ages 35-39, male",SP.POP.3539.MA,13253534,13586964,13906207,14230245,14560752,14888773
Africa Western and Central,AFW,"Population ages 40-44, female",SP.POP.4044.FE,10851564,11215583,11576498,11948043,12307549,12642069
Africa Western and Central,AFW,"Population ages 40-44, male",SP.POP.4044.MA,10995789,11360200,11715210,12077536,12425169,12745594
Africa Western and Central,AFW,"Population ages 45-49, female",SP.POP.4549.FE,8613136,8941632,9286767,9659422,10039991,10402421
Africa Western and Central,AFW,"Population ages 45-49, male",SP.POP.4549.MA,8633033,8977835,9338246,9723708,10114196,10481011
Africa Western and Central,AFW,"Population ages 50-54, female",SP.POP.5054.FE,6876241,7097384,7335796,7600784,7884722,8184011
Africa Western and Central,AFW,"Population ages 50-54, male",SP.POP.5054.MA,6753037,6986174,7233542,7506654,7800535,8111938
